"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Dollar Thrifty Automotive Group","Hertz","$29,266","$0","$29,266","2017","20170316","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","27-CA-169285","","","Colorado","Denver","","","","","USA","New Jersey","publicly traded","OTC: HTZZ","miscellaneous services","car rentals","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"Hertz Corporation","Hertz","$272,262","$0","$272,262","2004","20040701","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1393021","","","New Jersey","Park Ridge","","07656","532111","532111: Passenger Car Rental","USA","New Jersey","publicly traded","OTC: HTZZ","miscellaneous services","car rentals","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Hertz Corporation","Hertz","$16,500","$0","$16,500","2004","20040630","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","28-CA-18453-001","","","Arizona","Phoenix","","85034","485999","485999: All Other Transit and Ground Passenger Transportation","USA","New Jersey","publicly traded","OTC: HTZZ","miscellaneous services","car rentals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Hertz Corporation","Hertz","$10,800","$0","$10,800","2008","20080919","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","11-CA-21963-001","","","North Carolina","Charlotte","","28214","441229","441229: All Other Motor Vehicle Dealers","USA","New Jersey","publicly traded","OTC: HTZZ","miscellaneous services","car rentals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Hertz Corporation","Hertz","$10,000","$0","$10,000","2002","20020117","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","17-CA-20922-001","","","Oklahoma","Tulsa","","74105","532111","532111: Passenger Car Rental","USA","New Jersey","publicly traded","OTC: HTZZ","miscellaneous services","car rentals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Hertz Corporation","Hertz","$10,000","$0","$10,000","2010","20100824","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","12-CA-25637-001","","","Florida","Orlando","","32812","532111","532111: Passenger Car Rental","USA","New Jersey","publicly traded","OTC: HTZZ","miscellaneous services","car rentals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Hertz Corporation","Hertz","$8,800","$0","$8,800","2006","20060331","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","11-CA-21035-001","","","North Carolina","Charlotte","","28214","532111","532111: Passenger Car Rental","USA","New Jersey","publicly traded","OTC: HTZZ","miscellaneous services","car rentals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"The Hertz Corporation","Hertz","$35,000","$0","$35,000","2004","20041019","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","07-CA-47053-001","","","Michigan","Detroit","","48242","532111","532111: Passenger Car Rental","USA","New Jersey","publicly traded","OTC: HTZZ","miscellaneous services","car rentals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"The Hertz Corporation","Hertz","$18,000","$0","$18,000","2005","20050718","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","18-CA-17156-001","","","Minnesota","St. Paul","","55116","532111","532111: Passenger Car Rental","USA","New Jersey","publicly traded","OTC: HTZZ","miscellaneous services","car rentals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"The Hertz Corporation","Hertz","$15,000","$0","$15,000","2010","20100406","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","18-CA-19230-001","","","Minnesota","St. Paul","","55116","532111","532111: Passenger Car Rental","USA","New Jersey","publicly traded","OTC: HTZZ","miscellaneous services","car rentals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
