"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Amerada Hess Corporation","Hess Corp.","$36,000","$0","$36,000","2002","20020418","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","New York","publicly traded","HES","oil and gas","oil & gas","https://www.bsee.gov/site-page/2002-civil-penalties",""
"Amerada Hess Corporation","Hess Corp.","$15,000","$0","$15,000","2000","20001011","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","12-CA-19476-001","","","Florida","Ft. Lauderdale","","33316","484220","484220: Specialized Freight (except Used Goods) Trucking, Local","USA","New York","publicly traded","HES","oil and gas","oil & gas","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Amerada Hess Corporation","Hess Corp.","$10,000","$0","$10,000","2003","20030129","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","New York","publicly traded","HES","oil and gas","oil & gas","https://www.bsee.gov/site-page/2003-civil-penalties",""
"Hess Corporation","Hess Corp.","$45,850,000","$0","$45,850,000","2012","20120425","environment-related offenses","environmental violation","","Hess Corporation agreed to pay an $850,000 civil penalty and spend more than $45 million in new pollution controls to resolve Clean Air Act violations at its Port Reading, New Jersey refinery. ","federal","agency action","Environmental Protection Agency","civil","","","","","","New Jersey","Port Reading","","","","","USA","New York","publicly traded","HES","oil and gas","oil & gas","http://www2.epa.gov/enforcement/hess-corporation-clean-air-act-settlement",""
"HESS CORPORATION","Hess Corp.","$5,000","$0","$5,000","2005","20051115","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","New York","publicly traded","HES","oil and gas","oil & gas","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_120056003.html?nocache=9174",""
"Hess Oil Company","Hess Corp.","$7,500","$0","$7,500","2016","20160212","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","New York","publicly traded","HES","oil and gas","oil & gas","https://www.fra.dot.gov/Elib/Document/16831","Year is fiscal year."
"Hess Corporation","Hess Corp.","$195,000","$0","$195,000","2021","20210311","environment-related offenses","environmental violation","","Clean Water Act","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","North Dakota","","","","","","USA","New York","publicly traded","HES","oil and gas","oil & gas","https://www.epa.gov/newsreleases/epa-settlement-hess-corporation-clean-water-act-violations-north-dakota-gas-plant",""
"Hess Corporation","Hess Corp.","$316,667","$0","$316,667","2019","20190215","environment-related offenses","environmental violation","","MTBE water pollution","state","agency action","Vermont Attorney General","civil","","","","","","Vermont","","","","","","USA","New York","publicly traded","HES","oil and gas","oil & gas","http://s3.amazonaws.com/fcmd/documents/documents/000/005/009/original/BP_Chevron_Exxon_Shell_Total_Valero_-_Vermont_MTBE_SETTLEMENT.pdf?1553095883",""
"HESS CORP","Hess Corp.","$5,550","$0","$5,550","2007","20070622","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","New York","publicly traded","HES","oil and gas","oil & gas","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"HESS CORPORATION","Hess Corp.","$8,925","$0","$8,925","2009","20091112","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","RENSSELAER","367 AMERICAN OIL ROAD","12144","493190","493190: Other Warehousing and Storage","USA","New York","publicly traded","HES","oil and gas","oil & gas","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
