"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Highmark, Inc","Highmark Inc.","$120,900","$0","$120,900","2014","20140131","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1715556","","","Pennsylvania","Pittsburgh","","15222","52411","52411: Direct Life, Health, and Medical Insurance Carriers","USA","New York","non-profit","","financial services","insurance","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Highmark, Inc.","Highmark Inc.","$1,500,000","$0","$1,500,000","2004","20040421","government-contracting-related offenses","False Claims Act and related","","Highmark, Inc., an insurance company headquartered in Pittsburgh, agreed to pay the United States $1.5 million to settle False Claims Act allegations.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","New York","non-profit","","financial services","insurance","https://www.justice.gov/archive/opa/pr/2004/April/04_civ_254.htm",""
"Healthnow New York","Highmark Inc.","$60,000","$0","$60,000","2016","20160822","consumer-protection-related offenses","consumer protection violation","","","state","agency action","New York Attorney General","civil","","","","","","New York","","","","","","USA","New York","non-profit","","financial services","insurance","https://web.archive.org/web/20170725142843/https://ag.ny.gov/press-release/ag-schneiderman-announces-settlement-healthnow-new-york-over-wrongful-denial-16",""
"HealthNow New York","Highmark Inc.","$5,000","$0","$5,000","2005","20050210","consumer-protection-related offenses","consumer protection violation","","","state","agency action","New York Attorney General","civil","","","","","","New York","","","","","","USA","New York","non-profit","","financial services","insurance","https://web.archive.org/web/20101113165604/http://www.ag.ny.gov/media_center/2005/feb/feb10a_05.html",""
"HealthNow NewYork, Inc.","Highmark Inc.","$212,500","$0","$212,500","2009","20090210","consumer-protection-related offenses","consumer protection violation","","To resolve a case involving allegations of unfair health insurance reimbursement rates, HealthNow agreed to pay $212,500 to a qualified nonprofit organization that would establish a new, independent database to help determine fair out-of-network reimbursement rates for consumers throughout the United States. ","state","agency action","New York Attorney General","civil","","","","","","New York","","","","","","USA","New York","non-profit","","financial services","insurance","https://web.archive.org/web/20101110042204/http://www.ag.ny.gov/media_center/2009/feb/feb10a_09.html",""
"Highmark Life Insurance Co.","Highmark Inc.","$12,000","$0","$12,000","2005","20050104","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Insurance","civil","","","","","","California","","","","","","USA","New York","non-profit","","financial services","insurance","https://legaldocs.insurance.ca.gov/publicdocs/SearchBasic",""
"Highmark BCBSD Inc.","Highmark Inc.","$383,000","$0","$383,000","2016","20160104","consumer-protection-related offenses","insurance violation","","","state","agency action","Delaware Department of Insurance","civil","","","","","","Delaware","","","","","","USA","New York","non-profit","","financial services","insurance","https://insurance.delaware.gov/wp-content/uploads/sites/15/2017/01/highmarkbcbsdinc.pdf",""
"HealthNow New York Inc.","Highmark Inc.","$1,050,000","$0","$1,050,000","2008","20080723","consumer-protection-related offenses","insurance violation","","","state","agency action","New York Department of Financial Services","civil","","","","","","New York","","","","","","USA","New York","non-profit","","financial services","insurance","New York Fines HealthNow $1 Million Following Probe of Infertility Treatment Denial, Bestwire, July 23, 2008 (via Nexis).","At the time of this case the agency was known as the New York Insurance Department."
"HealthNow","Highmark Inc.","$4,492,327","$0","$4,492,327","2011","20111109","consumer-protection-related offenses","insurance violation","","New York State authorities ordered 11 insurance companies to refund a total of $114.5 million to holders of policies that covered 573,748 people who were overcharged for health insurance premiums in 2010.","state","agency action","New York Department of Financial Services","civil","","","","","","New York","","","","","","USA","New York","non-profit","","financial services","insurance","https://www.dfs.ny.gov/reports_and_publications/press_releases/pr1111091",""
"HealthNow","Highmark Inc.","$101,640","$0","$101,640","2012","20120508","consumer-protection-related offenses","insurance violation","","The Department of Financial Services fined a group of insurance companies a total of $2.7 million for failing to notify small businesses that they were eligible to buy special insurance coverage for mental illnesses and children with serious emotional disturbances.","state","agency action","New York Department of Financial Services","civil","","","","","","New York","","","","","","USA","New York","non-profit","","financial services","insurance","https://www.dfs.ny.gov/reports_and_publications/press_releases/pr1205082",""
