"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"PlainsCapital Bank and PrimeLending","Hilltop Holdings","$30,780","$0","$30,780","2011","20110531","financial offenses","banking violation","","civil money penalty","federal","agency action","Federal Reserve","civil","","","","","","Texas","Dallas","","","","","USA","Texas","publicly traded","HTH","financial services","banking, brokerage and insurance","http://www.federalreserve.gov/newsevents/press/enforcement/enf20110531a1.pdf",""
"PrimeLending","Hilltop Holdings","$2,000,000","$0","$2,000,000","2010","20101208","consumer-protection-related offenses","mortgage abuses","discriminatory practices (non-employment)","PrimeLending, a national mortgage lender, agreed to pay $2 million to resolve allegations that it engaged in a pattern or practice of discrimination against African-American borrowers between 2006 and 2009.","federal","agency action","Justice Department Civil Rights Division","civil","","","","","","","","","","","","USA","Texas","publicly traded","HTH","financial services","banking, brokerage and insurance","https://www.justice.gov/opa/pr/justice-department-reaches-settlement-national-mortgage-lender-resolve-allegations-lending",""
"Southwest Securities, Inc.","Hilltop Holdings","$10,000,000","$0","$10,000,000","2005","20050110","financial offenses","investor protection violation","financial institution supervision failures","The SEC and the New York Stock Exchange announced the settlement of enforcement proceedings against Southwest Securities, Inc., a Dallas, Texas based broker-dealer and investment adviser. According to the SEC and NYSE, Southwest failed to supervise brokers in Southwest's downtown Dallas branch office who engaged in fraudulent mutual fund market timing schemes, late trading of mutual fund shares, or both.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Texas","publicly traded","HTH","financial services","banking, brokerage and insurance","https://www.sec.gov/news/press/2005-2.htm",""
"Hilltop Securities Inc.","Hilltop Holdings","$360,000","$0","$360,000","2016","20160202","financial offenses","investor protection violation","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Texas","publicly traded","HTH","financial services","banking, brokerage and insurance","https://www.sec.gov/litigation/admin/2016/33-10023.pdf",""
"Southwest Securities, Inc.","Hilltop Holdings","$470,147","$0","$470,147","2010","20100324","financial offenses","investor protection violation","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Texas","publicly traded","HTH","financial services","banking, brokerage and insurance","https://www.sec.gov/litigation/admin/2010/34-61768.pdf",""
"Hilltop Securities Inc. and Hilltop Securities Independent Network Inc.","Hilltop Holdings","$810,785","$0","$810,785","2019","20190930","financial offenses","investor protection violation","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Texas","publicly traded","HTH","financial services","banking, brokerage and insurance","https://www.sec.gov/news/press-release/2019-200",""
"American Summit Insurance Co.","Hilltop Holdings","$25,000","$0","$25,000","2013","20130606","consumer-protection-related offenses","insurance violation","","","state","agency action","Arizona Department of Insurance and Financial Institutions","civil","","","","","","Arizona","","","","","","USA","Texas","publicly traded","HTH","financial services","banking, brokerage and insurance","https://insurance.az.gov/sites/default/files/documents/files/AZ%20Docket%20No%2013A-066-INS_6-6-2013_19623.pdf","This case was brought by the Arizona Department of Insurance before it merged with the Department of Financial Institutions."
"PrimeLending, A PlainsCapital Company","Hilltop Holdings","$1,619,523","$0","$1,619,523","2016","20161103","consumer-protection-related offenses","consumer protection violation","","PrimeLending agreed to pay a $1.3 million penalty and refund customers in settlement of allegations it charged excess per diem interest on some loans. Refunds of $319,523 had already been found and repaid in a Self-Audit and was included in the terms of settlement.","state","agency action","California Department of Financial Protection and Innovation","civil","","","","","","California","","","","","","USA","Texas","publicly traded","HTH","financial services","banking, brokerage and insurance","https://dbo.ca.gov/wp-content/uploads/sites/296/2013/06/PrimeLending-A-PlainsCapital-Company.pdf",""
"Southwest Securities, Inc.","Hilltop Holdings","$7,500","$0","$7,500","2012","20121120","financial offenses","investor protection violation","","","state","agency action","Illinois Secretary of State-Securities","civil","","","","","","Illinois","","","","","","USA","Texas","publicly traded","HTH","financial services","banking, brokerage and insurance","https://www.ilsos.gov/adminactionssearch/adminactionssearch?command=viewPDF&itemId=92%203%20ICM7%20PRODCMZ13%20SE_AA_MgtView59%2026%20A1001001A12L13B04633I0779618%20A12L13B04633I077961%2014%201051",""
"National Lloyds Insurance Co.","Hilltop Holdings","$40,925","$0","$40,925","2009","20091230","consumer-protection-related offenses","insurance violation","","","state","agency action","Missouri Department of Insurance","civil","","","","","","Missouri","","","","","","USA","Texas","publicly traded","HTH","financial services","banking, brokerage and insurance","https://insurance.mo.gov/Contribute%20Documents/NationalLloydsInsuranceCo.PDF",""
"Southwest Securities, Inc.","Hilltop Holdings","$650,000","$0","$650,000","2011","20110322","financial offenses","investor protection violation","financial institution supervision failures","The Financial Industry Regulatory Authority fined Southwest Securities, Inc., of Dallas, $650,000 for deficiencies in due diligence, risk assessment and written supervisory procedures that permitted one of its correspondent firms, Cutler Securities, to create risk for Southwest through improper short sales.","federal","agency action","Financial Industry Regulatory Authority","civil","","","","","","","","","","","","USA","Texas","publicly traded","HTH","financial services","banking, brokerage and insurance","https://www.finra.org/media-center/news-releases/2011/finra-fines-southwest-securities-inc-650000-compliance-failures","FINRA is a securities industry self-regulatory body authorized by the federal government."
"Southwest Securities, Inc.","Hilltop Holdings","$500,000","$0","$500,000","2011","20110307","financial offenses","investor protection violation","","The Financial Industry Regulatory Authority fined Southwest Securities, Inc. of Dallas $500,000 for using paid consultants to solicit municipal securities business and for violations of other Municipal Securities Rulemaking Board (MSRB) rules.","federal","agency action","Financial Industry Regulatory Authority","civil","","","","","","","","","","","","USA","Texas","publicly traded","HTH","financial services","banking, brokerage and insurance","https://www.finra.org/media-center/news-releases/2011/finra-fines-southwest-securities-500000-paying-former-texas-municipal","FINRA is a securities industry self-regulatory body authorized by the federal government."
"Southwest Securities, Inc.","Hilltop Holdings","$36,971","$0","$36,971","2004","20040212","financial offenses","investor protection violation","","NASD announced enforcement and disciplinary actions against a total of 15 firms for failure to deliver mutual fund breakpoint discounts during 2001 and 2002. ","federal","agency action","Financial Industry Regulatory Authority","civil","","","","","","","","","","","","USA","Texas","publicly traded","HTH","financial services","banking, brokerage and insurance","https://web.archive.org/web/20041010211842/http://www.nasdr.com/news/pr2004/release_04_009.html","FINRA is a securities industry self-regulatory body authorized by the federal government. This case was handled by its predecessor, the National Association of Securities Dealers (NASD)."
"Southwest Securities Inc.","Hilltop Holdings","$500,000","$0","$500,000","2000","20000406","financial offenses","investor protection violation","","NASD Regulation, Inc. censured seven brokerage firms for engaging in the practice of yield burning and ordered them to pay a total of $21.4 million to the U.S. Treasury, under an agreement with the Internal Revenue Service and the United States Attorney for the Southern District of New York, and to pay disgorgement directly to 38 municipal issuers. The NASD press release did not specify how much each firm would pay. That information was obtained from an April 7, 2000 Associated Press article retrieved via Nexis.","federal","agency action","Financial Industry Regulatory Authority","civil","","","","","","","","","","","","USA","Texas","publicly traded","HTH","financial services","banking, brokerage and insurance","https://web.archive.org/web/20041019230709/http://www.nasdr.com/news/pr2000/ne_section00_081.html","FINRA is a securities industry self-regulatory body authorized by the federal government. This case was handled by its predecessor, the National Association of Securities Dealers (NASD)."
"Hilltop Securities Inc.","Hilltop Holdings","$340,193","$0","$340,193","2021","20210709","financial offenses","investor protection violation","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Texas","publicly traded","HTH","financial services","banking, brokerage and insurance","https://www.sec.gov/litigation/admin/2021/34-92370.pdf",""
