"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Hobby Lobby","Hobby Lobby Stores","$35,000","$0","$35,000","2009","20091026","employment-related offenses","employment discrimination","","disability","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Minnesota","","","","","","USA","Oklahoma","privately held","","retailing","retail-crafts","https://www.eeoc.gov/eeoc/newsroom/release/10-26-09.cfm","Description field shows type of discrimination that EEOC had alleged."
"Hobby Lobby Stores Inc","Hobby Lobby Stores","$50,000","$0","$50,000","2009","20090707","safety-related offenses","product safety violation","","The U.S. Consumer Product Safety Commission announced that nine children's product manufacturers, importers and sellers agreed to pay a total of more than $500,000 in civil penalties for allegedly violating the federal lead paint ban.","federal","agency action","Consumer Product Safety Commission","civil","","","","","","","","","","","","USA","Oklahoma","privately held","","retailing","retail-crafts","https://www.cpsc.gov/Newsroom/News-Releases/2009/Nine-Companies-Penalized-for-Selling-Childrens-Products-that-Violated-the-Federal-Lead-Paint-Ban",""
"HOBBY LOBBY","Hobby Lobby Stores","$18,000","$0","$18,000","2010","20101217","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","LATHAM","873 LOUDON ROAD","12110","236220","236220: Commercial and Institutional Building Construction","USA","Oklahoma","privately held","","retailing","retail-crafts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Hobby Lobby Stores Inc.","Hobby Lobby Stores","$3,000,000","$0","$3,000,000","2017","20170705","competition-related offenses","trade violations","","Hobby Lobby agreed to pay a fine of $3 million to settle allegations that it acquired mislabeled shipments of ancient artifacts that had been smuggled out of Iraq. It also agreed to forfeit thousands of the artifacts, which had been descripbed in customs documents as tile samples.","federal","agency action","U.S. Attorney-Eastern District of New York","civil","","","","","","","","","","","","USA","Oklahoma","privately held","","retailing","retail-crafts","https://www.justice.gov/usao-edny/pr/united-states-files-civil-action-forfeit-thousands-ancient-iraqi-artifacts-imported",""
"Hobby Lobby","Hobby Lobby Stores","$8,000","$0","$8,000","2017","20170306","consumer-protection-related offenses","consumer protection violation","","","state","agency action","Virginia Attorney General","civil","","","","","","Virginia","","","","","","USA","Oklahoma","privately held","","retailing","retail-crafts","https://www.oag.state.va.us/media-center/news-releases/900-march-6-2017-hobby-lobby-to-change-advertising-practices-as-part-of-settlement",""
"Hobby Lobby Stores, Inc.","Hobby Lobby Stores","$223,600","$0","$223,600","2014","20140612","consumer-protection-related offenses","consumer protection violation","","","state","agency action","New York Attorney General","civil","","","","","","New York","","","","","","USA","Oklahoma","privately held","","retailing","retail-crafts","https://web.archive.org/web/20171203093129/https://ag.ny.gov/press-release/ag-schneiderman-secures-over-220000-settlement-hobby-lobby-stores-investigation",""
"Hobby Lobby Stores, Inc.","Hobby Lobby Stores","$6,825","$0","$6,825","2015","20151001","environment-related offenses","environmental violation","","air pollution violation","state","agency action","California Air Resources Board","civil","","","","","","California","","","","","","USA","Oklahoma","privately held","","retailing","retail-crafts","https://ww2.arb.ca.gov/hobby-lobby-stores-inc-settlement-2015",""
"HOBBY LOBBY","Hobby Lobby Stores","$6,000","$0","$6,000","2013","20131220","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Mexico","ALBUQUERQUE","9350 EAGLE RANCH NW","87114","451120","451120: Hobby, Toy, and Game Stores","USA","Oklahoma","privately held","","retailing","retail-crafts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HOBBY LOBBY DISTRIBUTION II","Hobby Lobby Stores","$5,100","$0","$5,100","2016","20160216","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Oklahoma","OKLAHOMA CITY","3700 S. COUNCIL RD.","73179","451120","451120: Hobby, Toy, and Game Stores","USA","Oklahoma","privately held","","retailing","retail-crafts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HOBBY LOBBY STORES, INC.","Hobby Lobby Stores","$7,853","$0","$7,853","2018","20180522","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","OSHKOSH","1118 S KOELLER ST.","54902","451120","451120: Hobby, Toy, and Game Stores","USA","Oklahoma","privately held","","retailing","retail-crafts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
