"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Columbus Manufacturing Inc., a wholly owned subsidiary of Columbus Foods LLC","Hormel Foods","$6,685,446","$0","$6,685,446","2012","20120131","environment-related offenses","environmental violation","","South San Francisco, Calif., food processor Columbus Manufacturing Inc., a wholly owned subsidiary of Columbus Foods LLC, agreed to pay a penalty and make significant upgrades to settle Clean Air Act violations, the Department of Justice and the U.S. Environmental Protection Agency announced. The case stemmed from two releases of anhydrous ammonia that occurred in 2009 at its manufacturing facility located in South San Francisco, Calif. As part of the consent , Columbus was to pay a penalty of $685,446 and spend approximately $6 million converting its refrigeration system to a safer technology that uses glycol and ammonia.","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","California","South San Francisco","","","","","USA","Minnesota","publicly traded","HRL","food products","meatpacking","http://www.justice.gov/opa/pr/south-san-francisco-food-processing-factory-will-pay-nearly-700000-penalties-spend-6-million",""
"Hormel Foods Corp.","Hormel Foods","$550,000","$0","$550,000","2016","20161220","employment-related offenses","employment discrimination","","Hormel Foods Corp. agreed to hire 37 women with retroactive seniority and pay $550,000 in back wages to 403 female job applicants denied entry-level production positions at its Fremont hog-processing facility to resolve DOL findings that the company ? a large federal contractor ? discriminated in hiring against women in violation of Executive Order 11246.","federal","agency action","Office of Federal Contract Compliance Programs","civil","","","","","","Nebraska","Fremont","","","","","USA","Minnesota","publicly traded","HRL","food products","meatpacking","https://www.dol.gov/newsroom/releases/ofccp/ofccp20161220",""
"Hormel Foods Corporation","Hormel Foods","$102,288","$0","$102,288","2004","20040101","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1340770","","","Iowa","Osceola","","50213","311612","311612: Meat Processed from Carcasses","USA","Minnesota","publicly traded","HRL","food products","meatpacking","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Jennie-O Turkey Store","Hormel Foods","$9,880","$0","$9,880","2009","20091006","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","18-CA-18986-001","","","Minnesota","Faribault","","55021","311611","311611: Animal (except Poultry) Slaughtering","USA","Minnesota","publicly traded","HRL","food products","meatpacking","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Jennie-O Turkey Store Inc.","Hormel Foods","$491,861","$0","$491,861","2016","20160621","employment-related offenses","employment discrimination","","Jennie-O Turkey Store Inc. agreed to hire 53 women and pay $491,861 in back wages to 339 female job applicants denied entry-level jobs at its Willmar turkey-processing facility to resolve a lawsuit alleging the global turkey products producer discriminated in its hiring practices.","federal","agency action","Office of Federal Contract Compliance Programs","civil","","","","","","Minnesota","Willmar","","","","","USA","Minnesota","publicly traded","HRL","food products","meatpacking","https://www.dol.gov/newsroom/releases/ofccp/ofccp20160621",""
"Rochelle Foods, Inc.","Hormel Foods","$12,000","$0","$12,000","2007","20071011","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","33-CA-15475-001","","","Illinois","Rochelle","","61068","311611","311611: Animal (except Poultry) Slaughtering","USA","Minnesota","publicly traded","HRL","food products","meatpacking","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"JENNIE-O TURKEY STORE INC","Hormel Foods","$15,000","$0","$15,000","2008","20080208","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Minnesota","WILLMAR","1530 30TH STREET SW","56201","311615","311615: Poultry Processing","USA","Minnesota","publicly traded","HRL","food products","meatpacking","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"COLUMBUS FOODS, LLC","Hormel Foods","$15,840","$0","$15,840","2010","20100902","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","SOUTH SAN FRANCISCO","493 FORBES BLVD.","94080","311612","311612: Meat Processed from Carcasses","USA","Minnesota","publicly traded","HRL","food products","meatpacking","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"JENNIE-O TURKEY STORE INC","Hormel Foods","$31,000","$0","$31,000","2006","20060203","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Minnesota","MELROSE","123 S 5TH AVE E","56352","311615","311615: Poultry Processing","USA","Minnesota","publicly traded","HRL","food products","meatpacking","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MOUNTAIN PRAIRIE L.L.C.","Hormel Foods","$18,000","$0","$18,000","2004","20040422","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","LAS ANIMAS","HWY 101, 5 MILES S.LAS ANIMAS","81054","112210","112210: Hog and Pig Farming","USA","Minnesota","publicly traded","HRL","food products","meatpacking","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
