"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Household International","HSBC","$54,328","$0","$54,328","2003","20030811","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1291499","","","Virginia","Virginia Beach","","23452","56144","56144: Collection Agencies","United Kingdom","","publicly traded","LSE: HSBA","financial services","banking","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"HSBC","HSBC","$10,000,000","$0","$10,000,000","2014","20140701","consumer-protection-related offenses","mortgage abuses","","The United States Attorney for the Southern District of New York and the Federal Housing Finance Agency announced that the United States settled civil fraud claims under the False Claims Act against HSBC Bank USA N.A., HSBC Finance Corporation, HSBC Mortgage Corporation  (USA), and HSBC Mortgage Services Inc. related to what was said to be HSBC's failure to oversee the reasonableness of foreclosure-related charges submitted to the Federal Housing Administration and the Federal National Mortgage Association for reimbursement.","federal","agency action","U.S. Attorney-Southern District of New York","civil","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: HSBA","financial services","banking","https://www.justice.gov/usao-sdny/pr/manhattan-us-attorney-settles-civil-fraud-claims-against-hsbc-bank-failure-monitor-fees",""
"HSBC","HSBC","$5,250,000","$0","$5,250,000","2012","20120312","financial offenses","toxic securities abuses","","The National Credit Union Administration and HSBC reached a settlement regarding potential claims relating to the sale of residential mortgage-backed securities to five failed wholesale credit unions.","federal","agency action","National Credit Union Administration","civil","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: HSBA","financial services","banking","https://www.ncua.gov/newsroom/Pages/NW20120312HSBCClaim.aspx",""
"HSBC","HSBC","$16,545","$0","$16,545","2007","20070211","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1465003","","","Kansas","Topeka","","66604","522120","522120: Savings Institutions","United Kingdom","","publicly traded","LSE: HSBA","financial services","banking","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"HSBC Bank","HSBC","$275,000,000","$0","$275,000,000","2014","20141112","competition-related offenses","interest rate benchmark manipulation","","The U.S. Commodity Futures Trading Commission settled charges against Citibank N.A., HSBC Bank plc, JPMorgan Chase Bank N.A., The Royal Bank of Scotland plc and UBS AG for attempted manipulation of, and for aiding and abetting other banks' attempts to manipulate, global foreign exchange (FX) benchmark rates to benefit the positions of certain traders.","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: HSBA","financial services","banking","http://www.cftc.gov/PressRoom/PressReleases/pr7056-14",""
"HSBC Bank","HSBC","$7,599","$0","$7,599","2006","20060819","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1452668","","","New York","Hewlett","","11557","551111","551111: Offices of Bank Holding Companies","United Kingdom","","publicly traded","LSE: HSBA","financial services","banking","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"HSBC Bank USA","HSBC","$11,000","$0","$11,000","2003","20030606","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: HSBA","financial services","banking","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/06062003.pdf",""
"HSBC Bank USA","HSBC","$8,375","$0","$8,375","2004","20040507","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: HSBA","financial services","banking","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/05072004.pdf",""
"HSBC Bank USA","HSBC","$5,500","$0","$5,500","2004","20040806","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: HSBA","financial services","banking","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/08062004.pdf",""
"HSBC Bank USA","HSBC","$5,500","$0","$5,500","2003","20030606","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: HSBA","financial services","banking","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/06062003.pdf",""
