"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Saks Incorporated","Hudson's Bay Co.","$7,920","$0","$7,920","2007","20070911","employment-related offenses","wage and hour violation","child labor or youth employment violation","child labor penalties included","federal","agency action","Labor Department Wage and Hour Division","civil","","","1494386","","","New York","Poughkeepsie","","12601","448150","448150: Clothing Accessories Stores","Canada","","publicly traded","","retailing","retail-department stores","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Saks Fifth Avenue","Hudson's Bay Co.","$170,000","$0","$170,000","2010","20100107","employment-related offenses","employment discrimination","Americans with Disabilities Act","disability","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Louisiana","New Orleans","","","","","Canada","","publicly traded","","retailing","retail-department stores","https://www.eeoc.gov/eeoc/newsroom/release/1-7-102.cfm","Description field shows type of discrimination that EEOC had alleged."
"Saks Fifth Avenue","Hudson's Bay Co.","$5,900","$0","$5,900","2003","20030828","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","12-CA-22951-001","","","Florida","Orlando","","32809","452111","452111: Department Stores (except Discount Department Stores)","Canada","","publicly traded","","retailing","retail-department stores","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Saks Fifth Ave., Hickory Ridge Distribution Center","Hudson's Bay Co.","$8,000","$0","$8,000","2002","20020308","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","05-CA-29291-001","","","Maryland","Aberdeen","","21001","238210","238210: Electrical Contractors","Canada","","publicly traded","","retailing","retail-department stores","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Saks & Company","Hudson's Bay Co.","$5,030,000","$0","$5,030,000","2018","20180412","employment-related offenses","wage and hour violation","","meal/rest break violation","state","private litigation","","civil","","Superior Court of State of California, County of San Francisco","CGC14538900","NICK PEREZ VS. SAKS & COMPANY","settlement","California","","","","","","Canada","","publicly traded","","retailing","retail-department stores","https://www.law360.com/articles/901787/saks-5m-wage-deal-stalls-as-judge-troubled-by-terms",""
"Lord & Taylor LLC","Hudson's Bay Co.","$100,000","$0","$100,000","2018","20181113","consumer-protection-related offenses","discriminatory practices (non-employment)","","Lord & Taylor agreed to pay $100,000 as part of a settlement of allegations its loss prevention practices resulted in racial discrimination.","state","agency action","Massachusetts Attorney General","civil","","","","","","Massachusetts","","","","","","Canada","","publicly traded","","retailing","retail-department stores","https://wayback.archive-it.org/1101/20181226112945/https://www.mass.gov/news/lord-taylor-resolves-allegations-of-racial-profiling-following-ag-investigation",""
"GILT GROUPE, INC","Hudson's Bay Co.","$6,000","$0","$6,000","2013","20130504","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","BROOKLYN","63 FLUSHING AVENUEBROOKLYN NAVY YARD, BLDG #3","11205","424330","424330: Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers","Canada","","publicly traded","","retailing","retail-department stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SAKS FIFTH AVENUE, INC","Hudson's Bay Co.","$6,000","$0","$6,000","2013","20131031","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Massachusetts","BOSTON","23 DRY DOCK AVENUE","02210","452111","452111: Department Stores (except Discount Department Stores)","Canada","","publicly traded","","retailing","retail-department stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SAKS FIFTH AVENUE","Hudson's Bay Co.","$17,000","$0","$17,000","2014","20140211","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","WOODSIDE","34-48 56TH ST.","11377","337215","337215: Showcase, Partition, Shelving, and Locker Manufacturing","Canada","","publicly traded","","retailing","retail-department stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LORD & TAYLOR, LLC","Hudson's Bay Co.","$9,350","$0","$9,350","2014","20140911","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","WILKES BARRE","250 HIGHLAND BOULEVARD","18702","493110","493110: General Warehousing and Storage","Canada","","publicly traded","","retailing","retail-department stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SAKS & COMPANY, LLC","Hudson's Bay Co.","$9,885","$0","$9,885","2016","20160502","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","COSTA MESA","3333 SOUTH BRISTOL","92626","452111","452111: Department Stores (except Discount Department Stores)","Canada","","publicly traded","","retailing","retail-department stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GILT GROUPE, INC.","Hudson's Bay Co.","$12,471","$0","$12,471","2016","20160519","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","NEW YORK","2 PARK AVENUE","10006","424330","424330: Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers","Canada","","publicly traded","","retailing","retail-department stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SAKS FIFTH AVENUE","Hudson's Bay Co.","$27,715","$0","$27,715","2018","20180126","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","NEW YORK","611 5TH AVENUE","10022","452111","452111: Department Stores (except Discount Department Stores)","Canada","","publicly traded","","retailing","retail-department stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
