"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Community Hospice, Inc.","Humana","$13,357","$0","$13,357","2012","20120611","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1655766","","","North Carolina","Washington","","27889","621610","621610: Home Health Care Services","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Humana Inc.","Humana","$1,814,000","$0","$1,814,000","2013","20131223","healthcare-related offenses","HHS civil monetary penalties","","Humana Inc. agreed to pay $1,814,000 for allegedly submitting prescription drug event date claims that included sales tax from Louisiana pharmacies even though Medicare Part D drugs were not taxable under Louisiana law as of July 1, 2006. ","federal","agency action","Health & Human Services Department Office of Inspector General","civil","","","","","","","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://oig.hhs.gov/fraud/enforcement/cmp/cmp-ae.asp",""
"Humana Inc.","Humana","$583,380","$0","$583,380","2005","20050226","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1373379","","","Kentucky","Louisville","","40202","524114","524114: Direct Health and Medical Insurance Carriers","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Humana Inc.","Humana","$484,069","$0","$484,069","2005","20050219","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1416676","","","Kentucky","Louisville","","40201","524114","524114: Direct Health and Medical Insurance Carriers","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Humana Inc.","Humana","$429,879","$0","$429,879","2005","20050226","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1332498","","","Wisconsin","Green Bay","","54344","524114","524114: Direct Health and Medical Insurance Carriers","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Humana Inc.","Humana","$17,954","$0","$17,954","2009","20091231","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1553113","","","Kentucky","Louisville","","40203","524114","524114: Direct Health and Medical Insurance Carriers","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Humana, Inc.","Humana","$3,100,900","$0","$3,100,900","2015","20151229","healthcare-related offenses","Medicare Parts C and D Enforcement Action","","improper contract administration","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://web.archive.org/web/20161221135644/https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/PartCandPartDEnforcementActions-.html",""
"Humana, Inc.","Humana","$70,000","$0","$70,000","2013","20131018","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1679089","","","Arizona","Glendale","","85305","446110","446110: Pharmacies and Drug Stores","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Humana Insurance Company","Humana","$55,880","$0","$55,880","2010","20101008","healthcare-related offenses","Medicare Parts C and D Enforcement Action","","Required Beneficiary Notices","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://web.archive.org/web/20161221135644/https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/PartCandPartDEnforcementActions-.html",""
"Humana Insurance Company","Humana","$19,524","$0","$19,524","2009","20091231","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1510016","","","Wisconsin","De Pere","","54115","524114","524114: Direct Health and Medical Insurance Carriers","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"HUMANA INC.","Humana","$6,750","$0","$6,750","2005","20050929","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","LOUISVILLE","516-526 WEST MAIN","40202","524113","524113: Direct Life Insurance Carriers","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Humana Inc.","Humana","$2,500,000","$0","$2,500,000","2018","20180319","employment-related offenses","employment discrimination","","gender","federal","agency action","Office of Federal Contract Compliance Programs","civil","","","","","","Kentucky","Louisville","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://www.dol.gov/ofccp/foia/files/Humana_CA_Redacted.pdf",""
"HUMANA INC","Humana","$27,078","$0","$27,078","2013","20130516","employment-related offenses","wage and hour violation","","overtime violation","state","agency action","Kentucky Department of Workplace Standards","civil","","","5620540","","","Kentucky","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","Contained in data obtained on April 11, 2017 in response to an open records request. ",""
"Humana, Inc.","Humana","$128,423","$0","$128,423","2018","20180413","employment-related offenses","wage and hour violation","","overtime violation","federal","agency action","Labor Department Wage and Hour Division","civil","","","1847752","","","Kentucky","Louisville","101 E. Main St.","40202","524114","524114: Direct Health and Medical Insurance Carriers","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","August 24, 2018 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Humana Inc.","Humana","$128,422","$0","$128,422","2018","20180709","employment-related offenses","wage and hour violation","","overtime violation","federal","agency action","Labor Department Wage and Hour Division","civil","","","","","","Kentucky","Louisville","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://www.dol.gov/newsroom/releases/whd/whd20180709",""
"Humana Inc.","Humana","$500,000","$0","$500,000","2019","20190308","employment-related offenses","employment discrimination","","The settlement also provided for attorney fees but the amount was not specified in the settlement document. The case involved pregnancy discrimination.","federal","private litigation","","civil","","District of New Jersey","3:16-cv-6680","Jenkins v. Humana, Inc. et al","settlement","","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://www.law360.com/articles/1137638/humana-paying-750k-to-resolve-pregnancy-bias-complaint",""
