"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Hutchinson Salt Co.","Hutchinson Salt","$18,000","$0","$18,000","2008","20080108","environment-related offenses","environmental violation","","","state","agency action","Missouri Attorney General","civil","","","","","","Missouri","Marceline","","","","","USA","Kansas","privately held","","mining and minerals","salt mining","https://web.archive.org/web/20080706050931/http://ago.mo.gov/newsreleases/2008/010808b.htm",""
"Hutchinson Salt Company","Hutchinson Salt","$7,176","$0","$7,176","2009","20090527","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Kansas","Topeka","","","","","USA","Kansas","privately held","","mining and minerals","salt mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Hutchinson Salt Company","Hutchinson Salt","$11,179","$0","$11,179","2008","20081202","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Kansas","Topeka","","","","","USA","Kansas","privately held","","mining and minerals","salt mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Hutchinson Salt Company","Hutchinson Salt","$20,894","$0","$20,894","2011","20110607","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Kansas","Topeka","","","","","USA","Kansas","privately held","","mining and minerals","salt mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Hutchinson Salt Company","Hutchinson Salt","$9,882","$0","$9,882","2011","20110726","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Kansas","Topeka","","","","","USA","Kansas","privately held","","mining and minerals","salt mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Hutchinson Salt Company","Hutchinson Salt","$15,000","$0","$15,000","2011","20111213","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Kansas","Topeka","","","","","USA","Kansas","privately held","","mining and minerals","salt mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Hutchinson Salt Company","Hutchinson Salt","$10,705","$0","$10,705","2013","20130924","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Kansas","Topeka","","","","","USA","Kansas","privately held","","mining and minerals","salt mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Hutchinson Salt Company","Hutchinson Salt","$6,624","$0","$6,624","2013","20131203","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Kansas","Topeka","","","","","USA","Kansas","privately held","","mining and minerals","salt mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Hutchinson Salt Company","Hutchinson Salt","$5,353","$0","$5,353","2013","20131119","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Kansas","Topeka","","","","","USA","Kansas","privately held","","mining and minerals","salt mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Hutchinson Salt Company","Hutchinson Salt","$5,328","$0","$5,328","2011","20110606","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Kansas","Topeka","","","","","USA","Kansas","privately held","","mining and minerals","salt mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
