"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Coffeyville Resources","Icahn Enterprises","$22,000,000","$0","$22,000,000","2004","20040304","environment-related offenses","environmental violation","","To resolve a Clean Air Act case, Coffeyville Resources Refining and Marketing, LLC and Coffeyville Resources Terminal agreed to spend $22 million to reduce emissions of volatile organic compounds, particulate matter and benzene.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","Kansas","","","","","","USA","New York","publicly traded","IEP","diversified","diversified","https://www.justice.gov/archive/opa/pr/2004/March/04_enrd_140.htm",""
"COFFEYVILLE RESOURCES CRUDE TRANSPORTATION LLC","Icahn Enterprises","$74,700","$0","$74,700","2012","20120511","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","New York","publicly traded","IEP","diversified","diversified","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_320125010.html?nocache=1092",""
"Coffeyville Resources Refining & Marketing","Icahn Enterprises","$11,720,000","$0","$11,720,000","2012","20120306","environment-related offenses","environmental violation","","Coffeyville Resources Refining & Marketing agreed to pay a civil penalty of more than $970,000 and invest more than $4.25 million in new pollution controls and $6.5 million in operating costs to resolve alleged violations of air, Superfund and community right-to-know laws at its Coffeyville, Kan., refinery, announced the Department of Justice and the U.S. Environmental Protection Agency.","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","Kansas","Coffeyville","","","","","USA","New York","publicly traded","IEP","diversified","diversified","http://www.justice.gov/opa/pr/kansas-refinery-pay-nearly-1-million-penalty-environmental-violations-related-air-emissions",""
"Coffeyville Resources Refining & Marketing","Icahn Enterprises","$2,302,500","$0","$2,302,500","2013","20130212","environment-related offenses","environmental violation","","Coffeyville Resources Refining & Marketing agreed to pay a $556,244 civil penalty to settle alleged violations of the Clean Water Act at its facility in Coffeyville, Kansas, the Environmental Protection Agency announced. In addition to paying the penalty, CRRM will pay $1,746,256 for reimbursement of federal response costs associated with the cleanup of the Verdigris River following a 2007 flood and oil spill.","federal","agency action","Environmental Protection Agency","civil","","","","","","Kansas","Coffeyville","","","","","USA","New York","publicly traded","IEP","diversified","diversified","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/caf788c198308f9d85257b1000795325.html",""
"Coffeyville Resources Refining & Marketing","Icahn Enterprises","$300,000","$0","$300,000","2013","20130522","environment-related offenses","environmental violation","","Coffeyville Resources Refining & Marketing (CRRM) has agreed to pay a $300,000 civil penalty to settle alleged violations of the Clean Air Act (CAA) at its oil refinery in Coffeyville, Kan.","federal","agency action","Environmental Protection Agency","civil","","","","","","Kansas","Coffeyville","","","","","USA","New York","publicly traded","IEP","diversified","diversified","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/c991999b08f14cdb85257b730056a2b5.html",""
"CVR Energy, Incorporated","Icahn Enterprises","$1,792,837","$0","$1,792,837","2011","20110129","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1594909","","","Kansas","Coffeyville","","67337","238220","238220: Plumbing, Heating, and Air-Conditioning Contractors","USA","New York","publicly traded","IEP","diversified","diversified","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Pep Boys-Manny, Moe & Jack","Icahn Enterprises","$5,000,000","$0","$5,000,000","2010","20100510","environment-related offenses","environmental violation","","The Pep Boys - Manny, Moe & Jack - agreed to pay $5 million in civil penalties and take corrective measures to settle claims that it violated the Clean Air Act by importing and selling motorcycles, recreational vehicles and generators manufactured in China that do not comply with environmental requirements. ","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","","","","","","","USA","New York","publicly traded","IEP","diversified","diversified","http://www.justice.gov/opa/pr/pep-boys-agrees-pay-5-million-resolve-clean-air-act-violations-claims",""
"PTAC Operating Centers, Inc.","Icahn Enterprises","$31,523","$0","$31,523","2013","20130420","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1692914","","","Virginia","Leesburg","","20175","811111","811111: General Automotive Repair","USA","New York","publicly traded","IEP","diversified","diversified","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Trump Plaza Associates d/b/a Trump World's Fair Casino","Icahn Enterprises","$11,414","$0","$11,414","2004","20040929","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","04-CA-25155-003","","","New Jersey","Atlantic City","","08401","713290","713290: Other Gambling Industries","USA","New York","publicly traded","IEP","diversified","diversified","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"TRW, Inc. TRW Valve Division","Icahn Enterprises","$28,137","$0","$28,137","2002","20020318","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","08-CA-31756-001","","","Ohio","Cleveland","","44110","336370","336370: Motor Vehicle Metal Stamping","USA","New York","publicly traded","IEP","diversified","diversified","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"PEP BOYS MANNY MOE & JACK OF PUERTO RICO INC #0914","Icahn Enterprises","$5,250","$0","$5,250","2009","20090910","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Puerto Rico","CAROLINA","CARR #3 KM 14 LOS COLOBOS SHOPPING CENTER","00987","811118","811118: Other Automotive Mechanical and Electrical Repair and Maintenance","USA","New York","publicly traded","IEP","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"THE PEP BOYS - MANNY, MOE & JACK","Icahn Enterprises","$6,200","$0","$6,200","2009","20090921","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","MCDONOUGH","55 LIBERTY INDUSTRIAL PARKWAY","30252","423120","423120: Motor Vehicle Supplies and New Parts Merchant Wholesalers","USA","New York","publicly traded","IEP","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"THE PEP BOYS - MANNY, MOE & JACK DBA PEP BOYS AUTO","Icahn Enterprises","$26,750","$0","$26,750","2008","20080627","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","SAN JOSE","2730 E. STORY RD.","95127","441310","441310: Automotive Parts and Accessories Stores","USA","New York","publicly traded","IEP","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PEP BOYS #0697","Icahn Enterprises","$7,500","$0","$7,500","2008","20080423","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Mexico","ALBUQUERQUE","4523 CENTRAL NE","87108","441310","441310: Automotive Parts and Accessories Stores","USA","New York","publicly traded","IEP","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PEP BOYS - MANNY, MOE & JACK, A PENNSYLVANIA CORP.","Icahn Enterprises","$11,900","$0","$11,900","2011","20110104","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Delaware","TALLEYVILLE","2904 CONCORD PIKE","19803","811111","811111: General Automotive Repair","USA","New York","publicly traded","IEP","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"COFFEYVILLE RESOURCES REFINING & MARKETING LLC","Icahn Enterprises","$32,500","$0","$32,500","2008","20080925","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kansas","COFFEYVILLE","400 N. LINDEN","67337","324110","324110: Petroleum Refineries","USA","New York","publicly traded","IEP","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PSC METALS INC.","Icahn Enterprises","$20,000","$0","$20,000","2009","20090716","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","ELYRIA","800 INFIRMARY ROAD","44035","423930","423930: Recyclable Material Merchant Wholesalers","USA","New York","publicly traded","IEP","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
