"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Akron Brass Company","IDEX Corp.","$20,000","$0","$20,000","2001","20010515","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","08-CA-31944-001","","","Ohio","Wooster","","44691","922160","922160: Fire Protection","USA","Illinois","publicly traded","IEX","industrial equipment","industrial equipment","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"IDEX Corporation","IDEX Corp.","$380,000","$0","$380,000","2017","20170419","employment-related offenses","employment discrimination","","disability","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Florida","Miami","","","","","USA","Illinois","publicly traded","IEX","industrial equipment","industrial equipment","https://www.eeoc.gov/eeoc/newsroom/release/4-19-17.cfm","Description field shows type of discrimination that EEOC had alleged."
"Pulsafeeder, Inc.","IDEX Corp.","$80,000","$0","$80,000","2010","20100728","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","USA","Illinois","publicly traded","IEX","industrial equipment","industrial equipment","http://efoia.bis.doc.gov/index.php/component/docman/doc_view/570-e2178?Itemid=",""
"Versa-Matic Pump Company","IDEX Corp.","$55,000","$0","$55,000","2003","20030508","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","USA","Illinois","publicly traded","IEX","industrial equipment","industrial equipment","FOIA142","Source document obtained through a Freedom of Information Act request to the agency."
"GAST MFG CORP","IDEX Corp.","$7,158","$0","$7,158","2010","20100920","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","BENTON HARBOR","2300 M 139 HWY","49022","333912","333912: Air and Gas Compressor Manufacturing","USA","Illinois","publicly traded","IEX","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"IDEX HEALTH & SCIENCE, LLC","IDEX Corp.","$14,000","$0","$14,000","2010","20100112","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","BRISTOL","110 HALCYON DRIVE","06010","339113","339113: Surgical Appliance and Supplies Manufacturing","USA","Illinois","publicly traded","IEX","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GAST MFG CORP","IDEX Corp.","$13,617","$0","$13,617","2008","20080624","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","BENTON HARBOR","2300 M 139 HWY","49022","333912","333912: Air and Gas Compressor Manufacturing","USA","Illinois","publicly traded","IEX","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"EASTERN PLASTICS, INC.","IDEX Corp.","$5,250","$0","$5,250","2005","20050303","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","BRISTOL","110 HALCYON DRIVE","06010","326199","326199: All Other Plastics Product Manufacturing","USA","Illinois","publicly traded","IEX","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VIKING PUMP, INC.","IDEX Corp.","$50,942","$0","$50,942","2002","20021212","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Iowa","CEDAR FALLS","406 STATE STREET","50613","331525","331525: Copper Foundries (except Die-Casting)","USA","Illinois","publicly traded","IEX","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Hale Products Inc.","IDEX Corp.","$60,200","$0","$60,200","2016","20161014","competition-related offenses","price-fixing or anti-competitive practices","","","federal","agency action","Justice Department Antitrust Division","criminal","non-prosecution agreement","","","","","","","","","","","USA","Illinois","publicly traded","IEX","industrial equipment","industrial equipment","https://www.justice.gov/opa/pr/israeli-executive-extradited-and-arraigned-fraud-charges-involving-foreign-military-financing",""
"GAST MFG CORP","IDEX Corp.","$10,800","$0","$10,800","2012","20120726","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","BENTON HARBOR","2300 M 139 HWY","49022","333912","333912: Air and Gas Compressor Manufacturing","USA","Illinois","publicly traded","IEX","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VIKING PUMP, INC.","IDEX Corp.","$14,000","$0","$14,000","2011","20110818","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Iowa","CEDAR FALLS","711-715 VIKING ROAD","50613","333911","333911: Pump and Pumping Equipment Manufacturing","USA","Illinois","publicly traded","IEX","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BAND-IT-IDEX, INC.","IDEX Corp.","$8,820","$0","$8,820","2015","20150302","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","DENVER","4799 DAHLIA ST.","80216","332999","332999: All Other Miscellaneous Fabricated Metal Product Manufacturing","USA","Illinois","publicly traded","IEX","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"IDEX HEALTH & SCIENCE LLC","IDEX Corp.","$15,182","$0","$15,182","2018","20180110","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","BRISTOL","110 HALCYON DRIVE","06010","326199","326199: All Other Plastics Product Manufacturing","USA","Illinois","publicly traded","IEX","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"IDEX HEALTH & SCIENCE LLC","IDEX Corp.","$5,174","$0","$5,174","2018","20180302","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","BRISTOL","110 HALCYON DRIVE","06010","326199","326199: All Other Plastics Product Manufacturing","USA","Illinois","publicly traded","IEX","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
