"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Buehler Ltd.","Illinois Tool Works","$20,000","$0","$20,000","2008","20080222","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","USA","Illinois","publicly traded","ITW","industrial equipment","industrial equipment","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/02222008.pdf",""
"Buehler Limited","Illinois Tool Works","$200,000","$0","$200,000","2008","20081212","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","USA","Illinois","publicly traded","ITW","industrial equipment","industrial equipment","https://efoia.bis.doc.gov/index.php/component/docman/?task=doc_download&gid=477&Itemid=",""
"Buehler Limited","Illinois Tool Works","$27,000","$0","$27,000","2007","20071010","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","USA","Illinois","publicly traded","ITW","industrial equipment","industrial equipment","https://efoia.bis.doc.gov/index.php/component/docman/?task=doc_download&gid=404&Itemid=",""
"Illinois Tool Works","Illinois Tool Works","$142,000","$0","$142,000","2000","20000424","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","USA","Illinois","publicly traded","ITW","industrial equipment","industrial equipment","FOIA183","Source document obtained through a Freedom of Information Act request to the agency."
"ITW HIGHLAND","Illinois Tool Works","$9,870","$0","$9,870","2009","20090721","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","WATERBURY","1240 WOLCOTT STREET","06722","332116","332116: Metal Stamping","USA","Illinois","publicly traded","ITW","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ITW/UNITED SILICONE","Illinois Tool Works","$7,875","$0","$7,875","2009","20090529","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","SPRINGFIELD","1982 COMMERCE ROAD","45504","333999","333999: All Other Miscellaneous General Purpose Machinery Manufacturing","USA","Illinois","publicly traded","ITW","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ILLINOIS TOOL WORKS - ITW CIP","Illinois Tool Works","$5,500","$0","$5,500","2009","20090414","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","WATERBURY","130 HUNTINGDON AVE","06708","336370","336370: Motor Vehicle Metal Stamping","USA","Illinois","publicly traded","ITW","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ILLINOIS TOOL WORKS INC TA ASBURY TOWEL CO.,INC.","Illinois Tool Works","$18,700","$0","$18,700","2008","20080213","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","EAST WINDSOR","406 WYCKOFFS MILLS ROAD","08520","314129","314129: Other Household Textile Product Mills","USA","Illinois","publicly traded","ITW","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ITW BUILDING COMPONENTS GROUP INC.","Illinois Tool Works","$12,375","$0","$12,375","2007","20070725","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","HAINES CITY","1950 MARLEY DR.","33844","332313","332313: Plate Work Manufacturing","USA","Illinois","publicly traded","ITW","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CELESTE INDUSTRIES CORPORATION","Illinois Tool Works","$7,600","$0","$7,600","2007","20070501","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Maryland","EASTON","7978 INDUSTRIAL PARK ROAD","21601","325611","325611: Soap and Other Detergent Manufacturing","USA","Illinois","publicly traded","ITW","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
