"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Imperial Aluminum-Minerva LLC","Imperial Group","$17,744","$0","$17,744","2010","20101102","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","08-CA-39020-001","","","Ohio","Minerva","","44657","331312","331312: Primary Aluminum Production","USA","Illinois","privately held","","metals","metals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"MAYCO INDUSTRIES, INC","Imperial Group","$44,750","$0","$44,750","2005","20050502","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","BIRMINGHAM","18 WEST OXMOOR ROAD","35209","339999","339999: All Other Miscellaneous Manufacturing","USA","Illinois","privately held","","metals","metals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"IMPERIAL ZINC CORPORATION","Imperial Group","$8,000","$0","$8,000","2003","20031021","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","CHICAGO","1031 E. 103RD STREET","60628","331314","331314: Secondary Smelting and Alloying of Aluminum","USA","Illinois","privately held","","metals","metals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MAYCO INDUSTRIES, LLC","Imperial Group","$11,500","$0","$11,500","2002","20020724","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","BIRMINGHAM","18 WEST OXMOOR ROAD","35209","000000","","USA","Illinois","privately held","","metals","metals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"IMPERIAL GROUP","Imperial Group","$6,191","$0","$6,191","2001","20010302","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Tennessee","CELINA","DONALDSON AVE","38551","000000","","USA","Illinois","privately held","","metals","metals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Imperial Aluminum Scottsboro, LLC","Imperial Group","$5,000","$0","$5,000","2020","20200814","environment-related offenses","environmental violation","","air quality violation","state","agency action","Alabama Department of Environmental Management","civil","","","20-095-CAP","","","Alabama","","","","","","USA","Illinois","privately held","","metals","metals","http://adem.alabama.gov/compInfo/2020orders.pdf",""
"Imperial Aluminum-Scotts LLC","Imperial Group","$15,000","$0","$15,000","2021","20210714","environment-related offenses","environmental violation","","","state","agency action","Alabama Department of Environmental Management","civil","","","","","","Alabama","","","","","","USA","Illinois","privately held","","metals","metals","http://adem.alabama.gov/compInfo/2021orders.pdf",""
"IMPERIAL ALUMINUM","Imperial Group","$34,000","$0","$34,000","2010","20101018","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","SCOTTSBORO","7525 ROY OWENS BOULEVARD","35768","324199","324199: All Other Petroleum and Coal Products Manufacturing","USA","Illinois","privately held","","metals","metals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"IMPERIAL GROUP","Imperial Group","$16,800","$0","$16,800","2013","20131120","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Virginia","DUBLIN","4969 STEPP PLACE","24084","336399","336399: All Other Motor Vehicle Parts Manufacturing","USA","Illinois","privately held","","metals","metals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MAYCO INDUSTRIES, INC.","Imperial Group","$7,036","$0","$7,036","2012","20120731","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","GRANITE CITY","1200 16TH STREET","62040","331492","331492: Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)","USA","Illinois","privately held","","metals","metals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
