"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Dyno Nobel Inc.","Incitec Pivot","$257,167","$0","$257,167","2013","20131018","environment-related offenses","environmental violation","","Dyno Nobel Inc., has agreed to pay a $257,167 civil penalty to settle alleged violations of the Clean Air Act (CAA), Emergency Planning and Community Right-to-Know Act (EPCRA), and the Comprehensive Environmental Response, Compensation, and Liability Act (CERCLA) at its facilities in the cities of Louisiana and Carthage, Mo.","federal","agency action","Environmental Protection Agency","civil","","","","","","Missouri","","","","","","Australia","","publicly traded","","chemicals","fertilizers","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/bb8f7f53a92100f685257c08005ddd86.html",""
"Dyno Nobel, Inc","Incitec Pivot","$110,900","$0","$110,900","2011","20110711","environment-related offenses","environmental violation","","Australia-based Dyno Nobel, Inc has agreed to settle a series of alleged violations of the Clean Air Act at the company's Cheyenne plant for $110,900.","federal","agency action","Environmental Protection Agency","civil","","","","","","Wyoming","Cheyenne","","","","","Australia","","publicly traded","","chemicals","fertilizers","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/a8f5ecb84ef0740d852578ca0073d5d5.html",""
"Dyno Nobel, Inc.","Incitec Pivot","$39,810","$0","$39,810","2014","20140422","safety-related offenses","motor vehicle safety violation","","","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Kentucky","LEXINGTON","","","","","Australia","","publicly traded","","chemicals","fertilizers","https://www.fmcsa.dot.gov/sites/fmcsa.dot.gov/files/docs/closedByEnforcement_FY2014_06-19-2015.xlsx",""
"DYNO NOBEL, INC.","Incitec Pivot","$8,000","$0","$8,000","2013","20131203","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Australia","","publicly traded","","chemicals","fertilizers","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"DYNO NOBEL, INC.","Incitec Pivot","$8,000","$0","$8,000","2013","20130103","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Australia","","publicly traded","","chemicals","fertilizers","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"DYNO NOBEL, INC.","Incitec Pivot","$8,000","$0","$8,000","2009","20091215","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Australia","","publicly traded","","chemicals","fertilizers","https://www.fra.dot.gov/eLib/details/L01493#p1_z5_gD_lEA",""
"DYNO NOBEL, INC.","Incitec Pivot","$8,000","$0","$8,000","2009","20091215","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Australia","","publicly traded","","chemicals","fertilizers","https://www.fra.dot.gov/eLib/details/L01493#p1_z5_gD_lEA",""
"DYNO NOBEL, INC.","Incitec Pivot","$6,000","$0","$6,000","2011","20110217","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Australia","","publicly traded","","chemicals","fertilizers","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"DYNO NOBEL, INC.","Incitec Pivot","$6,000","$0","$6,000","2009","20091215","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Australia","","publicly traded","","chemicals","fertilizers","https://www.fra.dot.gov/eLib/details/L01493#p1_z5_gD_lEA",""
"DYNO NOBEL, INC.","Incitec Pivot","$5,375","$0","$5,375","2010","20100428","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Australia","","publicly traded","","chemicals","fertilizers","https://www.fra.dot.gov/eLib/details/L01493#p1_z5_gD_lEA",""
