"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"BP Amoco Chemical Company","Ineos","$12,350","$0","$12,350","2007","20070330","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","United Kingdom","","privately held","","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2007 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"CALABRIAN CORP.","Ineos","$7,500","$0","$7,500","2014","20140505","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","United Kingdom","","privately held","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"CALABRIAN CORP.","Ineos","$6,500","$0","$6,500","2010","20100125","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","United Kingdom","","privately held","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L01493#p1_z5_gD_lEA",""
"CALABRIAN CORP.","Ineos","$5,000","$0","$5,000","2016","20160504","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","United Kingdom","","privately held","","chemicals","chemicals","https://www.fra.dot.gov/Elib/Document/16831","Year is fiscal year."
"CALABRIAN CORP.","Ineos","$5,000","$0","$5,000","2013","20130528","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","United Kingdom","","privately held","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"INEOS","Ineos","$10,000","$0","$10,000","2012","20120215","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","United Kingdom","","privately held","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
"INEOS","Ineos","$8,000","$0","$8,000","2009","20091116","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","United Kingdom","","privately held","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L01493#p1_z5_gD_lEA",""
"INEOS","Ineos","$6,000","$0","$6,000","2009","20091116","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","United Kingdom","","privately held","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L01493#p1_z5_gD_lEA",""
"INEOS ABS USA Corp.","Ineos","$5,100,000","$0","$5,100,000","2009","20090731","environment-related offenses","environmental violation","","The former and current owners and operators of a chemical facility in Addyston, Ohio, LANXESS Corp. and INEOS ABS USA Corp., agreed to pay a $3.1 million civil penalty and INEOS will spend up to $2 million to install environmental controls and modify operating procedures to resolve violations of multiple environmental laws.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","","","","","","","United Kingdom","","privately held","","chemicals","chemicals","https://www.justice.gov/opa/pr/two-chemical-companies-agree-resolve-environmental-violations-ohio",""
"Ineos Acrylics Inc.","Ineos","$5,000","$0","$5,000","2001","20011010","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","United Kingdom","","privately held","","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2002 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
