"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"CYPRESS SEMICONDUCTOR CORPORATION","Infineon Technologies","$10,001","$0","$10,001","2011","20111118","employment-related offenses","benefit plan administrator violation","","Deficient Filer","federal","agency action","Employee Benefits Security Administration","civil","","","","","","California","","","","","","Germany","","publicly traded","","electrical and electronic equipment","semiconductors","Included in a dataset downloaded at https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
"Infineon Technologies","Infineon Technologies","$70,000","$0","$70,000","2009","20090311","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","Germany","","publicly traded","","electrical and electronic equipment","semiconductors","https://efoia.bis.doc.gov/index.php/component/docman/?task=doc_download&gid=491&Itemid=",""
"Infineon Technologies AG","Infineon Technologies","$160,000,000","$0","$160,000,000","2004","20040915","competition-related offenses","price-fixing or anti-competitive practices","","Infineon Technologies AG, a German manufacturer of dynamic random access memory (DRAM), agreed to plead guilty and to pay a $160 million fine for participating in an international conspiracy to fix prices in the DRAM market.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","Germany","","publicly traded","","electrical and electronic equipment","semiconductors","https://www.justice.gov/archive/atr/public/press_releases/2004/205437.htm",""
"Qimonda North America Corporation","Infineon Technologies","$310,235","$0","$310,235","2009","20090724","employment-related offenses","wage and hour violation","work visa violations","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1541232","","","Florida","Jacksonville","","32241","33441","33441: Semiconductor and Other Electronic Component Manufacturing","Germany","","publicly traded","","electrical and electronic equipment","semiconductors","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"INTERNATIONAL RECTIFIER","Infineon Technologies","$9,490","$0","$9,490","2009","20090714","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","EL SEGUNDO","233 KANSAS ST","90245","334413","334413: Semiconductor and Related Device Manufacturing","Germany","","publicly traded","","electrical and electronic equipment","semiconductors","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"INTERNATIONAL RECTIFIER CORP","Infineon Technologies","$8,560","$0","$8,560","2009","20090325","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","EL SEGUNDO","330 KANSAS ST.","90245","334413","334413: Semiconductor and Related Device Manufacturing","Germany","","publicly traded","","electrical and electronic equipment","semiconductors","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Infineon Technologies A.G.","Infineon Technologies","$29,113,776","$0","$29,113,776","2010","20100624","competition-related offenses","price-fixing or anti-competitive practices","","Six manufacturers of Dynamic Random Access Memory (DRAM) computer chips agreed to pay $173 million to settle multistate litigation alleging they conspired in an illegal global scheme to fix prices. The breakdown by company was not initially announced but later was reported in the court document linked below.","state","agency action","Multistate Attorneys General Case","civil","","","","","","","","","","","","Germany","","publicly traded","","electrical and electronic equipment","semiconductors","https://www.oag.ca.gov/news/press-releases/brown-announces-173-million-anti-trust-settlement-computer-chip-makers",""
"Infineon Technologies AG","Infineon Technologies","$43,750","$0","$43,750","2012","20120123","competition-related offenses","price-fixing or anti-competitive practices","","","state","agency action","Connecticut Attorney General","civil","","","","","","Connecticut","","","","","","Germany","","publicly traded","","electrical and electronic equipment","semiconductors","https://portal.ct.gov/AG/Press-Releases-Archived/2012-Press-Releases/Attorney-General-Reaches-175000-Settlement-with-Four-Manufacturers-of-Computer-Memory-Product",""
"INTERNATIONAL RECTIFIER HIREL PRODUCTS","Infineon Technologies","$5,900","$0","$5,900","2002","20020712","environment-related offenses","environmental violation","","","state","agency action","Massachusetts Executive Office of Energy and Environmental Affairs","civil","","","","","","Massachusetts","Leominster","","","","","Germany","","publicly traded","","electrical and electronic equipment","semiconductors","https://eeaonline.eea.state.ma.us/Portal/#!/search/enforcements/results?FacilityName=INTERNATIONAL RECTIFIER HIREL PRODUCTS","Captured from records in EEA database with basic enforcement information; may not include full details of penalties."
"SIMTEK INC.","Infineon Technologies","$66,600","$0","$66,600","2011","20110124","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","AMITYVILLE","21 DEFOREST STREET","11701","332999","332999: All Other Miscellaneous Fabricated Metal Product Manufacturing","Germany","","publicly traded","","electrical and electronic equipment","semiconductors","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SIMTEK INC.","Infineon Technologies","$29,040","$0","$29,040","2012","20120106","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","AMITYVILLE","21 DEFOREST STREET","11701","332999","332999: All Other Miscellaneous Fabricated Metal Product Manufacturing","Germany","","publicly traded","","electrical and electronic equipment","semiconductors","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"INTERNATIONAL RECTIFIER, INC.","Infineon Technologies","$5,000","$0","$5,000","2000","20000926","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","09-2000-0249","","","","","","","","","Germany","","publicly traded","","electrical and electronic equipment","semiconductors","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
