"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Gardner Denver (Thomas Products Division)","Ingersoll Rand","$7,488","$0","$7,488","2008","20081229","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","30-CA-17787-001","","","Wisconsin","Sheboygan","","53081","335314","335314: Relay and Industrial Control Manufacturing","USA","North Carolina","publicly traded","NYSE: IR","industrial equipment","industrial equipment","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Ingersoll Rand","Ingersoll Rand","$23,224","$0","$23,224","2009","20090615","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1541753","","","New Jersey","Piscataway","","08855","42374","42374: Refrigeration Equipment and Supplies Merchant Wholesalers","USA","North Carolina","publicly traded","NYSE: IR","industrial equipment","industrial equipment","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Ingersoll Rand","Ingersoll Rand","$15,324","$0","$15,324","2012","20120327","employment-related offenses","wage and hour violation","Service Contract Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1644158","","","Iowa","Davenport","","52806","238220","238220: Plumbing, Heating, and Air-Conditioning Contractors","USA","North Carolina","publicly traded","NYSE: IR","industrial equipment","industrial equipment","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Ingersoll-Rand","Ingersoll Rand","$680,000","$0","$680,000","2006","20060510","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","USA","North Carolina","publicly traded","NYSE: IR","industrial equipment","industrial equipment","FOIA3","Source document obtained through a Freedom of Information Act request to the agency."
"Ingersoll-Rand Co.","Ingersoll Rand","$137,500","$0","$137,500","2003","20030711","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","USA","North Carolina","publicly traded","NYSE: IR","industrial equipment","industrial equipment","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/07112003.pdf",""
"Ingersoll-Rand Company Ltd.","Ingersoll Rand","$4,220,987","$0","$4,220,987","2007","20071031","competition-related offenses","Foreign Corrupt Practices Act","","Ingersoll-Rand agreed to settle allegations that from 2000 through 2003 four of its subsidiaries entered into contracts in which $963,148 in kickback payments were made and $544,697 in additional payments were authorized in connection with sales of humanitarian goods to Iraq under the U.N. Oil for Food Program.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","North Carolina","publicly traded","NYSE: IR","industrial equipment","industrial equipment","https://www.sec.gov/litigation/litreleases/2007/lr20353.htm",""
"Ingersoll-Rand Company Limited","Ingersoll Rand","$2,500,000","$0","$2,500,000","2007","20071031","competition-related offenses","Foreign Corrupt Practices Act","kickbacks and bribery","The Ingersoll-Rand Company Limited agreed to pay a $2.5 million fine as part of an agreement with the U.S. government regarding charges brought in connection with an ongoing investigation of the U.N. Oil for Food program. The settlement covered cases brought against Ingersoll-Rand subsidiaries Thermo King Ireland Limited and Ingersoll-Rand Italiana SpA.","federal","agency action","Justice Department Criminal Division","criminal","deferred prosecution agreement","","","","","","","","","","","USA","North Carolina","publicly traded","NYSE: IR","industrial equipment","industrial equipment","https://www.justice.gov/archive/opa/pr/2007/October/07_crm_872.html",""
"Ingersoll-Rand Company Limited","Ingersoll Rand","$39,821","$0","$39,821","2005","20050310","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1359568","","","Washington","Seattle","","98134","3332","3332: Industrial Machinery Manufacturing","USA","North Carolina","publicly traded","NYSE: IR","industrial equipment","industrial equipment","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"GARDNER DENVER INC","Ingersoll Rand","$18,900","$0","$18,900","2009","20091221","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","HAZLETON","512 FOREST ROAD, HUMBOLT INDUS.PARK","18202","333912","333912: Air and Gas Compressor Manufacturing","USA","North Carolina","publicly traded","NYSE: IR","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GARDNER DENVER CO","Ingersoll Rand","$10,000","$0","$10,000","2014","20140805","environment-related offenses","environmental violation","","air quality violation","state","agency action","Illinois Environmental Protection Agency","civil","","","14-CH-36","","","Illinois","","","","","","USA","North Carolina","publicly traded","NYSE: IR","industrial equipment","industrial equipment","Contained in data received from the agency on October 15, 2020 in response to an open records request. The data is a spreadsheet version of the entries contained in the search engine at http://www.epa.state.il.us/cgi-bin/en/orders/orders.pl",""
