"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Gaylord Container Corporation","International Paper","$77,500","$0","$77,500","2000","20000713","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","28-CA-16127-001","","","Arizona","Glendale","","85301","322211","322211: Corrugated and Solid Fiber Box Manufacturing","USA","Tennessee","publicly traded","IP","paper and packaging","paper & packaging","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Gaylord Container Corporation","International Paper","$10,500","$0","$10,500","2000","20000228","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","08-CA-30964-001","","","Ohio","Marion","","43302","322130","322130: Paperboard Mills","USA","Tennessee","publicly traded","IP","paper and packaging","paper & packaging","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Gaylord Container Corporation","International Paper","$5,000","$0","$5,000","2002","20020625","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","15-CA-15142-001","","","South Carolina","Greenville","","29611","322212","322212: Folding Paperboard Box Manufacturing","USA","Tennessee","publicly traded","IP","paper and packaging","paper & packaging","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Inland Container Corporation","International Paper","$30,000","$0","$30,000","2001","20010326","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","16-CA-20918-001","","","Texas","Edinburgh","","78539","322299","322299: All Other Converted Paper Product Manufacturing","USA","Tennessee","publicly traded","IP","paper and packaging","paper & packaging","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Inland Paper Board and Packaging, Inc.","International Paper","$75,000","$0","$75,000","2005","20050207","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","16-CA-23209-001","","","Texas","San Antonio","","78219","322130","322130: Paperboard Mills","USA","Tennessee","publicly traded","IP","paper and packaging","paper & packaging","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Inland Paperboard and Packaging Inc.","International Paper","$7,700","$0","$7,700","2005","20050329","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Tennessee","publicly traded","IP","paper and packaging","paper & packaging","Taken from the Federal Railroad Administration's FY2005 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Inland Paperboard and Packaging Inc.","International Paper","$7,000","$0","$7,000","2000","20000325","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Tennessee","publicly traded","IP","paper and packaging","paper & packaging","Taken from the Federal Railroad Administration's FY2000 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Inland Paperboard and Packaging, Inc.","International Paper","$29,500","$0","$29,500","2001","20011126","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","26-CA-19887-001","","","Arkansas","Fort Smith","","72904","322130","322130: Paperboard Mills","USA","Tennessee","publicly traded","IP","paper and packaging","paper & packaging","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Inland Paperboard & Packaging, Inc. f/k/a Gaylord Container Corp.","International Paper","$15,000","$0","$15,000","2003","20030402","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","13-CA-40600-001","","","Illinois","Carol Stream","","60187","322211","322211: Corrugated and Solid Fiber Box Manufacturing","USA","Tennessee","publicly traded","IP","paper and packaging","paper & packaging","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"International Paper","International Paper","$64,000","$0","$64,000","2000","20000509","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","06-CA-29075-001","","","Pennsylvania","Erie","","16523","322121","322121: Paper (except Newsprint) Mills","USA","Tennessee","publicly traded","IP","paper and packaging","paper & packaging","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
