"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Chicago Terminal Railroad","Iowa Pacific Holdings","$8,250","$0","$8,250","2014","20140410","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","privately held","","railroads","railroads","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"Chicago Terminal Railroad","Iowa Pacific Holdings","$6,000","$0","$6,000","2014","20140410","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","privately held","","railroads","railroads","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"Grenada Railway","Iowa Pacific Holdings","$6,000","$0","$6,000","2014","20140317","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","privately held","","railroads","railroads","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"SAN LUIS & RIO GRANDE RAILROAD","Iowa Pacific Holdings","$14,000","$0","$14,000","2016","20160318","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","privately held","","railroads","railroads","https://www.fra.dot.gov/Elib/Document/16831","Year is fiscal year."
"San Luis & Rio Grande Railroad","Iowa Pacific Holdings","$11,250","$0","$11,250","2012","20121121","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","privately held","","railroads","railroads","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"SAN LUIS & RIO GRANDE RAILROAD","Iowa Pacific Holdings","$9,750","$0","$9,750","2015","20150526","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","privately held","","railroads","railroads","https://www.fra.dot.gov/eLib/details/L17311#p1_z5_gD_lEA",""
"SAN LUIS & RIO GRANDE RAILROAD","Iowa Pacific Holdings","$9,075","$0","$9,075","2009","20090108","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","privately held","","railroads","railroads","https://www.fra.dot.gov/Elib/Document/282","Year is fiscal year."
"SAN LUIS & RIO GRANDE RAILROAD","Iowa Pacific Holdings","$7,200","$0","$7,200","2009","20090108","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","privately held","","railroads","railroads","https://www.fra.dot.gov/Elib/Document/282","Year is fiscal year."
"SAN LUIS & RIO GRANDE RAILROAD","Iowa Pacific Holdings","$7,200","$0","$7,200","2009","20090108","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","privately held","","railroads","railroads","https://www.fra.dot.gov/Elib/Document/282","Year is fiscal year."
"SAN LUIS & RIO GRANDE RAILROAD","Iowa Pacific Holdings","$7,000","$0","$7,000","2015","20150212","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","privately held","","railroads","railroads","https://www.fra.dot.gov/eLib/details/L17311#p1_z5_gD_lEA",""
"SAN LUIS & RIO GRANDE RAILROAD","Iowa Pacific Holdings","$6,840","$0","$6,840","2009","20090108","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","privately held","","railroads","railroads","https://www.fra.dot.gov/Elib/Document/282","Year is fiscal year."
"SAN LUIS & RIO GRANDE RAILROAD","Iowa Pacific Holdings","$6,750","$0","$6,750","2009","20090108","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","privately held","","railroads","railroads","https://www.fra.dot.gov/Elib/Document/282","Year is fiscal year."
"San Luis & Rio Grande Railroad","Iowa Pacific Holdings","$6,650","$0","$6,650","2012","20121121","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","privately held","","railroads","railroads","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"SAN LUIS & RIO GRANDE RAILROAD","Iowa Pacific Holdings","$6,550","$0","$6,550","2015","20150526","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","privately held","","railroads","railroads","https://www.fra.dot.gov/eLib/details/L17311#p1_z5_gD_lEA",""
"San Luis & Rio Grande Railroad","Iowa Pacific Holdings","$6,500","$0","$6,500","2012","20121121","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","privately held","","railroads","railroads","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"San Luis & Rio Grande Railroad","Iowa Pacific Holdings","$6,300","$0","$6,300","2012","20121121","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","privately held","","railroads","railroads","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"SAN LUIS & RIO GRANDE RAILROAD","Iowa Pacific Holdings","$6,000","$0","$6,000","2015","20150212","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","privately held","","railroads","railroads","https://www.fra.dot.gov/eLib/details/L17311#p1_z5_gD_lEA",""
"San Luis & Rio Grande Railroad","Iowa Pacific Holdings","$5,650","$0","$5,650","2012","20121121","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","privately held","","railroads","railroads","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"SAN LUIS & RIO GRANDE RAILROAD","Iowa Pacific Holdings","$5,625","$0","$5,625","2009","20090108","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","privately held","","railroads","railroads","https://www.fra.dot.gov/Elib/Document/282","Year is fiscal year."
"SAN LUIS & RIO GRANDE RAILROAD","Iowa Pacific Holdings","$5,600","$0","$5,600","2015","20150526","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","privately held","","railroads","railroads","https://www.fra.dot.gov/eLib/details/L17311#p1_z5_gD_lEA",""
"Santa Cruz and Monterey Bay Railway Co.","Iowa Pacific Holdings","$10,200","$0","$10,200","2015","20150212","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","privately held","","railroads","railroads","https://www.fra.dot.gov/eLib/details/L17311#p1_z5_gD_lEA",""
"Saratoga & North Creek Railway, LLC","Iowa Pacific Holdings","$6,400","$0","$6,400","2015","20150212","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","privately held","","railroads","railroads","https://www.fra.dot.gov/eLib/details/L17311#p1_z5_gD_lEA",""
