"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Itochu Corp.","Itochu","$6,750,000","$0","$6,750,000","2009","20091207","government-contracting-related offenses","False Claims Act and related","","The United States reached a $6.75 million settlement with Itochu Corp. of Japan and its American subsidiary, Itochu International Inc., to resolve claims under the False Claims Act in connection with the companies' importation and sale of defective Zylon fiber used as the key ballistic material in bullet-proof vests purchased by the United States for federal, state, local and tribal law enforcement agencies.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","Japan","","publicly traded","","diversified","diversified","https://www.justice.gov/opa/pr/us-settles-itochu-corp-and-itochu-international-regarding-defective-bullet-proof-vests",""
"MASTER HALCO INC","Itochu","$10,000","$0","$10,000","2007","20070816","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","SCRANTON","1000 N SOUTH ST","18504","332618","332618: Other Fabricated Wire Product Manufacturing","Japan","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MASTER-HALCO INC.","Itochu","$5,525","$0","$5,525","2005","20050623","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","TAMPA","9800 REEVES ROAD","33619","332999","332999: All Other Miscellaneous Fabricated Metal Product Manufacturing","Japan","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MASTER HALCO, INC.","Itochu","$7,500","$0","$7,500","2005","20050728","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","FAIRLESS HILLS","225 LINCOLN HIGHWAY","19030","332999","332999: All Other Miscellaneous Fabricated Metal Product Manufacturing","Japan","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MASTER HALCO INC","Itochu","$18,800","$0","$18,800","2002","20020130","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","SCRANTON","1275 NORTH KEYSER AVENUE","18508","000000","","Japan","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MASTER HALCO INC","Itochu","$15,500","$0","$15,500","2001","20010118","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","SCRANTON","1275 NORTH KEYSER AVENUE","18508","000000","","Japan","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MASTER-HALCO, INCORPORATED","Itochu","$9,250","$0","$9,250","2000","20000313","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Massachusetts","CANTON","55 NORTH STREET","02021","000000","","Japan","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MASTER HALCO COMPANY","Itochu","$6,870","$0","$6,870","2005","20050421","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","LEMON GROVE","3494 HARRIS STREET","91945","561320","561320: Temporary Help Services","Japan","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Dole Packaged Foods LLC","Itochu","$203,445","$0","$203,445","2021","20210909","environment-related offenses","environmental violation","","Clean Air Act","federal","agency action","Environmental Protection Agency","civil","","","","","","California","Atwater","","","","","Japan","","publicly traded","","diversified","diversified","https://www.epa.gov/newsreleases/us-epa-penalizes-four-california-facilities-more-800000-clean-air-act-chemical-safety",""
"MASTER HALCO","Itochu","$10,000","$0","$10,000","2011","20110705","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","SCRANTON","1000 N SOUTH ROAD","18504","332618","332618: Other Fabricated Wire Product Manufacturing","Japan","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MASTER HALCO","Itochu","$8,000","$0","$8,000","2011","20110714","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","SCRANTON","1000 N. SOUTH RD","18504","332999","332999: All Other Miscellaneous Fabricated Metal Product Manufacturing","Japan","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MASTER-HALCO INC.","Itochu","$6,000","$0","$6,000","2011","20110119","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","TAMPA","9800 REEVES ROAD","33619","423390","423390: Other Construction Material Merchant Wholesalers","Japan","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MASTER-HALCO, INC","Itochu","$7,200","$0","$7,200","2011","20110706","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","PRICHARD","1907 HAND AVENUE","36612","423390","423390: Other Construction Material Merchant Wholesalers","Japan","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"NAES CORPORATION","Itochu","$13,500","$0","$13,500","2013","20131022","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","HARTFORD","RESERVE ROAD, GATE 20","06114","221119","221119: Other Electric Power Generation","Japan","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"NAES CORPORATION","Itochu","$11,296","$0","$11,296","2015","20150410","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","HARTFORD","20 RESERVE ROAD, GATE 20","06114","221119","221119: Other Electric Power Generation","Japan","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DOLE PACKAGED FOODS LLC","Itochu","$7,250","$0","$7,250","2017","20170329","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","ATWATER","7916 WEST BELLEVUE RD","95301","493120","493120: Refrigerated Warehousing and Storage","Japan","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"NAES CORPORATION","Itochu","$8,051","$0","$8,051","2019","20190910","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","HARTFORD","300 MAXIM ROAD","06114","221119","221119: Other Electric Power Generation","Japan","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DOLE PACKAGED FOODS, LLC","Itochu","$13,500","$0","$13,500","2019","20191029","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","ATWATER","7916 BELLEVUE ROAD","95301","424420","424420: Packaged Frozen Food Merchant Wholesalers","Japan","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MASTER HALCO, INC.","Itochu","$7,956","$0","$7,956","2019","20191113","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","DALLAS","8431 HALE AVENUE","75228","332618","332618: Other Fabricated Wire Product Manufacturing","Japan","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Dole Packaged Foods LLC","Itochu","$151,930","$0","$151,930","2007","20070926","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","09-2007-0224","","","California","ATWATER","7916 WEST BELLEVUE ROAD","95301","311421","311421: Fruit and Vegetable Canning","Japan","","publicly traded","","diversified","diversified","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"DOLE PACKAGED FOODS, LLC","Itochu","$32,500","$0","$32,500","2008","20080925","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","09-2008-3006","","","California","ATWATER","7916 WEST BELLEVUE ROAD","95301","311421","311421: Fruit and Vegetable Canning","Japan","","publicly traded","","diversified","diversified","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"ITOCHU INTERNATIONAL, INC.","Itochu","$525,000","$0","$525,000","2003","20030728","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","HQ-2001-0026","","","Texas","HOUSTON","1300 POST OAK BLVD  STE 900","77056","","","Japan","","publicly traded","","diversified","diversified","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
