"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"J.C. Penney Company Inc.","J.C. Penney","$290,000","$0","$290,000","2015","20151209","consumer-protection-related offenses","consumer protection violation","","The Federal Trade Commission announced complaints and proposed court orders barring four national retailers from mislabeling and advertising rayon textiles as made of  bamboo, and requiring them to pay civil penalties totaling $1.3 million.","federal","agency action","Federal Trade Commission","civil","","","","","","","","","","","","USA","Texas","privately held","","retailing","retail-department stores","https://www.ftc.gov/news-events/press-releases/2015/12/nordstrom-bed-bath-beyond-backcountrycom-jc-penney-pay-penalties",""
"J.C. Penney Corporation, Inc.","J.C. Penney","$50,000","$0","$50,000","2009","20090212","employment-related offenses","employment discrimination","","race","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","New York","","","","","","USA","Texas","privately held","","retailing","retail-department stores","https://www.eeoc.gov/eeoc/newsroom/release/archive/2-12-09.html","Description field shows type of discrimination that EEOC had alleged."
"J.C. Penney Corporation, Inc.","J.C. Penney","$40,000","$0","$40,000","2014","20140116","employment-related offenses","employment discrimination","","pregnancy","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Georgia","","","","","","USA","Texas","privately held","","retailing","retail-department stores","https://www.eeoc.gov/eeoc/newsroom/release/1-16-14.cfm","Description field shows type of discrimination that EEOC had alleged."
"J.C. PENNEY COMPANY, INC.","J.C. Penney","$15,500","$0","$15,500","2010","20100224","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","WHITEHALL","500 LEHIGH VALLEY MALL","18052","452111","452111: Department Stores (except Discount Department Stores)","USA","Texas","privately held","","retailing","retail-department stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"J.C. PENNEY COMPANY, INC.","J.C. Penney","$30,375","$0","$30,375","2010","20100107","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","LANGHORNE","2300 E. LINCOLN HIGHWAY","19047","452111","452111: Department Stores (except Discount Department Stores)","USA","Texas","privately held","","retailing","retail-department stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"J.C. PENNEY DISTRIBUTION CENTER","J.C. Penney","$18,000","$0","$18,000","2007","20070529","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","EAST HARTFORD","ICE POND ROAD","06118","493110","493110: General Warehousing and Storage","USA","Texas","privately held","","retailing","retail-department stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"J.C. PENNEY CO., INC.","J.C. Penney","$7,750","$0","$7,750","2004","20040806","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Oklahoma","OKLAHOMA CITY","2501 W. MEMORIAL ROAD, SUITE A","73134","452111","452111: Department Stores (except Discount Department Stores)","USA","Texas","privately held","","retailing","retail-department stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"J C PENNEY COMPANY, INC.","J.C. Penney","$8,098","$0","$8,098","2003","20030715","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","LONGMONT","1250 S. HOVER ROAD, UNIT FD6","80501","452111","452111: Department Stores (except Discount Department Stores)","USA","Texas","privately held","","retailing","retail-department stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"J.C. PENNEY CATALOG LOGISTICS CENTER","J.C. Penney","$6,375","$0","$6,375","2003","20030415","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kansas","LENEXA","10500 LACKMAN RD.","66219","493110","493110: General Warehousing and Storage","USA","Texas","privately held","","retailing","retail-department stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"J.C. Penney","J.C. Penney","$1,750,000","$0","$1,750,000","2017","20171103","employment-related offenses","wage and hour violation","","","federal","private litigation","","civil","","Southern District of California","11-cv-1011","Tschudy v. J.C. Penny Corporation, Inc. et al","settlement","","","","","","","USA","Texas","privately held","","retailing","retail-department stores","https://www.law360.com/articles/911284/jc-penney-pays-1-75m-to-settle-vacation-pay-claims","Dispute concerned payment for unused vacation days when a worker left the company."
