"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Johnson Matthey","Johnson Matthey","$22,000","$0","$22,000","2005","20050324","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","04-CA-32801-001","","","Pennsylvania","Wayne","","19087","336111","336111: Automobile Manufacturing","United Kingdom","","publicly traded","LSE: JMAT","metals","metals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Johnson Matthey Inc.","Johnson Matthey","$3,000,000","$0","$3,000,000","2008","20081202","environment-related offenses","environmental violation","","Johnson Matthey Inc. was sentenced to a $3 million criminal fine for a felony violation of the Clean Water Act after admitting to violating the Clean Water Act at its Salt Lake City precious metals refining facility. ","federal","agency action","Justice Department Environment and Natural Resources Division","criminal","","","","","","Utah","Salt Lake City","","","","","United Kingdom","","publicly traded","LSE: JMAT","metals","metals","https://www.justice.gov/archive/opa/pr/2008/December/08-enrd-1059.html",""
"JOHNSON MATTHEY INC","Johnson Matthey","$9,620","$0","$9,620","2012","20120329","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","United Kingdom","","publicly traded","LSE: JMAT","metals","metals","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"JOHNSON MATTHEY INC","Johnson Matthey","$23,247","$0","$23,247","2017","20170202","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","United Kingdom","","publicly traded","LSE: JMAT","metals","metals","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"JOHNSON MATTHEY INC","Johnson Matthey","$6,200","$0","$6,200","2014","20140409","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","United Kingdom","","publicly traded","LSE: JMAT","metals","metals","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"JOHNSON MATTHEY INC","Johnson Matthey","$12,500","$0","$12,500","2012","20120607","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","United Kingdom","","publicly traded","LSE: JMAT","metals","metals","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"JOHNSON MATTHEY INC","Johnson Matthey","$650,000","$0","$650,000","2006","20060103","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","United Kingdom","","publicly traded","LSE: JMAT","metals","metals","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"JOHNSON MATTHEY, INC.","Johnson Matthey","$5,000","$0","$5,000","2004","20041118","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","W. DEPTFORD","2001 NOLTE DRIVE","08066","339999","339999: All Other Miscellaneous Manufacturing","United Kingdom","","publicly traded","LSE: JMAT","metals","metals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PHARM-ECO LABORATORIES, INC.","Johnson Matthey","$6,813","$0","$6,813","2002","20021106","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Massachusetts","DEVENS","25 PATTON ROAD","01432","325411","325411: Medicinal and Botanical Manufacturing","United Kingdom","","publicly traded","LSE: JMAT","metals","metals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ACTIVATED METALS & CHEMICALS INC","Johnson Matthey","$25,000","$0","$25,000","2002","20020819","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Tennessee","SEVIERVILLE","904 OLD KNOXVILLE HWY","37862","000000","","United Kingdom","","publicly traded","LSE: JMAT","metals","metals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
