"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"JUST ENERGY","Just Energy Group","$5,624","$0","$5,624","2014","20140723","employment-related offenses","wage and hour violation","","Illinois Wage Payment and Collection Act","state","agency action","Illinois Department of Labor","civil","","","14-002180","","","Illinois","","","","","","Canada","","publicly traded","","utilities and power generation","electricity and natural gas distribution","Contained in data obtained on April 18, 2017 in response to an Illinois Freedom of Information Act request. ",""
"Just Energy Group Inc.","Just Energy Group","$4,000,000","$0","$4,000,000","2015","20150106","consumer-protection-related offenses","consumer protection violation","","Just Energy Group agreed to pay $4 million in settlement of allegations  of deceptive marketing.","state","agency action","Massachusetts Attorney General","civil","","","","","","Massachusetts","","","","","","Canada","","publicly traded","","utilities and power generation","electricity and natural gas distribution","https://web.archive.org/web/20150210143150/http://www.mass.gov/ago/news-and-updates/press-releases/2015/2015-01-06-just-energy.html",""
"Just Energy Texas, LP","Just Energy Group","$17,250","$0","$17,250","2010","20100909","consumer-protection-related offenses","consumer protection violation","","","state","agency action","Texas Public Utility Commission","civil","","","38657","","","Texas","","","","","","Canada","","publicly traded","","utilities and power generation","electricity and natural gas distribution","https://interchange.puc.texas.gov/Documents/38657_4_678345.PDF",""
"Just Energy Texas, LP","Just Energy Group","$164,000","$0","$164,000","2014","20140516","consumer-protection-related offenses","consumer protection violation","","Multiple violation relating to consumer protection protocols set by the utility commission","state","agency action","Texas Public Utility Commission","civil","","","42375","","","Texas","","","","","","Canada","","publicly traded","","utilities and power generation","electricity and natural gas distribution","https://www.puc.texas.gov/agency/resources/reports/Default.aspx",""
"JUST ENERGYTEXAS L.P.","Just Energy Group","$650,000","$0","$650,000","2019","20191011","consumer-protection-related offenses","consumer protection violation","reliability of service violation","The Commission approved a settlement with Just Energy concerning switchhold removal and the low-income rate reduction program. The company agreed to pay an administrative penalty of $475,000 and contribute an additional $225,000 to bill payment assistance programs.","state","agency action","Texas Public Utility Commission","civil","","","49688","","","Texas","","","","","","Canada","","publicly traded","","utilities and power generation","electricity and natural gas distribution","http://www.puc.texas.gov/agency/resources/pubs/news/2019/PUCTX-REL-OnE-Oct112019.pdf",""
"Just Energy","Just Energy Group","$111,000","$0","$111,000","2010","20101105","consumer-protection-related offenses","consumer protection violation","","Just Energy agreed to pay a $111,000 fine and change its sales practices as part of a settlement with state officials that will allow the natural-gas supplier to continue to operate in the state.","state","agency action","Ohio Public Utilities Commission","civil","","","","","","Ohio","","","","","","Canada","","publicly traded","","utilities and power generation","electricity and natural gas distribution","Natural-gas firm fined for its sales practices; Marketer agrees to safeguards for consumers, Columbus Dispatch, November 5, 2010 (via Nexis).",""
"Just Energy","Just Energy Group","$90,000","$0","$90,000","2010","20100415","consumer-protection-related offenses","consumer protection violation","","The Illinois Commerce Commission fined alternative gas supplier Just Energy $90,000 for violations of the Alternative Gas Supplier Law (AGSL) and ordered an independent audit of its sales practices.","state","agency action","Illinois Commerce Commission","civil","","","","","","Illinois","","","","","","Canada","","publicly traded","","utilities and power generation","electricity and natural gas distribution","https://www.icc.illinois.gov/downloads/public/Just%20Energy%20Order%20041510f.doc",""
"Just Energy Solutions, Inc.","Just Energy Group","$5,328","$0","$5,328","2018","20180101","consumer-protection-related offenses","utility service violation","reliability of service violation","This violation is for a Resource Adequacy deficiency that was either not remedied at all or remedied after five business days from the date of notification by the Energy Division","state","agency action","California Public Utilities Commission","civil","","","E-4195-0045","","","California","","","","","","Canada","","publicly traded","","utilities and power generation","electricity and natural gas distribution","https://www.cpuc.ca.gov/regulatory-services/enforcement-and-citations/utility-enforcement-branch","The source provides only the year, so the date is listed here as January 1."
"Just Energy Solutions, Inc.","Just Energy Group","$10,000","$0","$10,000","2018","20180101","consumer-protection-related offenses","utility service violation","reliability of service violation","This violation is for a deficiency cured within five business days from the date of notification by Energy Division","state","agency action","California Public Utilities Commission","civil","","","E-4195-0044","","","California","","","","","","Canada","","publicly traded","","utilities and power generation","electricity and natural gas distribution","https://www.cpuc.ca.gov/regulatory-services/enforcement-and-citations/utility-enforcement-branch","The source provides only the year, so the date is listed here as January 1."
"Just Energy Solutions, Inc.","Just Energy Group","$33,300","$0","$33,300","2018","20180101","consumer-protection-related offenses","utility service violation","reliability of service violation","This violation is for a deficiency cured four business days after the revised filing due date.","state","agency action","California Public Utilities Commission","civil","","","E-4195-0040","","","California","","","","","","Canada","","publicly traded","","utilities and power generation","electricity and natural gas distribution","https://www.cpuc.ca.gov/regulatory-services/enforcement-and-citations/utility-enforcement-branch","The source provides only the year, so the date is listed here as January 1."
