"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"BE&K Government Group, Inc","KBR","$248,811","$0","$248,811","2007","20070331","employment-related offenses","wage and hour violation","Davis-Bacon Act and related","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1424621","","","Alabama","Birmingham","","35243","236115","236115: New Single-Family Housing Construction (except Operative Builders)","USA","Texas","publicly traded","KBR","construction and engineering","construction & engineering","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Brown & Root, Inc.","KBR","$525,000","$0","$525,000","2016","20160930","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","15-CA-012752","","","Florida","Panama City","","","","","USA","Texas","publicly traded","KBR","construction and engineering","construction & engineering","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"KBR, Inc.","KBR","$50,239","$0","$50,239","2010","20101231","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1605913","","","Michigan","Washington","","48095","111331","111331: Apple Orchards","USA","Texas","publicly traded","KBR","construction and engineering","construction & engineering","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"KBR, Inc.","KBR","$27,350","$0","$27,350","2007","20071103","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1485124","","","Michigan","Washington","","48095","111331","111331: Apple Orchards","USA","Texas","publicly traded","KBR","construction and engineering","construction & engineering","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Kellogg Brown & Root LLC","KBR","$402,000,000","$0","$402,000,000","2009","20090211","competition-related offenses","Foreign Corrupt Practices Act","","Kellogg Brown & Root LLC, a global engineering, construction and services company based in Houston, pleaded guilty to charges related to the Foreign Corrupt Practices Act for its participation in a decade-long scheme to bribe Nigerian government officials to obtain engineering, procurement and construction contracts to build liquefied natural gas facilities on Bonny Island, Nigeria.","federal","agency action","Justice Department Criminal Division","criminal","","","","","","","","","","","","USA","Texas","publicly traded","KBR","construction and engineering","construction & engineering","https://www.justice.gov/opa/pr/kellogg-brown-root-llc-pleads-guilty-foreign-bribery-charges-and-agrees-pay-402-million",""
"Kellogg Brown & Root LLC","KBR","$177,000,000","$0","$177,000,000","2009","20090211","competition-related offenses","Foreign Corrupt Practices Act","","Kellogg Brown & Root LLC agreed to pay $177 million in disgorgement to settle allegations that it bribed Nigerian government officials over a 10-year period, in violation of the Foreign Corrupt Practices Act (FCPA), in order to obtain construction contracts. ","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Texas","publicly traded","KBR","construction and engineering","construction & engineering","https://www.sec.gov/news/press/2009/2009-23.htm",""
"Kellogg Brown and Root","KBR","$8,000,000","$0","$8,000,000","2006","20061129","government-contracting-related offenses","False Claims Act and related","","Kellogg Brown and Root (KBR) agreed to pay the United States $8 million to settle allegations of overcharging and other procurement irregularities regarding the Houston-based company's billings to the Army under a contract for logistical support of military operations in the Balkans during 1999 and 2000. The settlement resolved allegations under the False Claims Act that concerned various purchase orders awarded to 10 different foreign KBR subcontractors or vendors.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Texas","publicly traded","KBR","construction and engineering","construction & engineering","https://www.justice.gov/archive/opa/pr/2006/November/06_civ_797.html",""
"Kellogg, Brown and Root Services Inc.","KBR","$1,113,435","$0","$1,113,435","2006","20060909","employment-related offenses","wage and hour violation","Davis-Bacon Act and related","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1436075","","","Mississippi","Gulfport","","39501","23899","23899: All Other Specialty Trade Contractors","USA","Texas","publicly traded","KBR","construction and engineering","construction & engineering","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"SW&B CONSTRUCTION CORPORATION","KBR","$7,925","$0","$7,925","2003","20030227","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","CANTONMENT","375 MUSCOGEE ROAD","32533","238290","238290: Other Building Equipment Contractors","USA","Texas","publicly traded","KBR","construction and engineering","construction & engineering","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Kellogg Brown & Root","KBR","$108,342","$0","$108,342","2015","20150816","competition-related offenses","kickbacks and bribery","","","federal","agency action","U.S. Attorney-Eastern District of Texas","civil","","","","","","","","","","","","USA","Texas","publicly traded","KBR","construction and engineering","construction & engineering","https://www.justice.gov/usao-edtx/pr/kellogg-brown-root-ordered-pay-accepting-kickbacks",""
