"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"KAG West, LLC","Kenan Advantage Group","$4,214,289","$0","$4,214,289","2016","20161228","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","21-CA-039488","","","California","Long Beach","","","","","USA","Ohio","privately held","","freight and logistics","trucking","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"Kenan Transport","Kenan Advantage Group","$12,000","$0","$12,000","2000","20000523","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","11-CA-18469-001","","","Virginia","Roanoke","","24012","486110","486110: Pipeline Transportation of Crude Oil","USA","Ohio","privately held","","freight and logistics","trucking","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Kenan Transport Co.","Kenan Advantage Group","$27,301","$0","$27,301","2001","20010614","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","12-CA-20693-001","","","Florida","Orlando","","32824","424720","424720: Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)","USA","Ohio","privately held","","freight and logistics","trucking","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Kenan Transport LLC","Kenan Advantage Group","$9,550","$0","$9,550","2012","20120514","safety-related offenses","motor vehicle safety violation","","","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Ohio","N CANTON","","","","","USA","Ohio","privately held","","freight and logistics","trucking","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2012-pdf",""
"Kenan Transport, LLC","Kenan Advantage Group","$27,000","$0","$27,000","2014","20140417","employment-related offenses","employment discrimination","","pregnancy","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","South Carolina","","","","","","USA","Ohio","privately held","","freight and logistics","trucking","https://www.eeoc.gov/eeoc/newsroom/release/4-17-14a.cfm","Description field shows type of discrimination that EEOC had alleged."
"Kenan Transport, LLC","Kenan Advantage Group","$6,630","$0","$6,630","2010","20101230","safety-related offenses","motor vehicle safety violation","","","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Ohio","N CANTON","","","","","USA","Ohio","privately held","","freight and logistics","trucking","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2011-pdf",""
"Beneto Bulk Transport","Kenan Advantage Group","$14,000,000","$0","$14,000,000","2012","20120309","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Northern District of California","06-cv-5682","Mowdy et al v. Beneto Bulk Transport et al","settlement","","","","","","","USA","Ohio","privately held","","freight and logistics","trucking","https://www.law360.com/articles/269854/kag-west-to-pay-14m-to-end-drivers-flsa-suit",""
"KAG West, LLC","Kenan Advantage Group","$133,225","$0","$133,225","2021","20210211","environment-related offenses","environmental violation","","Clean Water Act","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","Washington","Tacoma","","","","","USA","Ohio","privately held","","freight and logistics","trucking","https://www.epa.gov/newsreleases/epa-settles-stormwater-case-kag-west-tacoma",""
"Kenan Transport Co.","Kenan Advantage Group","$5,178","$0","$5,178","2005","20051118","environment-related offenses","environmental violation","","waste management violation","state","agency action","North Carolina Department of Environmental Quality","civil","","","","","","North Carolina","Spring Lake","","","","","USA","Ohio","privately held","","freight and logistics","trucking","https://files.nc.gov/ncdeq/Waste%20Management/DWM/UST/Civil%20Penalty/2005.pdf",""
"Kenan Transport Co.","Kenan Advantage Group","$128,204","$0","$128,204","2002","20021106","environment-related offenses","environmental violation","","waste management violation","state","agency action","North Carolina Department of Environmental Quality","civil","","","","","","North Carolina","Whitsett","","","","","USA","Ohio","privately held","","freight and logistics","trucking","https://files.nc.gov/ncdeq/Waste%20Management/DWM/UST/Civil%20Penalty/2002.pdf",""
