"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"GRAIN PROCESSING CORP.","Kent Corp.","$30,000","$0","$30,000","2009","20090417","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Iowa","privately held","","agribusiness","agribusiness","https://www.fra.dot.gov/Elib/Document/282","Year is fiscal year."
"GRAIN PROCESSING CORP.","Kent Corp.","$8,000","$0","$8,000","2009","20090417","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Iowa","privately held","","agribusiness","agribusiness","https://www.fra.dot.gov/Elib/Document/282","Year is fiscal year."
"GRAIN PROCESSING CORP.","Kent Corp.","$8,000","$0","$8,000","2009","20090417","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Iowa","privately held","","agribusiness","agribusiness","https://www.fra.dot.gov/Elib/Document/282","Year is fiscal year."
"GRAIN PROCESSING CORP.","Kent Corp.","$5,000","$0","$5,000","2009","20090520","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Iowa","privately held","","agribusiness","agribusiness","https://www.fra.dot.gov/Elib/Document/282","Year is fiscal year."
"GRAIN PROCESSING CORP.","Kent Corp.","$10,000","$0","$10,000","2011","20110530","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Iowa","privately held","","agribusiness","agribusiness","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"Grain Processing Corp.","Kent Corp.","$9,000","$0","$9,000","2007","20070131","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Iowa","privately held","","agribusiness","agribusiness","Taken from the Federal Railroad Administration's FY2007 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Grain Processing Corp.","Kent Corp.","$7,850","$0","$7,850","2007","20070131","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Iowa","privately held","","agribusiness","agribusiness","Taken from the Federal Railroad Administration's FY2007 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"GRAIN PROCESSING CORP.","Kent Corp.","$7,700","$0","$7,700","2011","20110530","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Iowa","privately held","","agribusiness","agribusiness","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"GRAIN PROCESSING CORP.","Kent Corp.","$7,000","$0","$7,000","2013","20130524","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Iowa","privately held","","agribusiness","agribusiness","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"Grain Processing Corp.","Kent Corp.","$6,800","$0","$6,800","2007","20070131","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Iowa","privately held","","agribusiness","agribusiness","Taken from the Federal Railroad Administration's FY2007 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Grain Processing Corp.","Kent Corp.","$6,500","$0","$6,500","2007","20070131","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Iowa","privately held","","agribusiness","agribusiness","Taken from the Federal Railroad Administration's FY2007 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"GRAIN PROCESSING CORP.","Kent Corp.","$5,250","$0","$5,250","2013","20130503","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Iowa","privately held","","agribusiness","agribusiness","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"GRAIN PROCESSING CORP.","Kent Corp.","$5,000","$0","$5,000","2016","20160520","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Iowa","privately held","","agribusiness","agribusiness","https://www.fra.dot.gov/Elib/Document/16831","Year is fiscal year."
"Grain Processing Corporation","Kent Corp.","$129,000","$0","$129,000","2013","20130416","environment-related offenses","environmental violation","","EPA Region 7 announced that Grain Processing Corporation (GPC), in Muscatine, Iowa, has agreed to pay a civil penalty for violations of the federal Clean Water Act (CWA) that occurred in 2011.","federal","agency action","Environmental Protection Agency","civil","","","","","","Iowa","Muscatine","","","","","USA","Iowa","privately held","","agribusiness","agribusiness","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/f0047242f3546e1985257b4f005bf804.html",""
"Grain Processing Corporation","Kent Corp.","$20,000","$0","$20,000","2002","20021230","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","25-CA-27789-001","","","Indiana","Washington","","47501","312140","312140: Distilleries","USA","Iowa","privately held","","agribusiness","agribusiness","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Grain Processing Corp.","Kent Corp.","$1,500,000","$0","$1,500,000","2014","20140327","environment-related offenses","environmental violation","","Grain Processing Corp. agreed to pay $1.5 million in settlement of allegations it emitted excess particulate matter and engaged in other environmental violations.","state","agency action","Iowa Attorney General","civil","","","","","","Iowa","Muscatine","","","","","USA","Iowa","privately held","","agribusiness","agribusiness","https://web.archive.org/web/20170323192449/https://www.iowaattorneygeneral.gov/newsroom/judge-orders-grain-processing-corporation-to-pay-record-civil-penalty-improve-air-quality-at-musca/",""
"Grain Processing Corp.","Kent Corp.","$538,000","$0","$538,000","2006","20060717","environment-related offenses","environmental violation","","Grain Processing Corp. agreed to pay $538,000 in settlement of allegations of air polution control violations by exceeding its annual hourly operating limits for a spray dryer and failing to take measures to prevent resultant deterioration of the air quality at its grain processing facility.","state","agency action","Iowa Attorney General","civil","","","","","","Iowa","Muscatine","","","","","USA","Iowa","privately held","","agribusiness","agribusiness","https://web.archive.org/web/20060805185154/http://www.state.ia.us/government/ag/latest_news/releases/july_2006/Grain_Processing.html",""
