"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Fleischmann's Vinegar Company, Inc.","Kerry Group","$15,600","$0","$15,600","2014","20140325","environment-related offenses","environmental violation","","Five companies in Washington have agreed to correct errors in reporting hazardous chemicals as required by federal laws designed to protect communities during chemical emergencies. The companies failed to report the storage of hazardous chemicals in violation of the Emergency Planning and Community-Right-to-Know Act, according to settlements with the U.S. Environmental Protection Agency. The companies have agreed to correct the violations and pay fines.","federal","agency action","Environmental Protection Agency","civil","","","","","","Washington","Sumner","","","","","Ireland","","publicly traded","","food products","food products","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/f2785177dcc0057085257ca600699ddc.html",""
"Kerry, Inc.","Kerry Group","$13,174","$0","$13,174","2013","20130625","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","13-CA-091373","","","Illinois","Melrose Park","","","","","Ireland","","publicly traded","","food products","food products","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"KERRY INC.","Kerry Group","$14,000","$0","$14,000","2010","20100818","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","BELOIT","1126 HARVEY STREET","53511","311422","311422: Specialty Canning","Ireland","","publicly traded","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KERRY SWEET INGREDIENTS","Kerry Group","$7,000","$0","$7,000","2006","20061121","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","CHICAGO","4300 SOUTH MORGAN STREET","60609","311340","311340: Nonchocolate Confectionery Manufacturing","Ireland","","publicly traded","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KERRY SWEET INGREDIENTS","Kerry Group","$18,425","$0","$18,425","2008","20080505","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","UNION CITY","33063 WESTERN AVE","94587","311999","311999: All Other Miscellaneous Food Manufacturing","Ireland","","publicly traded","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KERRY SWEET INGREDIENTS","Kerry Group","$19,000","$0","$19,000","2007","20070403","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","UNION CITY","33063 WESTERN AVE","94587","311330","311330: Confectionery Manufacturing from Purchased Chocolate","Ireland","","publicly traded","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KERRY INGREDIENTS NORTH AMERICA","Kerry Group","$10,000","$0","$10,000","2006","20060222","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","COVINGTON","400 HAZEL STREET","45318","311514","311514: Dry, Condensed, and Evaporated Dairy Product Manufacturing","Ireland","","publicly traded","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KERRY SWEET INGREDIENTS, INC.","Kerry Group","$5,625","$0","$5,625","2006","20060314","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nebraska","FREMONT","805 S. UNION ST.","68025","311211","311211: Flour Milling","Ireland","","publicly traded","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KERRY SWEET INGREDIENTS, INC.","Kerry Group","$8,000","$0","$8,000","2005","20051026","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kansas","NEW CENTURY","400 PRAIRIE VILLAGE DR.","66031","311330","311330: Confectionery Manufacturing from Purchased Chocolate","Ireland","","publicly traded","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KERRY SWEET INGREDIENTS","Kerry Group","$5,400","$0","$5,400","2005","20050826","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","UNION CITY","33063 WESTERN AVE","94587","311330","311330: Confectionery Manufacturing from Purchased Chocolate","Ireland","","publicly traded","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
