"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"First Niagara Bank, National Association","KeyCorp","$10,000","$0","$10,000","2011","20111026","financial offenses","banking violation","","civil money penalty","federal","agency action","Office of the Comptroller of the Currency","civil","","","","","","New York","Buffalo","","","","","USA","Ohio","publicly traded","KEY","financial services","banking","http://www.occ.gov/static/enforcement-actions/ea2011-155.pdf",""
"FIRST NIAGARA FINANCIAL GROUP, INC.","KeyCorp","$10,001","$0","$10,001","2011","20110913","employment-related offenses","benefit plan administrator violation","","Deficient Filer","federal","agency action","Employee Benefits Security Administration","civil","","","","","","New York","","","","","","USA","Ohio","publicly traded","KEY","financial services","banking","Included in a dataset downloaded at https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
"KeyBanc Capital Markets Inc.","KeyCorp","$175,000","$0","$175,000","2016","20160229","financial offenses","accounting fraud or deficiencies","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Ohio","publicly traded","KEY","financial services","banking","https://www.sec.gov/litigation/admin/2016/34-77254.pdf",""
"Key Bank National Association","KeyCorp","$200,000","$0","$200,000","2008","20080222","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","USA","Ohio","publicly traded","KEY","financial services","banking","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/02222008.pdf",""
"Key Bank National Association","KeyCorp","$12,691","$0","$12,691","2008","20080719","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1514197","","","Ohio","Cleveland","","44124","521110","521110: Monetary Authorities - Central Bank","USA","Ohio","publicly traded","KEY","financial services","banking","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Keybank National Association","KeyCorp","$27,750","$0","$27,750","2007","20070727","financial offenses","banking violation","","","federal","agency action","Office of the Comptroller of the Currency","civil","","","AA-EC-07-46","","","Ohio","Cleveland","","","","","USA","Ohio","publicly traded","KEY","financial services","banking","https://www.occ.gov/static/enforcement-actions/ea2007-104.pdf",""
"Keybank National Association","KeyCorp","$5,005","$0","$5,005","2015","20150115","financial offenses","banking violation","","civil money penalty","federal","agency action","Office of the Comptroller of the Currency","civil","","","","","","Ohio","Cleveland","","","","","USA","Ohio","publicly traded","KEY","financial services","banking","http://www.occ.gov/static/enforcement-actions/ea2015-005.pdf",""
"KEYBANK NATIONAL ASSOCIATION","KeyCorp","$28,000","$0","$28,000","2004","20040402","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Washington","SEATTLE","3559 & 3539 27TH PLACE WEST","98199","522110","522110: Commercial Banking","USA","Ohio","publicly traded","KEY","financial services","banking","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Keybanc Capital Markets Inc.","KeyCorp","$440,000","$0","$440,000","2016","20160202","financial offenses","investor protection violation","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Ohio","publicly traded","KEY","financial services","banking","https://www.sec.gov/litigation/admin/2016/33-10021.pdf",""
"First Niagara Bank, National Association","KeyCorp","$2,000,000","$0","$2,000,000","2016","20160906","financial offenses","banking violation","","","federal","agency action","Office of the Comptroller of the Currency","civil","","","","","","New York","Buffalo","","","","","USA","Ohio","publicly traded","KEY","financial services","banking","https://www.occ.gov/static/enforcement-actions/ea2016-089.pdf",""
"KeyBank","KeyCorp","$3,500,000","$0","$3,500,000","2014","20140620","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Southern District of New York","13-cv-0789","Clem et al v. Keybank, N.A.","settlement","","","","","","","USA","Ohio","publicly traded","KEY","financial services","banking","https://www.law360.com/articles/518775/keybank-to-pay-3-5m-to-settle-flsa-unpaid-ot-claims",""
"KeyBank","KeyCorp","$4,900,000","$0","$4,900,000","2013","20130429","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Southern District of New York","12-cv-7836","Beckman et al v. Keybank, N.A.","settlement","","","","","","","USA","Ohio","publicly traded","KEY","financial services","banking","9-10 Mealey's Litig. Rep. Employ. L. 22 (2013)",""
"First Niagara Financial Group","KeyCorp","$404,000","$0","$404,000","2013","20130408","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Eastern District of Pennsylvania","12-cv-1202","KELSH v. FIRST NIAGARA FINANCIAL GROUP, INC.","settlement","","","","","","","USA","Ohio","publicly traded","KEY","financial services","banking","",""
"KeyCorp","KeyCorp","$6,250,000","$0","$6,250,000","2012","20121019","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Northern District of Ohio","11-cv-2619","Habenicht v. Keycorp et al","settlement","","","","","","","USA","Ohio","publicly traded","KEY","financial services","banking","",""
"Champion Mortgage and KeyBank","KeyCorp","$1,200,000","$0","$1,200,000","2009","20090526","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","District of New Jersey","05-cv-1238","CHEMI v. CHAMPION MORTGAGE et al","settlement","","","","","","","USA","Ohio","publicly traded","KEY","financial services","banking","5-11 Mealey's Litig. Rep. Employ. L. 26 (2009)",""
"First Niagara Bank","KeyCorp","$33,500","$0","$33,500","2003","20030211","consumer-protection-related offenses","consumer protection violation","","The New York Attorney General reached an agreement with ten banks to stop allowing their credit cards to be used for online gambling. The banks also agreed to pay a total of $335,000. The announcement did not specify how that amount would be divided among the banks. Here we assume it was split evenly among them.","state","agency action","New York Attorney General","civil","","","","","","New York","Auburn","","","","","USA","Ohio","publicly traded","KEY","financial services","banking","https://web.archive.org/web/20101115234741/http://www.ag.ny.gov/media_center/2003/feb/feb11b_03.html",""
"KeyBanc Capital Markets, Inc.","KeyCorp","$425,000","$0","$425,000","2009","20090723","financial offenses","investor protection violation","financial institution supervision failures","The Financial Industry Regulatory Authority fined five bank broker-dealers a total of $1.65 million for deficient supervision and procedures related to variable annuity (VA), mutual fund or unit investment trust (UIT) transactions.","federal","agency action","Financial Industry Regulatory Authority","civil","","","","","","","","","","","","USA","Ohio","publicly traded","KEY","financial services","banking","https://www.finra.org/media-center/news-releases/2009/finra-fines-bank-broker-dealers-165-million-supervisory-failures","FINRA is a securities industry self-regulatory body authorized by the federal government."
