"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Kimberly Clark Corporation","Kimberly-Clark","$11,014","$0","$11,014","2010","20101223","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","19-CA-32849-001","","","Washington","Everett","","98201","322121","322121: Paper (except Newsprint) Mills","USA","Texas","publicly traded","NYSE: KMB","household and personal care products","personal care products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Kimberly-Clark","Kimberly-Clark","$30,500","$0","$30,500","2001","20010710","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","30-CA-15119-001","","","Wisconsin","Neenah","","54956","322291","322291: Sanitary Paper Product Manufacturing","USA","Texas","publicly traded","NYSE: KMB","household and personal care products","personal care products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Kimberly-Clark Corporation","Kimberly-Clark","$130,444","$0","$130,444","2003","20030415","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","26-CA-20792-001","","","Arkansas","Conway","","72032","339999","339999: All Other Miscellaneous Manufacturing","USA","Texas","publicly traded","NYSE: KMB","household and personal care products","personal care products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"KIMBERLY CLARK OF PA LLC","Kimberly-Clark","$84,814","$0","$84,814","2017","20171120","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Texas","publicly traded","NYSE: KMB","household and personal care products","personal care products","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"KIMBERLY CLARK OF PA LLC","Kimberly-Clark","$23,750","$0","$23,750","2010","20100920","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Texas","publicly traded","NYSE: KMB","household and personal care products","personal care products","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"KIMBERLY CLARK OF PA LLC","Kimberly-Clark","$9,000","$0","$9,000","2000","20000201","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Texas","publicly traded","NYSE: KMB","household and personal care products","personal care products","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"KIMBERLY CLARK CORPORATION","Kimberly-Clark","$20,600","$0","$20,600","2008","20081128","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","MOBILE","200 BAY BRIDGE ROAD","36610","322121","322121: Paper (except Newsprint) Mills","USA","Texas","publicly traded","NYSE: KMB","household and personal care products","personal care products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KIMBERLY-CLARK CORPORATION","Kimberly-Clark","$9,000","$0","$9,000","2005","20050901","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","NEW MILFORD","58 PICKETT DISTRICT ROAD","06776","322121","322121: Paper (except Newsprint) Mills","USA","Texas","publicly traded","NYSE: KMB","household and personal care products","personal care products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KIMBERLY-CLARK CHESTER OPERATIONS","Kimberly-Clark","$6,000","$0","$6,000","2004","20040219","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","CHESTER","2ND AND MARKET STREETS","19013","322110","322110: Pulp Mills","USA","Texas","publicly traded","NYSE: KMB","household and personal care products","personal care products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KIMBERLY CLARK MUNISING MILL","Kimberly-Clark","$18,000","$0","$18,000","2003","20030318","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","MUNISING","501 E MUNISING AVE","49862","322121","322121: Paper (except Newsprint) Mills","USA","Texas","publicly traded","NYSE: KMB","household and personal care products","personal care products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
