"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Calnev Pipe Line Company","Kinder Morgan","$15,000","$0","$15,000","2003","20030116","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","KMI","pipelines","pipelines","Taken from the Federal Railroad Administration's FY2003 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"CALNEV PIPELINE CO","Kinder Morgan","$25,000","$0","$25,000","2005","20050321","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","KMI","pipelines","pipelines","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_520045028.html?nocache=4892",""
"COLORADO INTERSTATE GAS CO","Kinder Morgan","$2,335,000","$0","$2,335,000","2009","20091123","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","KMI","pipelines","pipelines","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_520081005.html?nocache=9422",""
"Colorado Interstate Gas Company","Kinder Morgan","$1,020,000","$0","$1,020,000","2009","20090723","environment-related offenses","environmental violation","","Colorado Interstate Gas Company, operator of the Natural Buttes Compressor Station located on the Uintah and Ouray Indian Reservation near Vernal, Utah, agreed to pay more than $1 million and install environmental controls at its facility as part of a consent decree that resolved violations of the Clean Air Act.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","","","","","","","USA","Texas","publicly traded","KMI","pipelines","pipelines","https://www.justice.gov/opa/pr/colorado-interstate-gas-agrees-resolve-clean-air-act-violations-utah",""
"El Paso Corporation","Kinder Morgan","$7,700,000","$0","$7,700,000","2007","20070207","competition-related offenses","Foreign Corrupt Practices Act","","El Paso Corporationagreed to pay $7.7 million to settle allegations that it indirectly paid nearly $5.5 million in illegal surcharges to Iraq in connection with its purchases of crude oil from third parties under the United Nations Oil for Food Program.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Texas","publicly traded","KMI","pipelines","pipelines","https://www.sec.gov/news/press/2007/2007-16.htm",""
"El Paso Energy","Kinder Morgan","$10,000","$0","$10,000","2003","20030707","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","KMI","pipelines","pipelines","Taken from the Federal Railroad Administration's FY2003 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"El Paso Merchant Energy, L.P.","Kinder Morgan","$20,000,000","$0","$20,000,000","2003","20030326","competition-related offenses","energy market manipulation","data submission deficiencies","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","Texas","publicly traded","KMI","pipelines","pipelines","http://www.cftc.gov/opa/enf03/opa4765-03.htm",""
"El Paso Midstream Group, LLC","Kinder Morgan","$255,000","$0","$255,000","2012","20120517","environment-related offenses","environmental violation","","The U.S. Environmental Protection Agency announced a Clean Air Act settlement with El Paso Midstream Group, LLC (El Paso) resolving violations at the Blue Bell Gas Plant near Roosevelt in Duchesne County, Utah.The settlement requires the company to pay $20,000 in civil penalties and up to $235,000 toward funding and maintaining two regulatory air monitors in the Uintah Basin.","federal","agency action","Environmental Protection Agency","civil","","","","","","Utah","","","","","","USA","Texas","publicly traded","KMI","pipelines","pipelines","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/90cf6da894426b1485257a01006c2ba8.html",""
"EL PASO NATURAL GAS CO","Kinder Morgan","$110,700","$0","$110,700","2016","20161229","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","420161005","","","","","","","","","USA","Texas","publicly traded","KMI","pipelines","pipelines","https://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_420161005.html?nocache=1740",""
"EL PASO NATURAL GAS CO","Kinder Morgan","$27,500","$0","$27,500","2013","20130816","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","KMI","pipelines","pipelines","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_520131012.html?nocache=8157",""
"EL PASO NATURAL GAS CO","Kinder Morgan","$22,000","$0","$22,000","2005","20050901","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","KMI","pipelines","pipelines","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_420051005.html?nocache=7645",""
"EL PASO NATURAL GAS CO","Kinder Morgan","$20,000","$0","$20,000","2010","20100910","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","KMI","pipelines","pipelines","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_420101005.html?nocache=1415",""
"El Paso Natural Gas Company","Kinder Morgan","$101,500,000","$0","$101,500,000","2007","20070726","environment-related offenses","environmental violation","","El Paso Natural Gas agreed to spend at least $86 million to implement widespread and comprehensive modifications of its Natural Gas Pipeline System and pay a $15.5 million civil penalty to resolve alleged environmental violations. ","federal","agency action","PHMSA referral to the Justice Department","civil","","","","","","","","","","","","USA","Texas","publicly traded","KMI","pipelines","pipelines","https://www.justice.gov/archive/opa/pr/2007/July/07_enrd_548.html",""
"El Paso Production GOM Inc","Kinder Morgan","$15,000","$0","$15,000","2001","20011211","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","publicly traded","KMI","pipelines","pipelines","https://www.bsee.gov/site-page/2001-civil-penalties",""
"El Paso Production GOM Inc","Kinder Morgan","$12,000","$0","$12,000","2004","20040109","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","publicly traded","KMI","pipelines","pipelines","https://www.bsee.gov/site-page/2004-civil-penalties",""
"El Paso Production GOM Inc.","Kinder Morgan","$12,000","$0","$12,000","2002","20020605","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","publicly traded","KMI","pipelines","pipelines","https://www.bsee.gov/site-page/2002-civil-penalties",""
"El Paso Production Oil & Gas Company","Kinder Morgan","$50,000","$0","$50,000","2003","20030707","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","publicly traded","KMI","pipelines","pipelines","https://www.bsee.gov/site-page/2003-civil-penalties",""
"El Paso Production Oil & Gas Company","Kinder Morgan","$17,000","$0","$17,000","2002","20020415","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","publicly traded","KMI","pipelines","pipelines","https://www.bsee.gov/site-page/2002-civil-penalties",""
"El Paso Production Oil & Gas Company","Kinder Morgan","$13,000","$0","$13,000","2002","20020213","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","publicly traded","KMI","pipelines","pipelines","https://www.bsee.gov/site-page/2002-civil-penalties",""
"El Paso Production Oil & Gas Company","Kinder Morgan","$7,000","$0","$7,000","2002","20020201","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","publicly traded","KMI","pipelines","pipelines","https://www.bsee.gov/site-page/2002-civil-penalties",""
"El Paso Production Oil and Gas Company","Kinder Morgan","$25,000","$0","$25,000","2006","20060207","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","publicly traded","KMI","pipelines","pipelines","https://www.bsee.gov/site-page/2006-civil-penalties",""
"El Paso Production Oil and Gas Company","Kinder Morgan","$10,000","$0","$10,000","2006","20060807","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","publicly traded","KMI","pipelines","pipelines","https://www.bsee.gov/site-page/2006-civil-penalties",""
"KINDER MORGAN INC","Kinder Morgan","$6,600","$0","$6,600","2008","20080924","safety-related offenses","motor vehicle safety violation","","NV-2008-0027-US0420","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Colorado","LAKEWOOD","","","","","USA","Texas","publicly traded","KMI","pipelines","pipelines","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2008-pdf","Year is fiscal year. Date is closing date."
"Kinder Morgan, Inc.","Kinder Morgan","$754,830","$0","$754,830","2010","20100312","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1574359","","","Texas","Houston","","77002","493190","493190: Other Warehousing and Storage","USA","Texas","publicly traded","KMI","pipelines","pipelines","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"KINDER MORGAN, INC.","Kinder Morgan","$9,330","$0","$9,330","2006","20060228","safety-related offenses","motor vehicle safety violation","","WY-2006-0010-US0141","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Colorado","LAKEWOOD","","","","","USA","Texas","publicly traded","KMI","pipelines","pipelines","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2006-pdf","Year is fiscal year. Date is closing date."
