"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Kinross Gold Corporation","Kinross Gold","$950,000","$0","$950,000","2018","20180326","competition-related offenses","Foreign Corrupt Practices Act","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","Canada","","publicly traded","KGC","mining and minerals","mining","https://www.sec.gov/news/press-release/2018-47",""
"Round Mountain Gold Corporation","Kinross Gold","$7,438","$0","$7,438","2012","20120928","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","09-2012-3005","","","Nevada","ROUND MOUNTAIN","P.O. BOX 480","89045","","","Canada","","publicly traded","KGC","mining and minerals","mining","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Round Mountain Gold Corporation","Kinross Gold","$11,306","$0","$11,306","2009","20090317","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Nevada","round mountain","","","","","Canada","","publicly traded","KGC","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Round Mountain Gold Corporation","Kinross Gold","$11,306","$0","$11,306","2009","20090317","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Nevada","round mountain","","","","","Canada","","publicly traded","KGC","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Fairbanks Gold Mining Inc","Kinross Gold","$6,800","$0","$6,800","2009","20090708","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Alaska","Fairbanks","","","","","Canada","","publicly traded","KGC","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Round Mountain Gold Corporation","Kinross Gold","$6,458","$0","$6,458","2010","20100401","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Nevada","round mountain","","","","","Canada","","publicly traded","KGC","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Round Mountain Gold Corporation","Kinross Gold","$5,000","$0","$5,000","2010","20100506","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Nevada","round mountain","","","","","Canada","","publicly traded","KGC","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Round Mountain Gold Corporation","Kinross Gold","$7,578","$0","$7,578","2009","20090731","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Nevada","round mountain","","","","","Canada","","publicly traded","KGC","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Round Mountain Gold Corporation","Kinross Gold","$7,578","$0","$7,578","2009","20090730","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Nevada","round mountain","","","","","Canada","","publicly traded","KGC","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Round Mountain Gold Corporation","Kinross Gold","$13,609","$0","$13,609","2012","20120913","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Nevada","round mountain","","","","","Canada","","publicly traded","KGC","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
