"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Knauf Fiberglass","Knauf","$12,726","$0","$12,726","2002","20020502","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","25-CA-27776-001","","","Indiana","Shelbyville","","46176","327215","327215: Glass Product Manufacturing Made of Purchased Glass","Germany","","privately held","","building materials","insulation","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Knauf Insulation GmbH","Knauf","$15,000","$0","$15,000","2013","20130517","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1685998","","","Indiana","Shelbyville","","46176","238310","238310: Drywall and Insulation Contractors","Germany","","privately held","","building materials","insulation","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"US GYPSUM CO","Knauf","$10,000","$0","$10,000","2019","20190408","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Germany","","privately held","","building materials","insulation","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"US GYPSUM CO","Knauf","$16,458","$0","$16,458","2017","20171005","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Germany","","privately held","","building materials","insulation","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"United States Gypsum Company","Knauf","$11,500","$0","$11,500","2003","20031113","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","21-CA-35471-001","","","California","San Diego","","92244","212392","212392: Phosphate Rock Mining","Germany","","privately held","","building materials","insulation","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"UNITED STATES GYPSUM COMPANY","Knauf","$6,750","$0","$6,750","2009","20090925","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","JACKSONVILLE","6825 EVERGREEN AVENUE","32208","327420","327420: Gypsum Product Manufacturing","Germany","","privately held","","building materials","insulation","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KNAUF USA POLYSTYRENE, INC.","Knauf","$9,750","$0","$9,750","2007","20070806","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","LEBANON","2725 HENKLE DR.","45036","326121","326121: Unlaminated Plastics Profile Shape Manufacturing","Germany","","privately held","","building materials","insulation","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"U.S. GYPSUM COMPANY","Knauf","$42,685","$0","$42,685","2008","20080929","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","EL CENTRO","3810 WEST EVAN HEWES HWY","92243","327420","327420: Gypsum Product Manufacturing","Germany","","privately held","","building materials","insulation","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"United States Gypsum Co.","Knauf","$12,000,000","$0","$12,000,000","2001","20010813","safety-related offenses","workplace safety or health violation","","Five companies agreed to pay a total of $63.35 million in settlement of a case relating to  asbestos property damage in state buildings.","state","agency action","Hawaii Attorney General","civil","","","","","","Hawaii","","","","","","Germany","","privately held","","building materials","insulation","http://ag.hawaii.gov/wp-content/uploads/2012/11/2001-29-Successful-Settlement-to-Asbestos-Case.pdf",""
"United States Gypsum Co.","Knauf","$5,000","$0","$5,000","2007","20070302","environment-related offenses","environmental violation","","Air","state","agency action","Alabama Department of Environmental Management","civil","","","07-085-CAP","","","Alabama","","","","","","Germany","","privately held","","building materials","insulation","http://adem.alabama.gov/compInfo/2007orders.pdf",""
"United States Gypsum Company","Knauf","$6,000","$0","$6,000","2009","20090101","environment-related offenses","environmental violation","","air quality violation","state","agency action","Iowa Department of Natural Resources","civil","","","","","","Iowa","Mediapolis","","","","","Germany","","privately held","","building materials","insulation","Contained in a spreadsheet obtained from the agency on October 8, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://www.iowadnr.gov/About-DNR/About-DNR/Enforcement-Actions",""
"United States Gypsum Company","Knauf","$10,000","$0","$10,000","2006","20060101","environment-related offenses","environmental violation","","air quality violation","state","agency action","Iowa Department of Natural Resources","civil","","","","","","Iowa","Fort Dodge","","","","","Germany","","privately held","","building materials","insulation","Contained in a spreadsheet obtained from the agency on October 8, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://www.iowadnr.gov/About-DNR/About-DNR/Enforcement-Actions",""
"KNAUF INSULATION GMBH","Knauf","$74,063","$0","$74,063","2019","20191115","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","Shelbyville","","","","","Germany","","privately held","","building materials","insulation","http://www.in.gov/idem/oe/cause/AO/24670-A.htm",""
"KNAUF INSULATION GMBH","Knauf","$18,375","$0","$18,375","2018","20180524","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","Shelbyville","","","","","Germany","","privately held","","building materials","insulation","http://www.in.gov/idem/oe/cause/AO/23076-A.htm",""
"KNAUF INSULATION GMBH","Knauf","$6,250","$0","$6,250","2016","20160317","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","Shelbyville","","","","","Germany","","privately held","","building materials","insulation","http://www.in.gov/idem/oe/cause/AO/22956-A.htm",""
"KNAUF INSULATION GMBH","Knauf","$58,100","$0","$58,100","2014","20141006","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","Shelbyville","","","","","Germany","","privately held","","building materials","insulation","http://www.in.gov/idem/oe/cause/AO/20736-A.htm",""
"US GYPSUM CO","Knauf","$18,000","$0","$18,000","2006","20060823","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","East Chicago","","","","","Germany","","privately held","","building materials","insulation","http://www.in.gov/idem/oe/cause/AO/14439-A.htm",""
"US GYPSUM CO","Knauf","$10,000","$0","$10,000","2000","20000504","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","Shoals","","","","","Germany","","privately held","","building materials","insulation","http://www.ai.org/idem/oe/cause/AO/3618-A.html",""
"UNITED STATES GYPSUM COMPANY","Knauf","$7,000","$0","$7,000","2005","20051227","environment-related offenses","environmental violation","","","state","agency action","Massachusetts Executive Office of Energy and Environmental Affairs","civil","","","","","","Massachusetts","Boston","","","","","Germany","","privately held","","building materials","insulation","https://eeaonline.eea.state.ma.us/Portal/#!/search/enforcements/results?FacilityName=UNITED STATES GYPSUM COMPANY","Captured from records in EEA database with basic enforcement information; may not include full details of penalties."
"Knauf Insulation, Inc.","Knauf","$59,000","$0","$59,000","2018","20181109","environment-related offenses","environmental violation","","air quality violation","state","agency action","Michigan Department of Environmental Quality","civil","","","","","","Michigan","Albion","","","","","Germany","","privately held","","building materials","insulation","https://www.deq.state.mi.us/aps/downloads/SRN/B7205/B7205_ACO_20181109.pdf",""
"USG Interiors LLC - Cloquet MN","Knauf","$6,253","$0","$6,253","2020","20200414","environment-related offenses","environmental violation","","Air Pollution","state","agency action","Minnesota Pollution Control Agency","civil","","","PEN20200001","","","Minnesota","Cloquet","","","","","Germany","","privately held","","building materials","insulation","Contained in data received from the agency on October 14, 2020 in response to an open records request. ",""
