"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"New York Air Brake Corporation","Knorr-Bremse","$8,569","$0","$8,569","2010","20100823","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1561420","","","New York","Watertown","","13601","336510","336510: Railroad Rolling Stock Manufacturing","Germany","","privately held","","automotive parts","automotive parts","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"New York Airbrake Corporation","Knorr-Bremse","$9,923","$0","$9,923","2009","20090422","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1538324","","","New York","Watertown","","13601","541490","541490: Other Specialized Design Services","Germany","","privately held","","automotive parts","automotive parts","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"R.H. SHEPPARD COMPANY, INCORPORATED","Knorr-Bremse","$7,070","$0","$7,070","2004","20041221","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","HANOVER","101 PHILADELPHIA STREET","17331","336330","336330: Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing","Germany","","privately held","","automotive parts","automotive parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"R.H. SHEPPARD COMPANY, INCORPORATED","Knorr-Bremse","$10,500","$0","$10,500","2011","20110523","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","HANOVER","447 EAST MIDDLE STREET","17331","332997","332997: Industrial Pattern Manufacturing","Germany","","privately held","","automotive parts","automotive parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"R. H. SHEPPARD CO., INC.","Knorr-Bremse","$7,920","$0","$7,920","2014","20140128","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","HANOVER","101 PHILADELPHIA STREET","17331","331513","331513: Steel Foundries (except Investment)","Germany","","privately held","","automotive parts","automotive parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"R.H. SHEPPARD COMPANY, INCORPORATED","Knorr-Bremse","$9,800","$0","$9,800","2015","20150331","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","HANOVER","101 PHILADELPHIA STREET","17331","336330","336330: Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing","Germany","","privately held","","automotive parts","automotive parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"R.H. SHEPPARD CO., INC.","Knorr-Bremse","$12,934","$0","$12,934","2018","20180305","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","HANOVER","635 GAY ST","17331","332322","332322: Sheet Metal Work Manufacturing","Germany","","privately held","","automotive parts","automotive parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"R.H. SHEPPARD COMPANY, INCORPORATED","Knorr-Bremse","$9,639","$0","$9,639","2020","20200109","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","HANOVER","447 E. MIDDLE STREET","17331","336330","336330: Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing","Germany","","privately held","","automotive parts","automotive parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BENDIX COMMERCIAL VEHICLE SYSTEMS LLC","Knorr-Bremse","$7,000","$0","$7,000","2021","20210222","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","RICHARDSVILLE","346 CENTRAL AVENUE","42101","336340","336340: Motor Vehicle Brake System Manufacturing","Germany","","privately held","","automotive parts","automotive parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BENDIX COMMERCIAL VEHICLE SYSTEMS LLC","Knorr-Bremse","$7,000","$0","$7,000","2021","20210513","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","RICHARDSVILLE","346 CENTRAL AVENUE","42101","336340","336340: Motor Vehicle Brake System Manufacturing","Germany","","privately held","","automotive parts","automotive parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
