"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Kohls, Inc.","Kohl's","$5,000","$0","$5,000","2006","20060831","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1455100","","","Ohio","Findlay","","45840","452990","452990: All Other General Merchandise Stores","USA","Wisconsin","publicly traded","KSS","retailing","retail-department stores","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Kohl's Department Stores Inc.","Kohl's","$425,000","$0","$425,000","2009","20090908","safety-related offenses","product safety violation","","Kohl?s Department Stores Inc. agreed to pay a civil penalty of $425,000 to resolve CPSC staff allegations that it knowingly failed to report to CPSC immediately, as required by federal law, that children's hooded sweatshirts it sold had drawstrings at the neck.","federal","agency action","Consumer Product Safety Commission","civil","","","","","","","","","","","","USA","Wisconsin","publicly traded","KSS","retailing","retail-department stores","https://www.cpsc.gov/Newsroom/News-Releases/2009/Kohls-Department-Stores-Agrees-to-Pay-425000-Civil-Penalty-for-Failing-to-Report-Drawstrings-in-Childrens-Sweatshirts",""
"Kohl's Department Stores Inc.","Kohl's","$35,000","$0","$35,000","2008","20080422","safety-related offenses","product safety violation","","Eight firms agreed to pay a total of $320,000 to settle allegations that they failed to report to the CPSC, as required by federal law, that their children's hooded sweatshirts or jackets were sold with drawstrings at the hood and neck and thus posed a strangulation hazard.","federal","agency action","Consumer Product Safety Commission","civil","","","","","","","","","","","","USA","Wisconsin","publicly traded","KSS","retailing","retail-department stores","https://www.cpsc.gov/Newsroom/News-Releases/2008/Eight-Firms-Agree-To-Pay-320000-For-Failing-To-Timely-Report-Drawstrings-In-Childrens-Outerwear",""
"Kohl's Department Stores, Inc. (KDS)","Kohl's","$33,174","$0","$33,174","2011","20110415","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1620568","","","Texas","Brownsville","","78520","452111","452111: Department Stores (except Discount Department Stores)","USA","Wisconsin","publicly traded","KSS","retailing","retail-department stores","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"KOHL'S DEPARTMENT STORES INC.","Kohl's","$10,000","$0","$10,000","2009","20090211","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","WHITEHALL","2010 WHITEHALL MALL","18052","452111","452111: Department Stores (except Discount Department Stores)","USA","Wisconsin","publicly traded","KSS","retailing","retail-department stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KOHL'S DEPARTMENT STORE #198","Kohl's","$6,000","$0","$6,000","2009","20090129","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Maine","BANGOR","520 STILLWATER AVENUE","04401","452111","452111: Department Stores (except Discount Department Stores)","USA","Wisconsin","publicly traded","KSS","retailing","retail-department stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KOHL'S DEPARTMENT STORES, INC.","Kohl's","$7,162","$0","$7,162","2011","20111129","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Delaware","WILMINGTON","401 ROCKY RUN PARKWAY","19803","452111","452111: Department Stores (except Discount Department Stores)","USA","Wisconsin","publicly traded","KSS","retailing","retail-department stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KOHL'S DEPARTMENT STORES, INC.","Kohl's","$19,000","$0","$19,000","2011","20111129","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Delaware","WILMINGTON","4437 KIRKWOOD HWY.","19808","452111","452111: Department Stores (except Discount Department Stores)","USA","Wisconsin","publicly traded","KSS","retailing","retail-department stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KOHL'S DEPARTMENT STORES, INC.","Kohl's","$7,500","$0","$7,500","2007","20070920","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","NILES","590 GOLF MILL CENTER","60714","452111","452111: Department Stores (except Discount Department Stores)","USA","Wisconsin","publicly traded","KSS","retailing","retail-department stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KOHL'S DEPARTMENT STORES, INC.","Kohl's","$39,000","$0","$39,000","2008","20081113","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","YARDLEY","1641 BIG OAK ROAD","19067","452111","452111: Department Stores (except Discount Department Stores)","USA","Wisconsin","publicly traded","KSS","retailing","retail-department stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KOHL'S DEPARTMENT STORE'S #378","Kohl's","$6,000","$0","$6,000","2008","20081209","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","LAKE RONKONKOMA","106 RONKONKOMA AVE","11779","452111","452111: Department Stores (except Discount Department Stores)","USA","Wisconsin","publicly traded","KSS","retailing","retail-department stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KOHL'S DEPARTMENT STORES, INC.","Kohl's","$7,900","$0","$7,900","2011","20110914","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","TRUMBULL","100 HAWLEY LANE","06611","448140","448140: Family Clothing Stores","USA","Wisconsin","publicly traded","KSS","retailing","retail-department stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Kohl's","Kohl's","$4,000,000","$0","$4,000,000","2016","20160106","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Southern District of New York","13-cv-1359","Costello et al v. Kohl's Illinois,Inc., et al","settlement","","","","","","","USA","Wisconsin","publicly traded","KSS","retailing","retail-department stores","https://www.law360.com/articles/743824/kohl-s-4m-manager-ot-settlement-gets-final-approval",""
"Kohl's","Kohl's","$700,000","$0","$700,000","2012","20121205","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Northern District of California","10-cv-2304","Croul v. Kohl's Department Stores, Inc.","settlement","","","","","","","USA","Wisconsin","publicly traded","KSS","retailing","retail-department stores","https://www.law360.com/articles/320020/kohl-s-brings-end-to-ot-class-action-with-settlement",""
"Kohl's Corporation","Kohl's","$25,000","$0","$25,000","2006","20060127","environment-related offenses","environmental violation","","A group of major retailers and a group of jewelry manufacturers joined a settlement involving the presence of lead in costume jewelry sold to children.","state","agency action","California Attorney General","civil","","","","","","California","","","","","","USA","Wisconsin","publicly traded","KSS","retailing","retail-department stores","https://www.oag.ca.gov/news/press-releases/attorney-general-lockyer-announces-settlement-major-us-companies-reduce-lead",""
