"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"C & D Technologies","KPS Capital Partners, LP","$35,465","$0","$35,465","2009","20090515","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","30-CA-18236-001","","","Wisconsin","Milwaukee","","53212","335911","335911: Storage Battery Manufacturing","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"HUSSEY COPPER","KPS Capital Partners, LP","$21,798","$0","$21,798","2003","20030513","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","09-CA-39446-001","","","Kentucky","Eminence","","40019","339999","339999: All Other Miscellaneous Manufacturing","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"HUSSEY COPPER","KPS Capital Partners, LP","$20,670","$0","$20,670","2004","20040719","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","09-CA-41232-001","","","Kentucky","Eminence","","40019","331421","331421: Copper Rolling, Drawing, and Extruding","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Hussey Copper, Ltd.","KPS Capital Partners, LP","$85,000","$0","$85,000","2011","20110211","employment-related offenses","employment discrimination","Americans with Disabilities Act","disability","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Pennsylvania","","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.eeoc.gov/eeoc/newsroom/release/2-11-11.cfm","Description field shows type of discrimination that EEOC had alleged."
"C&D TECH INC","KPS Capital Partners, LP","$6,000","$0","$6,000","2018","20180227","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"HUSSEY COPPER LTD","KPS Capital Partners, LP","$5,000","$0","$5,000","2000","20000209","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"Tower Automotive","KPS Capital Partners, LP","$222,050","$0","$222,050","2001","20010613","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","25-CA-26681-001","","","Indiana","Corydon","","47112","336399","336399: All Other Motor Vehicle Parts Manufacturing","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Tower Automotive","KPS Capital Partners, LP","$8,400","$0","$8,400","2006","20061106","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","07-CA-49316-001","","","Michigan","Traverse City","","49686","336370","336370: Motor Vehicle Metal Stamping","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Tower Automotive","KPS Capital Partners, LP","$8,000","$0","$8,000","2002","20020830","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","07-CA-44362-001","","","Michigan","Plymouth","","48170","336111","336111: Automobile Manufacturing","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Tower Automotive Products, Company","KPS Capital Partners, LP","$16,000","$0","$16,000","2001","20010314","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","26-CA-19024-001","","","Tennessee","Milan","","38358","336370","336370: Motor Vehicle Metal Stamping","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
