"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Dillon Companies, Inc.","Kroger","$80,000","$0","$80,000","2011","20111213","employment-related offenses","employment discrimination","Americans with Disabilities Act","disability","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Colorado","","","","","","USA","Ohio","publicly traded","KR","retailing","retail-supermarkets","https://www.eeoc.gov/eeoc/newsroom/release/12-13-11.cfm","Description field shows type of discrimination that EEOC had alleged."
"Dillon Companies, Inc.","Kroger","$11,640","$0","$11,640","2010","20100405","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","17-CA-24662-001","","","Kansas","Wichita","","67217","424410","424410: General Line Grocery Merchant Wholesalers","USA","Ohio","publicly traded","KR","retailing","retail-supermarkets","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Fred Meyer, Inc.","Kroger","$57,000","$0","$57,000","2006","20060228","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","36-CA-09761-001","","","Oregon","Clackamas","","97015","452990","452990: All Other General Merchandise Stores","USA","Ohio","publicly traded","KR","retailing","retail-supermarkets","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Fred Meyer, Inc.","Kroger","$10,000","$0","$10,000","2000","20000830","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","19-CA-25976-001","","","Oregon","Portland","","97202","452990","452990: All Other General Merchandise Stores","USA","Ohio","publicly traded","KR","retailing","retail-supermarkets","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Fred Meyer Stores, Inc.","Kroger","$487,500","$0","$487,500","2014","20140505","employment-related offenses","employment discrimination","","sexual harassment","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Oregon","","","","","","USA","Ohio","publicly traded","KR","retailing","retail-supermarkets","https://www.eeoc.gov/eeoc/newsroom/release/5-5-14a.cfm","Description field shows type of discrimination that EEOC had alleged."
"Fred Meyer Stores, Inc.","Kroger","$485,000","$0","$485,000","2008","20081211","employment-related offenses","employment discrimination","","sexual harassment","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Oregon","","","","","","USA","Ohio","publicly traded","KR","retailing","retail-supermarkets","https://www.eeoc.gov/eeoc/newsroom/release/archive/12-11-08a.html","Description field shows type of discrimination that EEOC had alleged."
"Fred Meyer Stores, Inc.","Kroger","$5,845","$0","$5,845","2010","20100216","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","19-CA-31962-001","","","Washington","Sumner","","98390","452990","452990: All Other General Merchandise Stores","USA","Ohio","publicly traded","KR","retailing","retail-supermarkets","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Fred Meyer, Inc. d/b/a Southwest Distribution Center","Kroger","$116,480","$0","$116,480","2000","20000215","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","28-CA-15925-001","","","Arizona","Tolleson","","85353","722310","722310: Food Service Contractors","USA","Ohio","publicly traded","KR","retailing","retail-supermarkets","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"King Soopers","Kroger","$13,500","$0","$13,500","2005","20050308","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","27-CA-18830-001","","","Colorado","Denver","","80218","445110","445110: Supermarkets and Other Grocery (except Convenience) Stores","USA","Ohio","publicly traded","KR","retailing","retail-supermarkets","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"King Soopers, Inc,","Kroger","$31,620","$0","$31,620","2010","20100125","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","27-CA-20638-001","","","Colorado","Denver","","80216","445110","445110: Supermarkets and Other Grocery (except Convenience) Stores","USA","Ohio","publicly traded","KR","retailing","retail-supermarkets","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
