"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"CLARION BOARDS LLC","Kronospan","$66,928","$0","$66,928","2016","20160815","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Germany","","privately held","","building materials","flooring products","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"CLARION BOARDS LLC","Kronospan","$28,800","$0","$28,800","2013","20130315","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Germany","","privately held","","building materials","flooring products","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"CLARION BOARDS LLC","Kronospan","$159,556","$0","$159,556","2012","20120301","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Germany","","privately held","","building materials","flooring products","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"Kronospan, LLC","Kronospan","$8,600,000","$0","$8,600,000","2020","20201109","environment-related offenses","environmental violation","","Clean Air Act violations. Includes a $900,000 fine and $7.7 million in supplemental environmental projects.","federal","agency action","Environmental Protection Agency","civil","","","","","","Alabama","Eastaboga","","","","","Germany","","privately held","","building materials","flooring products","https://www.epa.gov/newsreleases/epa-doj-and-alabama-take-action-address-clean-water-act-violations-kronospan-llc",""
"Kronospan, LLC","Kronospan","$40,000","$0","$40,000","2016","20161209","environment-related offenses","environmental violation","","Air Program","state","agency action","Alabama Department of Environmental Management","civil","","","17-041-CAP","","","Alabama","","","","","","Germany","","privately held","","building materials","flooring products","http://adem.alabama.gov/compInfo/2017orders.pdf",""
"Kronospan, LLC","Kronospan","$65,000","$0","$65,000","2010","20100520","environment-related offenses","environmental violation","","Air Program","state","agency action","Alabama Department of Environmental Management","civil","","","10-113-CAP","","","Alabama","","","","","","Germany","","privately held","","building materials","flooring products","http://adem.alabama.gov/compInfo/2010orders.pdf",""
"Kronospan, LLC","Kronospan","$20,000","$0","$20,000","2009","20090626","environment-related offenses","environmental violation","","Air Program","state","agency action","Alabama Department of Environmental Management","civil","","","09-080-CAP","","","Alabama","","","","","","Germany","","privately held","","building materials","flooring products","http://adem.alabama.gov/compInfo/2009orders.pdf",""
"Kronospan LLC USA","Kronospan","$65,000","$0","$65,000","2006","20060612","environment-related offenses","environmental violation","","Air","state","agency action","Alabama Department of Environmental Management","civil","","","06-072-CAP","","","Alabama","","","","","","Germany","","privately held","","building materials","flooring products","http://adem.alabama.gov/compInfo/2006orders.pdf",""
"Clarion Boards, LLC","Kronospan","$229,950","$0","$229,950","2019","20191127","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Germany","","privately held","","building materials","flooring products","https://www.ahs.dep.pa.gov/NewsRoomPublic/SearchResults.aspx?id=21783&typeid=1",""
"Clarion Boards Inc.","Kronospan","$90,000","$0","$90,000","2007","20070914","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Germany","","privately held","","building materials","flooring products","https://www.ahs.dep.pa.gov/NewsRoomPublic/SearchResults.aspx?id=1478&typeid=1",""
"KRONOSPAN LLC","Kronospan","$7,000","$0","$7,000","2013","20130116","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","EASTABOGA","1 KRONOSPAN WAY","36260","321219","321219: Reconstituted Wood Product Manufacturing","Germany","","privately held","","building materials","flooring products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CLARION BOARDS","Kronospan","$9,675","$0","$9,675","2013","20130823","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","SHIPPENVILLE","143 FIBERBOARD ROAD","16254","321219","321219: Reconstituted Wood Product Manufacturing","Germany","","privately held","","building materials","flooring products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CLARION BOARDS, INC.","Kronospan","$11,880","$0","$11,880","2015","20150108","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","SHIPPENVILLE","143 FIBERBOARD ROAD","16254","321219","321219: Reconstituted Wood Product Manufacturing","Germany","","privately held","","building materials","flooring products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KRONOSPAN LLC","Kronospan","$14,574","$0","$14,574","2020","20200616","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","EASTABOGA","1 KRONOSPAN WAY","36260","321219","321219: Reconstituted Wood Product Manufacturing","Germany","","privately held","","building materials","flooring products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
