"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"KUEHNE CHEMICAL CO., INC.","Kuehne Chemical","$10,800","$0","$10,800","2008","20080522","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","KEARNY","86 HACKENSACK AVE.","07032","325181","325181: Alkalies and Chlorine Manufacturing","USA","New Jersey","privately held","","chemicals","chemicals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KUEHNE CHEMICAL CO., INC.","Kuehne Chemical","$15,925","$0","$15,925","2008","20080520","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","KEARNY","86 HACKENSACK AVE.","07032","325181","325181: Alkalies and Chlorine Manufacturing","USA","New Jersey","privately held","","chemicals","chemicals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KUEHNE CHEMICAL COMPANY, INC.","Kuehne Chemical","$56,685","$0","$56,685","2011","20110823","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Delaware","DELAWARE CITY","1645 RIVER ROAD","19706","325181","325181: Alkalies and Chlorine Manufacturing","USA","New Jersey","privately held","","chemicals","chemicals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KUEHNE CHEMICAL COMPANY, INC.","Kuehne Chemical","$48,515","$0","$48,515","2011","20110823","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Delaware","DELAWARE CITY","1645 RIVER ROAD","19706","325181","325181: Alkalies and Chlorine Manufacturing","USA","New Jersey","privately held","","chemicals","chemicals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KUEHNE CHEMICAL COMPANY, INC.","Kuehne Chemical","$6,100","$0","$6,100","2010","20100712","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Delaware","DELAWARE CITY","1645 RIVER ROAD","19706","325188","325188: All Other Basic Inorganic Chemical Manufacturing","USA","New Jersey","privately held","","chemicals","chemicals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KUEHNE CHEMICAL CO INC","Kuehne Chemical","$199,200","$0","$199,200","2019","20190225","environment-related offenses","environmental violation","","water quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","49116-NEA180001","","","New Jersey","","","","","","USA","New Jersey","privately held","","chemicals","chemicals","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"KUEHNE CHEMICAL CO","Kuehne Chemical","$18,000","$0","$18,000","2022","20220111","environment-related offenses","environmental violation","","","state","agency action","New Jersey Department of Environmental Protection","civil","","","","","","New Jersey","","","","","","USA","New Jersey","privately held","","chemicals","chemicals","https://www13.state.nj.us/DataMiner",""
"KUEHNE CHEMICAL COMPANY, INC.","Kuehne Chemical","$5,891","$0","$5,891","2014","20140610","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Delaware","DELAWARE CITY","1645 RIVER ROAD","19706","325181","325181: Alkalies and Chlorine Manufacturing","USA","New Jersey","privately held","","chemicals","chemicals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KUEHNE CHEMICAL CO., INC.","Kuehne Chemical","$38,136","$0","$38,136","2016","20160922","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","KEARNY","86 HACKENSACK AVE.","07032","325181","325181: Alkalies and Chlorine Manufacturing","USA","New Jersey","privately held","","chemicals","chemicals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KUEHNE CHEMICAL CO., INC.","Kuehne Chemical","$36,000","$0","$36,000","2017","20171129","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","KEARNY","86 HACKENSACK AVE.","07032","325181","325181: Alkalies and Chlorine Manufacturing","USA","New Jersey","privately held","","chemicals","chemicals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
