"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Army Fleet Support LLC","L3Harris Technologies","$8,137","$0","$8,137","2005","20050212","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1380279","","","Alabama","Fort Rucker","","36362","336411","336411: Aircraft Manufacturing","USA","Florida","publicly traded","LHX","aerospace and military contracting","aerospace & military contracting","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"EDO Corporation","L3Harris Technologies","$2,500,000","$0","$2,500,000","2004","20041124","competition-related offenses","export control violation","","","federal","agency action","State Department Directorate of Defense Trade Controls","civil","","","","","","","","","","","","USA","Florida","publicly traded","LHX","aerospace and military contracting","aerospace & military contracting","https://www.pmddtc.state.gov/sys_attachment.do?sysparm_referring_url=tear_off&view=true&sys_id=857df205db15df00d0a370131f96198a",""
"Exelis, Inc","L3Harris Technologies","$7,058","$0","$7,058","2015","20150418","employment-related offenses","wage and hour violation","Service Contract Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1746597","","","Virginia","Mc Lean","","22102","541990","541990: All Other Professional, Scientific, and Technical Services","USA","Florida","publicly traded","LHX","aerospace and military contracting","aerospace & military contracting","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Exelis Systems Corporation","L3Harris Technologies","$8,320","$0","$8,320","2013","20130310","employment-related offenses","wage and hour violation","Service Contract Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1664093","","","Colorado","Colorado Springs","","80915","51791","51791: Other Telecommunications","USA","Florida","publicly traded","LHX","aerospace and military contracting","aerospace & military contracting","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Harris Corporation","L3Harris Technologies","$13,880","$0","$13,880","2008","20080331","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1492545","","","Florida","Melbourne","","32919","517910","517910: Other Telecommunications","USA","Florida","publicly traded","LHX","aerospace and military contracting","aerospace & military contracting","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Harris Corporation","L3Harris Technologies","$6,575","$0","$6,575","2016","20160226","employment-related offenses","wage and hour violation","Service Contract Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1777311","","","New Mexico","Las Cruces","","88012","517410","517410: Satellite Telecommunications","USA","Florida","publicly traded","LHX","aerospace and military contracting","aerospace & military contracting","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"ITT Corporation","L3Harris Technologies","$50,000,000","$0","$50,000,000","2007","20070327","miscellaneous offenses","misuse of classified data","Arms Export Control Act","ITT Corporation, the leading manufacturer of military night vision equipment for the U.S. Armed Forces, admitted sending classified materials overseas and agreed to pay a $100 million criminal penalty, half of which was deferred. ","federal","agency action","Justice Department National Security Division","criminal","deferred prosecution agreement","","","","","","","","","","","USA","Florida","publicly traded","LHX","aerospace and military contracting","aerospace & military contracting","https://www.justice.gov/archive/opa/pr/2007/March/07_nsd_192.html",""
"ITT Corporation","L3Harris Technologies","$28,000,000","$28,000,000","$0","2007","20071221","competition-related offenses","export control violation","","","federal","agency action","State Department Directorate of Defense Trade Controls","civil","","","","","","","","","","","","USA","Florida","publicly traded","LHX","aerospace and military contracting","aerospace & military contracting","https://www.pmddtc.state.gov/sys_attachment.do?sysparm_referring_url=tear_off&view=true&sys_id=95ddf689db99db0044f9ff621f9619ed",""
"ITT Industries","L3Harris Technologies","$8,000,000","$0","$8,000,000","2004","20041101","competition-related offenses","export control violation","","","federal","agency action","State Department Directorate of Defense Trade Controls","civil","","","","","","","","","","","","USA","Florida","publicly traded","LHX","aerospace and military contracting","aerospace & military contracting","https://www.pmddtc.state.gov/sys_attachment.do?sysparm_referring_url=tear_off&view=true&sys_id=6eddf689db99db0044f9ff621f961924",""
"ITT Industries, Inc. Systems Division","L3Harris Technologies","$8,114","$0","$8,114","2005","20050626","employment-related offenses","wage and hour violation","Service Contract Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1393491","","","Mississippi","Keesler Air Force Base","","39534","541519","541519: Other Computer Related Services","USA","Florida","publicly traded","LHX","aerospace and military contracting","aerospace & military contracting","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
