"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Lactalis USA,  Inc.","Lactalis","$20,950","$0","$20,950","2009","20090227","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","France","","privately held","","food products","dairy products","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/02272009.pdf",""
"Sorrento Cheese","Lactalis","$6,500","$0","$6,500","2000","20000331","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","03-CA-22177-001","","","New York","Buffalo","","14220","311513","311513: Cheese Manufacturing","France","","privately held","","food products","dairy products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Sorrento Lactalis Inc.","Lactalis","$315,000","$0","$315,000","2010","20100818","environment-related offenses","environmental violation","","Cheese manufacturer Sorrento Lactalis Inc. will pay the United States a $315,000 penalty for excess discharges in violation of its wastewater permit levels, according to an agreement between the company, the Justice Department and the Environmental Protection Agency (EPA). The company discharged the excess pollutants into Mason Creek from its factory operations in Nampa, Idaho, in violation of the Clean Water Act.","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","Idaho","Nampa","","","","","France","","privately held","","food products","dairy products","http://www.justice.gov/opa/pr/cheese-manufacturer-sorrento-lactalis-pay-us-315000-exceeding-discharge-levels-idaho-s-mason",""
"Sorrento Lactalis, Inc.","Lactalis","$91,352","$0","$91,352","2013","20130725","environment-related offenses","environmental violation","","Sorrento Lactalis, Inc. will pay $91,352 in a settlement for violations of Clean Air Act regulations intended to prevent chemical accidents. The violations occurred at Sorrento's cheese manufacturing facility in Nampa, Idaho.","federal","agency action","Environmental Protection Agency","civil","","","","","","Idaho","Nampa","","","","","France","","privately held","","food products","dairy products","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/2aac8cc2d0eaac2a85257bb30070be83.html",""
"SORRENTO LACTALIS, INC.","Lactalis","$5,000","$0","$5,000","2008","20080820","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Idaho","NAMPA","4912 E. FRANKLIN ROAD","83687","311513","311513: Cheese Manufacturing","France","","privately held","","food products","dairy products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SORRENTO LACTALIS, INC.","Lactalis","$57,500","$0","$57,500","2004","20041006","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Idaho","NAMPA","4912 E. FRANKLIN","83653","311513","311513: Cheese Manufacturing","France","","privately held","","food products","dairy products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SORRENTO LACTALIS, INC.","Lactalis","$12,500","$0","$12,500","2004","20041006","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Idaho","NAMPA","4912 E. FRANKLIN","83653","311513","311513: Cheese Manufacturing","France","","privately held","","food products","dairy products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LACTALIS INC","Lactalis","$5,898","$0","$5,898","2004","20040204","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","BELMONT","218 PARK STREET","53510","311513","311513: Cheese Manufacturing","France","","privately held","","food products","dairy products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SORRENTO LACTALIS, INC.","Lactalis","$5,682","$0","$5,682","2002","20020220","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","BUFFALO","2375 SOUTH PARK AVENUE","14220","000000","","France","","privately held","","food products","dairy products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SORRENTO LACTALIS, INC.","Lactalis","$5,058","$0","$5,058","2002","20020220","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","BUFFALO","2375 SOUTH PARK AVENUE","14220","000000","","France","","privately held","","food products","dairy products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
