"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Lancaster Colony Corp.","Lancaster Colony","$150,000","$0","$150,000","2000","20000209","safety-related offenses","product safety violation","","Lancaster Colony Corp., of Columbus, Ohio, agreed to pay a civil penalty of $150,000 to settle allegations that the company's original formulation Clearfire candles, sold by its Candle-lite division, contained a defect and the firm failed to report the problem to the agency as required by law. ","federal","agency action","Consumer Product Safety Commission","civil","","","","","","","","","","","","USA","Ohio","publicly traded","LANC","food products","food products","https://www.cpsc.gov/Newsroom/News-Releases/2000/Lancaster-Colony-Corp-Fined-150000-for-Failing-to-Report-Defective-Candles-to-CPSC",""
"Marzetti Frozen Pasta, Inc.","Lancaster Colony","$95,707","$0","$95,707","2011","20110126","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","18-CA-19315-001","","","Iowa","Altoona","","50009","311823","311823: Dry Pasta Manufacturing","USA","Ohio","publicly traded","LANC","food products","food products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"T. MARZETTI COMPANY, INC.","Lancaster Colony","$5,925","$0","$5,925","2008","20080325","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","COLUMBUS","3838 INDIANOLA AVENUE","43214","311941","311941: Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing","USA","Ohio","publicly traded","LANC","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SISTER SCHUBERTS HOMEMADE ROLLS, INC.","Lancaster Colony","$8,417","$0","$8,417","2007","20071129","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","SARALAND","100 JACINTOPORT BOULEVARD","36571","311812","311812: Commercial Bakeries","USA","Ohio","publicly traded","LANC","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"QUALITY BAKERY COMPANY, INC.","Lancaster Colony","$5,569","$0","$5,569","2004","20041209","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","COLUMBUS","50 N. GLENWOOD AVENUE","43222","311813","311813: Frozen Cakes, Pies, and Other Pastries Manufacturing","USA","Ohio","publicly traded","LANC","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LANCASTER GLASS CORPORATION","Lancaster Colony","$61,710","$0","$61,710","2005","20050602","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","LANCASTER","240 WEST MAIN STREET","43130","327212","327212: Other Pressed and Blown Glass and Glassware Manufacturing","USA","Ohio","publicly traded","LANC","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LANCASTER GLASS CORPORATION","Lancaster Colony","$18,500","$0","$18,500","2004","20041018","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","LANCASTER","240 WEST MAIN STREET","43130","327212","327212: Other Pressed and Blown Glass and Glassware Manufacturing","USA","Ohio","publicly traded","LANC","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"NEW YORK FROZEN FOODS","Lancaster Colony","$21,000","$0","$21,000","2003","20030711","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","BEDFORD HEIGHTS","25900 FARGO AVENUE","44146","311813","311813: Frozen Cakes, Pies, and Other Pastries Manufacturing","USA","Ohio","publicly traded","LANC","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"T. MARZETTI COMPANY, INC.","Lancaster Colony","$7,500","$0","$7,500","2004","20040615","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","COLUMBUS","3838 INDIANOLA AVENUE","43214","311941","311941: Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing","USA","Ohio","publicly traded","LANC","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"T MARZETTI COMPANY","Lancaster Colony","$8,250","$0","$8,250","2005","20050610","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","MILPITAS","876 YOSEMITE DRIVE","95035","311941","311941: Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing","USA","Ohio","publicly traded","LANC","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
