"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Golden Nugget Atlantic City","Landry's","$80,000","$0","$80,000","2012","20121031","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","04-CA-070659","","","New Jersey","Atlantic City","","","","","USA","Texas","privately held","","restaurants and foodservice","restaurants","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"Landry's Restaurants, Inc.","Landry's","$840,015","$0","$840,015","2008","20080724","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1521289","","","Texas","Houston","","77027","722110","722110: Full-Service Restaurants","USA","Texas","privately held","","restaurants and foodservice","restaurants","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Landry's Restaurant, Inc.","Landry's","$104,131","$0","$104,131","2008","20080724","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1514501","","","Texas","Houston","","77027","722110","722110: Full-Service Restaurants","USA","Texas","privately held","","restaurants and foodservice","restaurants","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"McCormick & Schmick's Seafood Restaurant, Inc.","Landry's","$47,814","$0","$47,814","2013","20130107","employment-related offenses","employment discrimination","Americans with Disabilities Act","disability","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Maryland","","","","","","USA","Texas","privately held","","restaurants and foodservice","restaurants","https://www.eeoc.gov/eeoc/newsroom/release/01-07-13a.cfm","Description field shows type of discrimination that EEOC had alleged."
"McCormick & Schmick's Seafood Restaurants Inc.","Landry's","$1,300,000","$0","$1,300,000","2014","20140912","employment-related offenses","employment discrimination","","Race","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Maryland","Baltimore","","","","","USA","Texas","privately held","","restaurants and foodservice","restaurants","https://www.eeoc.gov/eeoc/newsroom/release/9-12-14a.cfm","Description field shows type of discrimination that EEOC had alleged."
"Saltgrass, Inc.","Landry's","$653,542","$0","$653,542","2002","20020803","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1215694","","","Texas","McKinney","","75069","72211","72211: Full-Service Restaurants","USA","Texas","privately held","","restaurants and foodservice","restaurants","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"RAINFOREST CAFE","Landry's","$6,300","$0","$6,300","2010","20100209","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","COSTA MESA","3333 BRISTOL ST #1073","92626","722110","722110: Full-Service Restaurants","USA","Texas","privately held","","restaurants and foodservice","restaurants","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GOLDEN NUGGET HOTEL AND CASINO","Landry's","$5,525","$0","$5,525","2008","20081120","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nevada","LAS VEGAS","129 EAST FREMONT STREET","89101","721120","721120: Casino Hotels","USA","Texas","privately held","","restaurants and foodservice","restaurants","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LANDRY'S DOWNTOWN AQUARIUM, INC.","Landry's","$9,750","$0","$9,750","2008","20080201","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","DENVER","700 WATER STREET","80211","712190","712190: Nature Parks and Other Similar Institutions","USA","Texas","privately held","","restaurants and foodservice","restaurants","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GOLDEN NUGGET HOTEL AND CASINO - LAUGHLIN","Landry's","$5,175","$0","$5,175","2002","20020311","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nevada","LAUGHLIN","2300 CASINO DRIVE","89029","000000","","USA","Texas","privately held","","restaurants and foodservice","restaurants","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Landry's Inc.","Landry's","$500,000","$0","$500,000","2016","20160819","employment-related offenses","wage and hour violation","","meal/rest break violation","federal","private litigation","","civil","","Northern District of California","15-cv-0815","Saechao v. Landry's, Inc., et al","settlement","","","","","","","USA","Texas","privately held","","restaurants and foodservice","restaurants","",""
"Landry's Inc.","Landry's","$1,777,500","$0","$1,777,500","2015","20150827","employment-related offenses","wage and hour violation","","tip dispute","federal","private litigation","","civil","","Northern District of Illinois","12-cv-9354","Arango et al v. Landry's, Inc. et al","settlement","","","","","","","USA","Texas","privately held","","restaurants and foodservice","restaurants","",""
"Morton's","Landry's","$12,000,000","$0","$12,000,000","2010","20100128","employment-related offenses","wage and hour violation","","tip dispute","federal","private litigation","","civil","","District of Massachusetts","5-cv-11058","Johnson v. Morton's Restaurant Group, Inc.","settlement","","","","","","","USA","Texas","privately held","","restaurants and foodservice","restaurants","https://www.sec.gov/Archives/edgar/data/883981/000119312510042156/d8k.htm","Half of the settlement was to be paid in cash and the rest in preferred stock."
"McCormick & Schmick's Seafood Restaraunts Inc.","Landry's","$3,000,000","$0","$3,000,000","2008","20080807","employment-related offenses","employment discrimination","","Racial discrimination. The settlement amount includes $900,000 in legal fees.","federal","private litigation","","civil","","Northern District of California","4:06-cv-3153","Wynne v. McCormick & Schmick's Seafood Restaraunts Inc.","settlement","","","","","","","USA","Texas","privately held","","restaurants and foodservice","restaurants","https://www.clearinghouse.net/detail.php?id=10705&search=source%7Cgeneral%3BcaseName%7Cwynne%3Borderby%7CfilingYear%3B",""
"Landry's Restaurants","Landry's","$21,324","$0","$21,324","2005","20050204","environment-related offenses","environmental violation","","The California Attorney General announced the settlement of an environmental lawsuit against major restaurant chains under which hundreds of restaurants statewide will be required to post warnings for patrons about mercury in fish. The defendants also agreed to pay civil penalties and fund a consumer education program.","state","agency action","California Attorney General","civil","","","","","","California","","","","","","USA","Texas","privately held","","restaurants and foodservice","restaurants","https://www.oag.ca.gov/news/press-releases/attorney-general-lockyer-announces-court-approval-settlement-requiring-major",""
"McCormick & Schmick Management","Landry's","$31,968","$0","$31,968","2005","20050204","environment-related offenses","environmental violation","","The California Attorney General announced the settlement of an environmental lawsuit against major restaurant chains under which hundreds of restaurants statewide will be required to post warnings for patrons about mercury in fish. The defendants also agreed to pay civil penalties and fund a consumer education program.","state","agency action","California Attorney General","civil","","","","","","California","","","","","","USA","Texas","privately held","","restaurants and foodservice","restaurants","https://www.oag.ca.gov/news/press-releases/attorney-general-lockyer-announces-court-approval-settlement-requiring-major",""
"Morton's Restaurant Group","Landry's","$13,187","$0","$13,187","2005","20050204","environment-related offenses","environmental violation","","The California Attorney General announced the settlement of an environmental lawsuit against major restaurant chains under which hundreds of restaurants statewide will be required to post warnings for patrons about mercury in fish. The defendants also agreed to pay civil penalties and fund a consumer education program.","state","agency action","California Attorney General","civil","","","","","","California","","","","","","USA","Texas","privately held","","restaurants and foodservice","restaurants","https://www.oag.ca.gov/news/press-releases/attorney-general-lockyer-announces-court-approval-settlement-requiring-major",""
"Trump Marina Hotel and Casino","Landry's","$35,000","$0","$35,000","2012","20120202","miscellaneous offenses","casino violation","","","state","agency action","New Jersey Attorney General","civil","","","","","","New Jersey","Atlantic City","","","","","USA","Texas","privately held","","restaurants and foodservice","restaurants","https://www.nj.gov/oag/newsreleases12/pr20120202c.html",""
"Landry's Inc.","Landry's","$6,478","$0","$6,478","2017","20170421","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1815911","","","Texas","Houston","1520 Texas Ave","77002","721110","721110: Hotels (except Casino Hotels) and Motels","USA","Texas","privately held","","restaurants and foodservice","restaurants","February 7, 2020 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Landry's Inc.","Landry's","$9,699","$0","$9,699","2015","20150803","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1768281","","","California","San Jose","170 South Market Street","95113","722110","722110: Full-Service Restaurants","USA","Texas","privately held","","restaurants and foodservice","restaurants","February 7, 2020 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"GOLDEN NUGGET","Landry's","$22,750","$0","$22,750","2019","20191008","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","NJR986639185-NEA190001","","","New Jersey","","","","","","USA","Texas","privately held","","restaurants and foodservice","restaurants","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"GOLDEN NUGGET HOTEL AND CASINO","Landry's","$7,000","$0","$7,000","2011","20110607","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nevada","LAS VEGAS","129 EAST FREMONT STREET","89101","721120","721120: Casino Hotels","USA","Texas","privately held","","restaurants and foodservice","restaurants","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LANDRY'S INC. DBA HOUSTON AQUARIUM INC","Landry's","$25,300","$0","$25,300","2012","20120213","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","HOUSTON","410 BAGBY STREET","77002","541720","541720: Research and Development in the Social Sciences and Humanities","USA","Texas","privately held","","restaurants and foodservice","restaurants","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GOLDEN NUGGET, ATLANTIC CITY","Landry's","$5,250","$0","$5,250","2011","20111027","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","ATLANTIC CITY","HURON AVE & BRIGANTINE BLVD","08401","721120","721120: Casino Hotels","USA","Texas","privately held","","restaurants and foodservice","restaurants","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GOLDEN NUGGET HOTEL AND CASINO","Landry's","$5,500","$0","$5,500","2011","20111011","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nevada","LAS VEGAS","129 EAST FREMONT STREET","89101","721120","721120: Casino Hotels","USA","Texas","privately held","","restaurants and foodservice","restaurants","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SALTGRASS, INC.","Landry's","$8,400","$0","$8,400","2014","20140626","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","COLLEGE STATION","4330 STATE HWY 6","77845","236220","236220: Commercial and Institutional Building Construction","USA","Texas","privately held","","restaurants and foodservice","restaurants","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
