"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"LEADING EDGE AVIATION INC","Leading Edge Aviation Services","$15,000","$0","$15,000","2013","20130304","safety-related offenses","aviation safety violation","","MAINTENANCE","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","USA","California","privately held","","miscellaneous services","aviation services","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"LEADING EDGE AVIATION INC","Leading Edge Aviation Services","$11,000","$0","$11,000","2015","20151223","safety-related offenses","aviation safety violation","","DRUG TESTING","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","USA","California","privately held","","miscellaneous services","aviation services","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"Leading Edge Aviation Services","Leading Edge Aviation Services","$1,000,000","$0","$1,000,000","2014","20141104","environment-related offenses","environmental violation","","Leading Edge Aviation Services, Inc. (Leading Edge), a corporation headquartered in Costa Mesa, California, was sentenced by United States District Judge Glen Davidson, in Aberdeen, Mississippi, following a guilty plea to one felony count of treating, storing, or disposing of hazardous waste without a permit at Leading Edge's now shuttered Greenville, Mississippi, facility. Judge Davidson sentenced Leading Edge to pay a criminal fine in the amount of $700,000. Leading Edge will pay a separate $275,000 civil penalty to the Mississippi Department of Environmental Quality and a $25,000 community service payment to the Association of State and Territorial Solid Waste Management Officials, a non-profit corporation. ","federal","agency action","Environmental Protection Agency","criminal","","","","","","Mississippi","Greenville","","","","","USA","California","privately held","","miscellaneous services","aviation services","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/f5944771da7fa2c485257d8600699eb1.html",""
"LEADING EDGE AVIATION SERVICES INC","Leading Edge Aviation Services","$60,125","$0","$60,125","2015","20151104","safety-related offenses","aviation safety violation","","DRUG TESTING","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","USA","California","privately held","","miscellaneous services","aviation services","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"LEADING EDGE AVIATION SERVICES INC","Leading Edge Aviation Services","$60,125","$0","$60,125","2016","20161103","safety-related offenses","aviation safety violation","","DRUG TESTING","federal","agency action","Federal Aviation Administration","civil","","","2014NM910032 AVIATION","","","","","","","","","USA","California","privately held","","miscellaneous services","aviation services","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"LEADING EDGE AVIATION SERVICES INC","Leading Edge Aviation Services","$15,000","$0","$15,000","2012","20120614","safety-related offenses","aviation safety violation","","MAINTENANCE ","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","USA","California","privately held","","miscellaneous services","aviation services","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"LEADING EDGE AVIATION SERVICES INC","Leading Edge Aviation Services","$11,000","$0","$11,000","2012","20120111","safety-related offenses","aviation safety violation","","MAINTENANCE ","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","USA","California","privately held","","miscellaneous services","aviation services","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"LEADING EDGE AVIATION SERVICES INC","Leading Edge Aviation Services","$10,000","$0","$10,000","2014","20140717","safety-related offenses","aviation safety violation","","RECORDS/RPTS","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","USA","California","privately held","","miscellaneous services","aviation services","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"Leading Edge Aviation Services, Inc.","Leading Edge Aviation Services","$10,859","$0","$10,859","2007","20070626","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","11-CA-19783-001","","","South Carolina","Greenville","","29605","212112","212112: Bituminous Coal Underground Mining","USA","California","privately held","","miscellaneous services","aviation services","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"LEADING EDGE AVIATION SERVICES AMARILLO INC","Leading Edge Aviation Services","$24,000","$0","$24,000","2003","20030923","safety-related offenses","aviation safety violation","","MAINTENANCE ","federal","agency action","Federal Aviation Administration","civil","","","2001SO760075 ","","","","","","","","","USA","California","privately held","","miscellaneous services","aviation services","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
