"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"BOVIS LEND LEASE LMB, INC","Lendlease Group","$16,000","$0","$16,000","2008","20080114","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","NEW YORK","246 SPRING STREET","10013","236220","236220: Commercial and Institutional Building Construction","Australia","","publicly traded","","construction and engineering","construction and engineering","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BOVIS LEND LEASE LMB INC.","Lendlease Group","$208,000","$0","$208,000","2007","20070818","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","NEW YORK","130 LIBERTY ST","10006","236220","236220: Commercial and Institutional Building Construction","Australia","","publicly traded","","construction and engineering","construction and engineering","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BOVIS LEND LEASE, INC.","Lendlease Group","$150,000","$0","$150,000","2003","20031030","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","CHICAGO","71 S. WACKER DRIVE","60606","236220","236220: Commercial and Institutional Building Construction","Australia","","publicly traded","","construction and engineering","construction and engineering","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BOVIS LEND LEASE LMB, INC.","Lendlease Group","$10,000","$0","$10,000","2002","20020911","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","NEW YORK","201 VARICK STREET","10014","000000","","Australia","","publicly traded","","construction and engineering","construction and engineering","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BOVIS LEND LEASE LMB, INC.","Lendlease Group","$11,000","$0","$11,000","2002","20020819","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","NEW YORK","1725 1ST AVENUE","10128","000000","","Australia","","publicly traded","","construction and engineering","construction and engineering","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BOVIS LEND LEASE, INC.","Lendlease Group","$5,000","$0","$5,000","2001","20010523","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","NEW YORK","1  CENTRAL PARK SOUTH/COLUMBUS CIRCLE","10019","000000","","Australia","","publicly traded","","construction and engineering","construction and engineering","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BOVIS LEND LEASE, INC.","Lendlease Group","$7,000","$0","$7,000","2000","20000208","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","VIERA","WICKMAN RD & LAKE ANDREWS DR","32955","000000","","Australia","","publicly traded","","construction and engineering","construction and engineering","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BOVIS LAND LEASE, LMB INCORPORATED","Lendlease Group","$21,400","$0","$21,400","2000","20000306","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Massachusetts","BOSTON","1 AVERY STREET","02111","000000","","Australia","","publicly traded","","construction and engineering","construction and engineering","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BOVIS LEND LEASE, INC.","Lendlease Group","$7,000","$0","$7,000","2000","20000608","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","SMYRNA","220 INTERSTATE NORTH CIRCLE","30339","000000","","Australia","","publicly traded","","construction and engineering","construction and engineering","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Lend Lease (US) Construction LMB Inc.","Lendlease Group","$56,600,000","$0","$56,600,000","2012","20120418","competition-related offenses","fraud","","Lend Lease (US) Construction LMB Inc. (formerly Bovis Lend Lease LMB Inc.) entered into a deferred prosecution agreement to resolve charges of conspiring to commit mail and wire fraud by fraudulently overbilling its clients for over a decade.","federal","agency action","U.S. Attorney-Eastern District of New York","criminal","deferred prosecution agreement","","","","","","","","","","","Australia","","publicly traded","","construction and engineering","construction and engineering","https://www.justice.gov/archive/usao/nye/pr/2012/2012apr24.html",""
