"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"DRS POWER & CONTROL TECHNOLOGIES, INC.","Leonardo S.p.A.","$10,001","$0","$10,001","2012","20120416","employment-related offenses","benefit plan administrator violation","","Deficient Filer","federal","agency action","Employee Benefits Security Administration","civil","","","","","","Wisconsin","","","","","","Italy","","publicly traded","","aerospace and military contracting","aerospace & military contracting","Included in a dataset downloaded at https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
"DRS POWER & CONTROL TECHNOLOGIES, INC.","Leonardo S.p.A.","$10,001","$0","$10,001","2006","20061030","employment-related offenses","benefit plan administrator violation","","Deficient Filer","federal","agency action","Employee Benefits Security Administration","civil","","","","","","New Jersey","","","","","","Italy","","publicly traded","","aerospace and military contracting","aerospace & military contracting","Included in a dataset downloaded at https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
"DRS Technical Services Inc.","Leonardo S.p.A.","$13,700,000","$0","$13,700,000","2014","20141007","government-contracting-related offenses","False Claims Act and related","","DRS Technical Services Inc. agreed to pay $13.7 million to settle allegations that it violated the False Claims Act by knowingly overbilling the government for work performed by DRS personnel who lacked the job qualifications required by the contract.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","Italy","","publicly traded","","aerospace and military contracting","aerospace & military contracting","https://www.justice.gov/opa/pr/defense-contractor-agrees-pay-137-million-settle-allegations-overbilling",""
"DRS-Tamsco","Leonardo S.p.A.","$36,238","$0","$36,238","2007","20070113","employment-related offenses","wage and hour violation","Service Contract Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1471350","","","North Carolina","Elizabeth City","","27909","336413","336413: Other Aircraft Parts and Auxiliary Equipment Manufacturing","Italy","","publicly traded","","aerospace and military contracting","aerospace & military contracting","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"DRS Tamso","Leonardo S.p.A.","$78,480","$0","$78,480","2006","20061106","employment-related offenses","wage and hour violation","Service Contract Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1448841","","","New Jersey","Parsippany","","07054","811310","811310: Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Main","Italy","","publicly traded","","aerospace and military contracting","aerospace & military contracting","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"DRS-Test & Energy Management, LLC","Leonardo S.p.A.","$8,000","$0","$8,000","2011","20110407","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","10-CA-38869-001","","","Alabama","Huntsville","","35805","561990","561990: All Other Support Services","Italy","","publicly traded","","aerospace and military contracting","aerospace & military contracting","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"DRS TECHNICAL SERVICES,INC.DBA DRS TECHNICAL SERVI","Leonardo S.p.A.","$10,200","$0","$10,200","2008","20080923","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","North Carolina","LUMBERTON","124 HORNETS ROAD","28358","811111","811111: General Automotive Repair","Italy","","publicly traded","","aerospace and military contracting","aerospace & military contracting","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DRS POWER & CONTROL TECHNOLOGIES, INC.","Leonardo S.p.A.","$5,252","$0","$5,252","2006","20060720","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","MILWAUKEE","4265 N. 30TH ST.","53216","335314","335314: Relay and Industrial Control Manufacturing","Italy","","publicly traded","","aerospace and military contracting","aerospace & military contracting","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DRS Technical Services Inc.","Leonardo S.p.A.","$1,000,000","$0","$1,000,000","2015","20151201","government-contracting-related offenses","False Claims Act and related","","","federal","agency action","U.S. Attorney-Eastern District of Virginia","civil","","","","","","","","","","","","Italy","","publicly traded","","aerospace and military contracting","aerospace & military contracting","https://www.justice.gov/usao-edva/pr/government-contractor-pay-1-million-settle-civil-fraud-allegations",""
"DRS TECHNOLOGIES","Leonardo S.p.A.","$6,450","$0","$6,450","2009","20090804","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","Florida Department of Environmental Protection","civil","","","93125","","","Florida","","","","","","Italy","","publicly traded","","aerospace and military contracting","aerospace & military contracting","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
