"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Leprino Foods","Leprino Foods","$91,292","$0","$91,292","2005","20050919","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1400401","","","Michigan","Allendale","","49401","311513","311513: Cheese Manufacturing","USA","Colorado","privately held","","food products","food products","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Leprino Foods Company","Leprino Foods","$87,618","$0","$87,618","2006","20060601","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1449339","","","California","Lemoore","","93245","311513","311513: Cheese Manufacturing","USA","Colorado","privately held","","food products","food products","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Leprino Foods Company","Leprino Foods","$75,408","$0","$75,408","2006","20060604","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1449336","","","New Mexico","Roswell","","88201","311513","311513: Cheese Manufacturing","USA","Colorado","privately held","","food products","food products","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Leprino Foods Company","Leprino Foods","$51,057","$0","$51,057","2006","20060601","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1449341","","","Colorado","Fort Morgan","","80701","311513","311513: Cheese Manufacturing","USA","Colorado","privately held","","food products","food products","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Leprino Foods Company","Leprino Foods","$40,493","$0","$40,493","2006","20060601","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1449342","","","New York","Waverly","","14892","311513","311513: Cheese Manufacturing","USA","Colorado","privately held","","food products","food products","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Leprino Foods Inc.","Leprino Foods","$550,000","$0","$550,000","2012","20120919","employment-related offenses","employment discrimination","","The Office of Federal Contract Compliance Programs entered into a consent decree with Leprino Foods Inc. to resolve allegations of systemic hiring discrimination at the company's Lemoore West facility.","federal","agency action","Office of Federal Contract Compliance Programs","civil","","","","","","California","Lemoore","","","","","USA","Colorado","privately held","","food products","food products","https://www.dol.gov/opa/media/press/ofccp/OFCCP20121443.htm",""
"LEPRINO FOODS CO","Leprino Foods","$10,000","$0","$10,000","2001","20010619","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Colorado","privately held","","food products","food products","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"LEPRINO FOODS CO","Leprino Foods","$5,000","$0","$5,000","2001","20010614","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Colorado","privately held","","food products","food products","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"LEPRINO FOODS COMPANY","Leprino Foods","$5,354","$0","$5,354","2008","20080401","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","FORT MORGAN","2400 EAST BEAVER AVENUE","80701","311513","311513: Cheese Manufacturing","USA","Colorado","privately held","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LEPRINO FOODS COMPANY","Leprino Foods","$9,000","$0","$9,000","2002","20020410","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","FORT MORGAN","2400 EAST BEAVER AVENUE","80701","000000","","USA","Colorado","privately held","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LEPRINO FOODS","Leprino Foods","$18,000","$0","$18,000","2007","20070510","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","LEMOORE","351 BELLE HAVEN DR","93245","311513","311513: Cheese Manufacturing","USA","Colorado","privately held","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Leprino Foods Company","Leprino Foods","$32,000","$0","$32,000","2013","20130916","competition-related offenses","export control violation","antiboycott violation","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","USA","Colorado","privately held","","food products","food products","https://efoia.bis.doc.gov/index.php/documents/antiboycott/alleged-antiboycott-violations-2013/877-a734/file",""
"Leprino Foods","Leprino Foods","$100,000","$0","$100,000","2003","20031228","environment-related offenses","environmental violation","","wastewater violations","state","agency action","Nebraska Attorney General","civil","","","","","","Nebraska","Ravenna","","","","","USA","Colorado","privately held","","food products","food products","Company agrees to $85,000 fine for wastewater violations, Associated Press, December 28, 2003 (via Nexis).",""
"Leprino Foods","Leprino Foods","$13,500","$0","$13,500","2007","20070508","environment-related offenses","environmental violation","","","state","agency action","Nebraska Department of Environmental Quality","civil","","","","","","Nebraska","","","","","","USA","Colorado","privately held","","food products","food products","http://deq.ne.gov/Press.nsf/Judicial_2007.xsp",""
"LEPRINO FOODS CO","Leprino Foods","$7,150","$0","$7,150","2012","20120105","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nebraska","RAVENNA","102 LINCOLN","68869","311513","311513: Cheese Manufacturing","USA","Colorado","privately held","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LEPRINO FOODS COMPANY","Leprino Foods","$18,300","$0","$18,300","2013","20130329","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","LEMOORE","351 N. BELLE HAVEN DR.","93245","311513","311513: Cheese Manufacturing","USA","Colorado","privately held","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LEPRINO FOODS COMPANY","Leprino Foods","$25,495","$0","$25,495","2013","20130605","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","LEMOORE","351 N BELLE HAVEN DR","93245","311513","311513: Cheese Manufacturing","USA","Colorado","privately held","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LEPRINO FOODS COMPANY","Leprino Foods","$5,058","$0","$5,058","2013","20130416","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nebraska","RAVENNA","102 LINCOLN AVE.","68869","311513","311513: Cheese Manufacturing","USA","Colorado","privately held","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LEPRINO FOODS, INC","Leprino Foods","$19,275","$0","$19,275","2018","20180611","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","LEMOORE","351 N. BELLE HAVEN DR","93245","311412","311412: Frozen Specialty Food Manufacturing","USA","Colorado","privately held","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LEPRINO FOODS COMPANY","Leprino Foods","$26,521","$0","$26,521","2018","20180918","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","WAVERLY","400 LEPRINO AVENUE","14892","311513","311513: Cheese Manufacturing","USA","Colorado","privately held","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LEPRINO FOODS COMPANY","Leprino Foods","$9,472","$0","$9,472","2019","20190118","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","FORT MORGAN","2400 EAST BEAVER AVENUE","80701","311513","311513: Cheese Manufacturing","USA","Colorado","privately held","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LEPRINO FOODS COMPANY","Leprino Foods","$40,482","$0","$40,482","2020","20200622","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","GREELEY","1302 1ST AVENUE","80631","311513","311513: Cheese Manufacturing","USA","Colorado","privately held","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LEPRINO FOODS COMPANY","Leprino Foods","$25,200","$0","$25,200","2020","20200904","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Mexico","ROSWELL","5600 OMAHA RD.","88203","311513","311513: Cheese Manufacturing","USA","Colorado","privately held","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LEPRINO FOODS CO.","Leprino Foods","$32,870","$0","$32,870","2021","20210409","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","TRACY","2401 N MACARTHUR DR","95376","311513","311513: Cheese Manufacturing","USA","Colorado","privately held","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Leprino Foods (Remus)","Leprino Foods","$29,250","$0","$29,250","2007","20070503","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","05-2007-3724","","","Michigan","REMUS","311 N. SHERIDAN ROAD","49340","311513","311513: Cheese Manufacturing","USA","Colorado","privately held","","food products","food products","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Leprino Foods Company Inc., Denver, CO","Leprino Foods","$54,600","$0","$54,600","2014","20140521","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","05-2014-7262","","","Michigan","REMUS","311 N. SHERIDAN ROAD","49340","311513","311513: Cheese Manufacturing","USA","Colorado","privately held","","food products","food products","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
