"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"LETICA CORPORATION","Letica","$12,781","$0","$12,781","2006","20060810","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","FULTON","191 INDUSTRIAL PARK RD","42041","326199","326199: All Other Plastics Product Manufacturing","USA","Michigan","privately held","","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LETICA CORPORATION","Letica","$12,125","$0","$12,125","2006","20060110","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","FULTON","191 INDUSTRIAL PARK RD","42041","326121","326121: Unlaminated Plastics Profile Shape Manufacturing","USA","Michigan","privately held","","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LETICA CORPORATION","Letica","$6,500","$0","$6,500","2000","20000718","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","FULTON","191 INDUSTRIAL PARK RD","42041","000000","","USA","Michigan","privately held","","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LETICA CORPORATION OF NEVADA","Letica","$5,621","$0","$5,621","2011","20110608","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nevada","JEAN","2 LETICA ROAD (PLANT 2)","89019","325211","325211: Plastics Material and Resin Manufacturing","USA","Michigan","privately held","","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LETICA CORPORATION","Letica","$8,100","$0","$8,100","2011","20110714","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Tennessee","CLARKSVILLE","2593 OLD RUSSELLVILLE PIKE","37040","322215","322215: Nonfolding Sanitary Food Container Manufacturing","USA","Michigan","privately held","","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LETICA CORPORATION OF NEVADA","Letica","$45,391","$0","$45,391","2013","20131223","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nevada","JEAN","2 LETICA ROAD","89129","339999","339999: All Other Miscellaneous Manufacturing","USA","Michigan","privately held","","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LETICA CORPORATION","Letica","$5,000","$0","$5,000","2012","20120911","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","PITTSTON","2 COMMERCE ROAD","18641","322219","322219: Other Paperboard Container Manufacturing","USA","Michigan","privately held","","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LETICA CORPORATION","Letica","$6,235","$0","$6,235","2016","20161109","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Oklahoma","OKLAHOMA CITY","7428 S.W. 29TH STREET","73179","326199","326199: All Other Plastics Product Manufacturing","USA","Michigan","privately held","","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LETICA CORPORATION","Letica","$10,864","$0","$10,864","2017","20170613","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","LANETT","3715 S PHILLIPS RD.","36863","326199","326199: All Other Plastics Product Manufacturing","USA","Michigan","privately held","","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LETICA CORPORATION","Letica","$9,500","$0","$9,500","2019","20190429","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","FULTON","191 INDUSTRIAL DRIVE","42041","326199","326199: All Other Plastics Product Manufacturing","USA","Michigan","privately held","","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
