"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Franklin Industries Co.","Lhoist Group","$5,400","$0","$5,400","2008","20080714","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","06-CA-35956-001","","","Pennsylvania","Franklin","","16323","331111","331111: Iron and Steel Mills","Belgium","","privately held","","mining and minerals","minerals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"CHEMICAL LIME COMPANY","Lhoist Group","$5,438","$0","$5,438","2004","20041101","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","LA PORTE","801 NORTH 16TH ST.","77571","327410","327410: Lime Manufacturing","Belgium","","privately held","","mining and minerals","minerals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"FRANKLIN INDUSTRIES","Lhoist Group","$14,000","$0","$14,000","2004","20040413","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","FRANKLIN","645 ATLANTIC AVENUE","16323","331511","331511: Iron Foundries","Belgium","","privately held","","mining and minerals","minerals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CHEMICAL LIME COMPANY","Lhoist Group","$7,250","$0","$7,250","2000","20000204","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","LA PORTE","801 NORTH 16TH ST.","77571","000000","","Belgium","","privately held","","mining and minerals","minerals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Chemical Lime Company","Lhoist Group","$150,000","$0","$150,000","2000","20001031","environment-related offenses","environmental violation","","Chemical Lime Co. agreed to pay $150,000 to settle allegations the company failed to properly maintain its pollution monitoring equipment.","state","agency action","Arizona Attorney General","civil","","","","","","Arizona","","","","","","Belgium","","privately held","","mining and minerals","minerals","https://web.archive.org/web/20030112102052/http://www.attorney_general.state.az.us/press_releases/oct/103100.html",""
"LHoist North America, LLC","Lhoist Group","$130,000","$0","$130,000","2016","20161014","environment-related offenses","environmental violation","","Air Program","state","agency action","Alabama Department of Environmental Management","civil","","","17-007-CAP","","","Alabama","","","","","","Belgium","","privately held","","mining and minerals","minerals","http://adem.alabama.gov/compInfo/2017orders.pdf",""
"Chemical Lime Company of Alabama, LLC","Lhoist Group","$125,000","$0","$125,000","2011","20110622","environment-related offenses","environmental violation","","Air Program","state","agency action","Alabama Department of Environmental Management","civil","","","11-098-CAP","","","Alabama","","","","","","Belgium","","privately held","","mining and minerals","minerals","http://adem.alabama.gov/compInfo/2011orders.pdf",""
"Chemical Lime Company, LLC","Lhoist Group","$120,000","$0","$120,000","2010","20100803","environment-related offenses","environmental violation","","Air Program","state","agency action","Alabama Department of Environmental Management","civil","","","10-156-CAP","","","Alabama","","","","","","Belgium","","privately held","","mining and minerals","minerals","http://adem.alabama.gov/compInfo/2010orders.pdf",""
"Chemical Lime Company","Lhoist Group","$12,500","$0","$12,500","2008","20080730","environment-related offenses","environmental violation","","Air","state","agency action","Alabama Department of Environmental Management","civil","","","08-186-CAP","","","Alabama","","","","","","Belgium","","privately held","","mining and minerals","minerals","http://adem.alabama.gov/compInfo/2008orders.pdf",""
"Chemical Lime Company","Lhoist Group","$17,500","$0","$17,500","2008","20080730","environment-related offenses","environmental violation","","Air","state","agency action","Alabama Department of Environmental Management","civil","","","08-185-CAP","","","Alabama","","","","","","Belgium","","privately held","","mining and minerals","minerals","http://adem.alabama.gov/compInfo/2008orders.pdf",""
