"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Lincoln Financial Group Trust Company, Inc.","Lincoln National","$17,567","$0","$17,567","2018","20180920","employment-related offenses","wage and hour violation","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1857055","","","Pennsylvania","Wayne","150 N. Radnor - Chester Road","19087","523920","523920: Portfolio Management","USA","Pennsylvania","publicly traded","LNC","financial services","financial services","September 3, 2019 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. "
"Lincoln National Life Insurance Company","Lincoln National","$12,600,000","$0","$12,600,000","2013","20131210","consumer-protection-related offenses","insurance violation","","Lincoln National Life agreed to pay $12.6 million to settle multistate litigation regarding its use of the Social Security Administration's Death Master File.","state","agency action","Multistate Attorneys General Case","civil","","","","","","","","","","","","USA","Pennsylvania","publicly traded","LNC","financial services","financial services","Florida Announces a $12.6 Million Multi-State, Multi-Agency Life Claim Settlement Agreement with Lincoln, Targeted News Service, December 10, 2013 (via Nexis).",""
"Lincoln Life & Annuity Company of New York","Lincoln National","$7,500","$0","$7,500","2019","20191211","consumer-protection-related offenses","insurance violation","","","state","agency action","Connecticut Insurance Department","civil","","","","","","Connecticut","","","","","","USA","Pennsylvania","publicly traded","LNC","financial services","financial services","https://www.catalog.state.ct.us/cid/portalApps/images/reports/10688256.pdf",""
"The Lincoln National Life Insurance Co.","Lincoln National","$65,000","$0","$65,000","2019","20191211","consumer-protection-related offenses","insurance violation","","","state","agency action","Connecticut Insurance Department","civil","","","","","","Connecticut","","","","","","USA","Pennsylvania","publicly traded","LNC","financial services","financial services","https://www.catalog.state.ct.us/cid/portalApps/images/reports/10688255.pdf",""
"Lincoln National Life Insurance Co.","Lincoln National","$27,600","$0","$27,600","2014","20141217","consumer-protection-related offenses","insurance violation","","","state","agency action","Delaware Department of Insurance","civil","","","","","","Delaware","","","","","","USA","Pennsylvania","publicly traded","LNC","financial services","financial services","https://insurance.delaware.gov/wp-content/uploads/sites/15/2017/01/lincolnnationallifeinsurance.pdf",""
"Lincoln National Life Insurance Co.","Lincoln National","$79,000","$0","$79,000","2017","20170713","consumer-protection-related offenses","insurance violation","","","state","agency action","Delaware Department of Insurance","civil","","","","","","Delaware","","","","","","USA","Pennsylvania","publicly traded","LNC","financial services","financial services","https://insurance.delaware.gov/wp-content/uploads/sites/15/2017/07/Lincoln-National-Ins-Final-20170713.pdf",""
"The Lincoln National Life Insurance Co.","Lincoln National","$10,000","$0","$10,000","2019","20191018","consumer-protection-related offenses","insurance violation","","","state","agency action","Louisiana Department of Insurance","civil","","","","","","Louisiana","","","","","","USA","Pennsylvania","publicly traded","LNC","financial services","financial services","https://www.ldi.la.gov/OnlineServices/RegulatoryActions/home/viewattachment?id=klSQ9U1mpFdUM9p1ryZ4yw%3d%3d&filename=viewattachment.pdf",""
"Lincoln Financial Advisors Corp.","Lincoln National","$100,000","$0","$100,000","2013","20130522","financial offenses","investor protection violation","","","state","agency action","Massachusetts Securities Division","civil","","","","","","Massachusetts","","","","","","USA","Pennsylvania","publicly traded","LNC","financial services","financial services","http://www.sec.state.ma.us/sct/archived/sctfive/LincolnSignedConsentOrder.pdf",""
"Lincoln Life Assurance Company of Boston","Lincoln National","$13,200","$0","$13,200","2016","20160204","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2016-02-022","","","Maryland","","","","","","USA","Pennsylvania","publicly traded","LNC","financial services","financial services","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"Lincoln National Life Insurance Co. and Lincoln Financial Group","Lincoln National","$150,000","$0","$150,000","2013","20130110","consumer-protection-related offenses","insurance violation","","Lincoln National Life Insurance Co. and Lincoln Financial Group agreed to pay a $150,000 civil penalty in settlement of allegations its previous use of the automatic default option establishing a retained asset account could result in an unsuitable arrangement for a beneficiary, in violation of state regulations.","state","agency action","Minnesota Department of Commerce","civil","","","","","","Minnesota","","","","","","USA","Pennsylvania","publicly traded","LNC","financial services","financial services","https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={E12D427D-024A-4EB6-B492-D169EBEBF8BF}",""
"The Lincoln National Life Insurance Co. et al.","Lincoln National","$2,500,000","$0","$2,500,000","2014","20141211","consumer-protection-related offenses","insurance violation","","The Lincoln National Life Insurance Company, Lincoln Life & Annuity Company of New York and First Penn-Pacific Life Insurance Company agreed to pay $2.5 million to the state as part of a settlement of allegations they had inadequate procedures to ensure policies and other funds were timely investigated and paid out to beneficiaries.","state","agency action","Minnesota Department of Commerce","civil","","","","","","Minnesota","","","","","","USA","Pennsylvania","publicly traded","LNC","financial services","financial services","https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={EFD2600F-6805-4381-82AC-C7C8CF1BC646}",""
"The Lincoln National Life Insurance Co.","Lincoln National","$10,000","$0","$10,000","2016","20160128","consumer-protection-related offenses","insurance violation","","","state","agency action","Minnesota Department of Commerce","civil","","","","","","Minnesota","","","","","","USA","Pennsylvania","publicly traded","LNC","financial services","financial services","https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={750D853C-6FEE-4383-9F29-1F7DD99E783B}",""
"Lincoln National Life Insurance Co.","Lincoln National","$10,000","$0","$10,000","2019","20190322","consumer-protection-related offenses","insurance violation","","","state","agency action","Minnesota Department of Commerce","civil","","","","","","Minnesota","","","","","","USA","Pennsylvania","publicly traded","LNC","financial services","financial services","https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={59E1EE49-EBB7-4DA4-AF87-3BC821E0289B}",""
"Lincoln National Life Insurance Company","Lincoln National","$10,000","$0","$10,000","2015","20150617","consumer-protection-related offenses","insurance violation","","","state","agency action","New Jersey Department of Banking & Insurance","civil","","","","","","New Jersey","","","","","","USA","Pennsylvania","publicly traded","LNC","financial services","financial services","https://www.state.nj.us/dobi/division_insurance/enforcement/e15_64.pdf",""
"Lincoln Financial Group","Lincoln National","$52,200,000","$0","$52,200,000","2017","20170307","consumer-protection-related offenses","insurance violation","","Lincoln Financial Group paid $50.7 million in restitution to policyholders and a $1.5 million fine for lost insurance claims and for unfair claims settlement practices.","state","agency action","New York Department of Financial Services","civil","","","","","","New York","","","","","","USA","Pennsylvania","publicly traded","LNC","financial services","financial services","https://www.dfs.ny.gov/reports_and_publications/press_releases/pr1703071",""
"Lincoln Life & Annuity Company of New York","Lincoln National","$193,166","$0","$193,166","2020","20200410","consumer-protection-related offenses","insurance violation","","violations of New York Insurance regulations in deferred to immediate annuity replacement transactions","state","agency action","New York Department of Financial Services","civil","","","","","","New York","","","","","","USA","Pennsylvania","publicly traded","LNC","financial services","financial services","https://www.dfs.ny.gov/press_releases/pr202004101",""
"Lincoln National Life Insurance Company","Lincoln National","$15,000","$0","$15,000","2016","20161123","consumer-protection-related offenses","insurance violation","","","state","agency action","Oregon Division of Financial Regulation","civil","","","","","","Oregon","","","","","","USA","Pennsylvania","publicly traded","LNC","financial services","financial services","https://dfr.oregon.gov/AdminOrders/actions_2016/insurer_2016/marketplace_2016/20161123-lincolnnational-ins-16-0286.pdf",""
"Lincoln Financial Advisors Corp.","Lincoln National","$5,000","$0","$5,000","2007","20070316","financial offenses","investor protection violation","","","state","agency action","Rhode Island Department of Business Regulation","civil","","","","","","Rhode Island","","","","","","USA","Pennsylvania","publicly traded","LNC","financial services","financial services","https://dbr.ri.gov/documents/rules/hearing_notices/Consent_Agreement-Lincoln_Financial.pdf",""
"Lincoln Financial Securities Corporation","Lincoln National","$40,000","$0","$40,000","2010","20100615","financial offenses","investor protection violation","","","state","agency action","Texas State Securities Board","civil","","","","","","Texas","","","","","","USA","Pennsylvania","publicly traded","LNC","financial services","financial services","https://www.ssb.texas.gov/sites/default/files/files/news/IC10-14.pdf",""
"Lincoln National Life Insurance Company","Lincoln National","$100,000","$0","$100,000","2016","20160602","consumer-protection-related offenses","insurance violation","","","state","agency action","Texas Department of Insurance","civil","","","","","","Texas","","","","","","USA","Pennsylvania","publicly traded","LNC","financial services","financial services","https://www.tdi.texas.gov/commissioner/disciplinary-orders/documents/20164487.pdf",""
"Lincoln National life Insurance Company","Lincoln National","$6,000","$0","$6,000","2011","20110913","consumer-protection-related offenses","insurance violation","","","state","agency action","Utah Insurance Department","civil","","","","","","Utah","","","","","","USA","Pennsylvania","publicly traded","LNC","financial services","financial services","https://insurance.utah.gov/wp-content/uploads/2989Notice.pdf",""
"JEFFERSON PILOT LIFE INSURANCE","Lincoln National","$42,000","$0","$42,000","2001","20010629","consumer-protection-related offenses","insurance violation","","","state","agency action","Virginia Bureau of Insurance","civil","","","INS-2001-00127","","","Virginia","","","","","","USA","Pennsylvania","publicly traded","LNC","financial services","financial services","https://scc.virginia.gov/docketsearch#/caseDetails/112278",""
