"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"B & W RESOURCES INC","Lipari Energy","$36,000","$0","$36,000","2016","20161216","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DOW -160013","","","Kentucky","","","","","","USA","Kentucky","privately held","","mining and minerals","coal mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"B & W RESOURCES INC","Lipari Energy","$10,000","$0","$10,000","2015","20151016","environment-related offenses","environmental violation","","mining violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","PAC -46547","","","Kentucky","","","","","","USA","Kentucky","privately held","","mining and minerals","coal mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"B & W RESOURCES INC","Lipari Energy","$5,000","$0","$5,000","2015","20150818","environment-related offenses","environmental violation","","mining violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","PAC -46447","","","Kentucky","","","","","","USA","Kentucky","privately held","","mining and minerals","coal mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"B & W RESOURCES INC","Lipari Energy","$5,000","$0","$5,000","2013","20131107","environment-related offenses","environmental violation","","mining violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","PAC -45081","","","Kentucky","","","","","","USA","Kentucky","privately held","","mining and minerals","coal mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"B&W RESOURCES, INC.","Lipari Energy","$9,000","$0","$9,000","2013","20130208","environment-related offenses","environmental violation","","mining violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","PAC -42485","","","Kentucky","","","","","","USA","Kentucky","privately held","","mining and minerals","coal mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"B&W RESOURCES INC","Lipari Energy","$40,000","$0","$40,000","2012","20121017","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DOW -110289","","","Kentucky","","","","","","USA","Kentucky","privately held","","mining and minerals","coal mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"B&W RESOURCES INC","Lipari Energy","$5,000","$0","$5,000","2012","20120213","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DOW -110174","","","Kentucky","","","","","","USA","Kentucky","privately held","","mining and minerals","coal mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"B & W RESOURCES, INC.","Lipari Energy","$5,000","$0","$5,000","2010","20100616","environment-related offenses","environmental violation","","air quality violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DAQ -100133","","","Kentucky","","","","","","USA","Kentucky","privately held","","mining and minerals","coal mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"B & W RESOURCES INC","Lipari Energy","$10,000","$0","$10,000","2009","20090528","environment-related offenses","environmental violation","","mining violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","PAC -29814","","","Kentucky","","","","","","USA","Kentucky","privately held","","mining and minerals","coal mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"B & W RESOURCES INC","Lipari Energy","$6,300","$0","$6,300","2006","20061013","environment-related offenses","environmental violation","","mining violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","PAC -28020","","","Kentucky","","","","","","USA","Kentucky","privately held","","mining and minerals","coal mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
