"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Lithia Centennial Chrysler Plymouth Jeep, Inc.","Lithia Motors","$450,000","$0","$450,000","2002","20021009","employment-related offenses","employment discrimination","","race","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Colorado","","","","","","USA","Oregon","publicly traded","LAD","retailing","retail-automotive","https://www.eeoc.gov/eeoc/newsroom/release/archive/10-9-02.html","Description field shows type of discrimination that EEOC had alleged."
"Lithia Motors, Inc.","Lithia Motors","$562,500","$0","$562,500","2006","20060316","employment-related offenses","employment discrimination","","race","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Colorado","","","","","","USA","Oregon","publicly traded","LAD","retailing","retail-automotive","https://www.eeoc.gov/eeoc/newsroom/release/archive/3-16-06.html","Description field shows type of discrimination that EEOC had alleged."
"LITHIA MOTORS INC.","Lithia Motors","$7,000","$0","$7,000","2009","20090304","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alaska","ANCHORAGE","9100 OLD SEWARD HWY.","99515","441110","441110: New Car Dealers","USA","Oregon","publicly traded","LAD","retailing","retail-automotive","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LITHIA DODGE, INC.","Lithia Motors","$15,000","$0","$15,000","2011","20110427","safety-related offenses","aviation safety violation","","hazardous materials shipping","federal","agency action","Federal Aviation Administration","civil","","","2010NM730130","","","","","","","","","USA","Oregon","publicly traded","LAD","retailing","retail-automotive","from a spreadsheet posted on the FAA website at https://www.faa.gov/about/office_org/headquarters_offices/ash/ash_programs/hazmat/compliance_enforcement/",""
"DCH Auto Group","Lithia Motors","$6,500,000","$0","$6,500,000","2018","20180105","employment-related offenses","wage and hour violation","","meal/rest break violation","state","private litigation","","civil","","Superior Court of State of California, County of Los Angeles","BC565052","Arturo Capote et al v DCH Auto Group (Usa) Inc et al","settlement","California","","","","","","USA","Oregon","publicly traded","LAD","retailing","retail-automotive","",""
"Lithia Auto Dealers","Lithia Motors","$500,000","$0","$500,000","2006","20061201","consumer-protection-related offenses","consumer protection violation","","Lithia paid $500,000 to settle a consumer protection case over its practice of charging an ""administrative"" or ""document preparation"" fee on all of its vehicle sales that was nothing more than dealer profit, and consumers often confused this fee with state title, licensing, and registration fees paid to the DMV, and also Lithia's failure to provide certain disclosures to consumers who purchased used vehicles.","state","agency action","Alaska Attorney General","civil","","","","","","Alaska","","","","","","USA","Oregon","publicly traded","LAD","retailing","retail-automotive","http://www.law.state.ak.us/press/releases/2006/120106-Lithia.html",""
"LITHIA CHRYSLER JEEP DODGE OF BILLINGS","Lithia Motors","$7,000","$0","$7,000","2010","20101109","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Montana","BILLINGS","2229 KING AVE WEST","59102","441229","441229: All Other Motor Vehicle Dealers","USA","Oregon","publicly traded","LAD","retailing","retail-automotive","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LITHIA CHRYSLER JEEP OF RENO","Lithia Motors","$6,120","$0","$6,120","2013","20130927","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nevada","RENO","3223 MILL STREET","89502","441110","441110: New Car Dealers","USA","Oregon","publicly traded","LAD","retailing","retail-automotive","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LITHIA MOTORS, INC.","Lithia Motors","$12,900","$0","$12,900","2016","20160620","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","WALNUT CREEK","1442 MAZDA DR","94597","441110","441110: New Car Dealers","USA","Oregon","publicly traded","LAD","retailing","retail-automotive","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LITHIA SUBARU OF GREAT FALLS","Lithia Motors","$12,720","$0","$12,720","2016","20160907","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Montana","GREAT FALLS","26 9TH ST SOUTH","59401","811111","811111: General Automotive Repair","USA","Oregon","publicly traded","LAD","retailing","retail-automotive","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LITHIA SUBARU OF GREAT FALLS","Lithia Motors","$9,995","$0","$9,995","2016","20160907","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Montana","GREAT FALLS","26 9TH ST SOUTH","59401","811111","811111: General Automotive Repair","USA","Oregon","publicly traded","LAD","retailing","retail-automotive","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LITHIA HYUNDAI OF ANCHORAGE","Lithia Motors","$49,150","$0","$49,150","2016","20161115","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alaska","ANCHORAGE","5400 OLD SEWARD HWY","99518","441110","441110: New Car Dealers","USA","Oregon","publicly traded","LAD","retailing","retail-automotive","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CAMP AUTOMOTIVE INC","Lithia Motors","$19,800","$0","$19,800","2017","20170810","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Washington","SPOKANE","101 E MONTGOMERY","99207","441110","441110: New Car Dealers","USA","Oregon","publicly traded","LAD","retailing","retail-automotive","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LITHIA CHEVROLET BUICK GMC OF HELENA","Lithia Motors","$11,640","$0","$11,640","2017","20171116","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Montana","HELENA","1501 CEDAR ST.","59601","811111","811111: General Automotive Repair","USA","Oregon","publicly traded","LAD","retailing","retail-automotive","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LITHIA CHRYSLER JEEP DODGE OF BILLINGS","Lithia Motors","$8,793","$0","$8,793","2018","20180110","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Montana","BILLINGS","2229 KING AVE WEST","59102","441229","441229: All Other Motor Vehicle Dealers","USA","Oregon","publicly traded","LAD","retailing","retail-automotive","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LITHIA MOTORS INC","Lithia Motors","$20,375","$0","$20,375","2018","20180226","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Hawaii","HONOLULU","2945 NORTH NIMITZ HIGHWAY","96819","441110","441110: New Car Dealers","USA","Oregon","publicly traded","LAD","retailing","retail-automotive","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LITHIA TOYOTA OF BLLINGS, LLC","Lithia Motors","$10,395","$0","$10,395","2018","20180523","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Montana","BILLINGS","1532 GRAND AVENUE","59102","441110","441110: New Car Dealers","USA","Oregon","publicly traded","LAD","retailing","retail-automotive","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LITHIA CDH INC.","Lithia Motors","$7,853","$0","$7,853","2018","20181010","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Montana","HELENA","3401 US HWY 12 E","59601","441110","441110: New Car Dealers","USA","Oregon","publicly traded","LAD","retailing","retail-automotive","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LITHIA CHRYSLER-JEEP-DODGE OF WASILLA","Lithia Motors","$8,343","$0","$8,343","2019","20190116","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alaska","WASILLA","2891 E SUN MOUNTAIN AVE.","99654","441110","441110: New Car Dealers","USA","Oregon","publicly traded","LAD","retailing","retail-automotive","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LITHIA MOTORS","Lithia Motors","$6,582","$0","$6,582","2020","20201021","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Montana","MISSOULA","3943 BROOKS STREET","59804","441110","441110: New Car Dealers","USA","Oregon","publicly traded","LAD","retailing","retail-automotive","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LITHIA HYUNDAI OF FRESNO","Lithia Motors","$5,850","$0","$5,850","2020","20201130","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","FRESNO","5580 N BLACKSTONE","93710","441110","441110: New Car Dealers","USA","Oregon","publicly traded","LAD","retailing","retail-automotive","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LITHIA MOTORS - TOYOTA OF OXNARD","Lithia Motors","$6,600","$0","$6,600","2021","20210222","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","OXNARD","1631 AUTO CENTER DRIVE","93036","441110","441110: New Car Dealers","USA","Oregon","publicly traded","LAD","retailing","retail-automotive","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LITHIA MOTORS INC.","Lithia Motors","$5,400","$0","$5,400","2021","20210308","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","WALNUT CREEK","2646 N. MAIN ST.","94597","441110","441110: New Car Dealers","USA","Oregon","publicly traded","LAD","retailing","retail-automotive","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LITHIA CHEVROLET BUICK GMC OF HELENA","Lithia Motors","$5,803","$0","$5,803","2021","20210624","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Montana","HELENA","1501 CEDAR ST.","59601","811111","811111: General Automotive Repair","USA","Oregon","publicly traded","LAD","retailing","retail-automotive","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
