"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Cornerstone Chemical Company","Littlejohn & Co.","$10,000","$0","$10,000","2012","20120322","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Connecticut","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
"Cornerstone Chemical Company","Littlejohn & Co.","$9,000","$0","$9,000","2015","20150511","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Connecticut","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.fra.dot.gov/eLib/details/L17311#p1_z5_gD_lEA",""
"PSC Industrial Outsourcing, Inc.","Littlejohn & Co.","$10,000","$0","$10,000","2006","20061113","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","34-CA-11301-001","","","Connecticut","Bridgeport","","06606","561720","561720: Janitorial Services","USA","Connecticut","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Strategic Materials, Inc.","Littlejohn & Co.","$159,750","$0","$159,750","2012","20121206","environment-related offenses","environmental violation","","Strategic Materials, Inc. has agreed to pay a penalty of $159,750 to settle EPA's claims that it violated the federal Clean Water Act by allowing polluted storm water from its Franklin, Mass. facility to flow into nearby waters. Strategic Materials, Inc., based in Houston, Texas, operates the glass recycling facility, which is located at the edge of wetlands abutting Mine Brook, a tributary of the Charles River.","federal","agency action","Environmental Protection Agency","civil","","","","","","Massachusetts","Franklin","","","","","USA","Connecticut","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/de5989fee587854085257acc007767c4.html",""
"PSC INDUSTRIAL OUTSOURCING LP","Littlejohn & Co.","$5,000","$0","$5,000","2008","20081007","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Hawaii","KAPOLEI","91-410 KOMOHANA ST","96707","324110","324110: Petroleum Refineries","USA","Connecticut","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"STRATEGIC MATERIALS,INC.DBA WESTERN STRATEGIC MATE","Littlejohn & Co.","$5,720","$0","$5,720","2006","20061002","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","SAN LEANDRO","1932 FAIRWAY DR","94577","423930","423930: Recyclable Material Merchant Wholesalers","USA","Connecticut","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"STRATEGIC MATERIALS INC.","Littlejohn & Co.","$10,400","$0","$10,400","2004","20040128","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","CLEVELAND","2323 WEST 3RD STREET","44115","327215","327215: Glass Product Manufacturing Made of Purchased Glass","USA","Connecticut","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"STRATEGIC MATERIALS,INC.DBA WESTERN STRATEGIC MATE","Littlejohn & Co.","$20,700","$0","$20,700","2006","20060109","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","SAN LEANDRO","1932 FAIRWAY DR","94577","562111","562111: Solid Waste Collection","USA","Connecticut","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"STRATEGIC MATERIALS,INC.DBA WESTERN STRATEGIC MATE","Littlejohn & Co.","$5,935","$0","$5,935","2005","20050527","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","SAN LEANDRO","1932 FAIRWAY DR","94577","423930","423930: Recyclable Material Merchant Wholesalers","USA","Connecticut","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BRODER BROS.","Littlejohn & Co.","$7,715","$0","$7,715","2002","20020508","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","North Carolina","WADESBORO","915 STANDBACK FERRY RD.","28170","000000","","USA","Connecticut","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MAYSTEEL, LLC","Littlejohn & Co.","$47,000","$0","$47,000","2002","20020521","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","MENOMONEE FALLS","N89 W14700 PATRITA DRIVE","53051","000000","","USA","Connecticut","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MAYSTEEL LLC","Littlejohn & Co.","$5,500","$0","$5,500","2002","20021023","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","COLUMBUS","100 CONTINENTAL DRIVE","53925","332322","332322: Sheet Metal Work Manufacturing","USA","Connecticut","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PSC INDUSTRIAL OUTSOURCING GROUP","Littlejohn & Co.","$8,500","$0","$8,500","2002","20020411","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","MARTINEZ","150 SOLANO WAY (ULTRAMAR, INC.)","94553","000000","","USA","Connecticut","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PSC INDUSTRIAL OUTSOURCING INC.","Littlejohn & Co.","$27,500","$0","$27,500","2004","20040112","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Maine","RUMFORD","35 HARTFORD STREET","04276","811310","811310: Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Main","USA","Connecticut","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Cornerstone Chemical Company","Littlejohn & Co.","$8,000","$0","$8,000","2018","20180112","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","ZCRZ 2017-1(HMT)","","","","","","","","","USA","Connecticut","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.fra.dot.gov/eLib/Find#p1_z5_lEA",""
"PSC Industrial Outsourcing, LP","Littlejohn & Co.","$27,000","$0","$27,000","2009","20090101","environment-related offenses","environmental violation","","air pollution violation","state","agency action","California Air Resources Board","civil","","","","","","California","","","","","","USA","Connecticut","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://ww2.arb.ca.gov/psc-industrial-outsourcing-lp-settlement",""
"Strategic Materials Inc.","Littlejohn & Co.","$1,200,000","$0","$1,200,000","2019","20190730","environment-related offenses","environmental violation","","Strategic Materials agreed to pay $900,000 in civil penalties, spend $253,000 to implement more protective measures, including on-site improvements, and provide $47,000 toward a Supplemental Environmental Project in settlement of allegations it illegally disposed of more than 500,000 pounds of discarded batteries from homes and businesses.","state","agency action","California Department of Toxic Substances Control","civil","","","","","","California","Sacramento","","","","","USA","Connecticut","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://dtsc.ca.gov/2019/07/30/sacramento-glass-recycler/",""
"PSC Industrial Outsourcing LP","Littlejohn & Co.","$28,262","$0","$28,262","2019","20190729","environment-related offenses","environmental violation","","hazardous waste violations","state","agency action","California Department of Toxic Substances Control","civil","","","","","","California","Stockton","","","","","USA","Connecticut","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://dtsc.ca.gov/wp-content/uploads/sites/31/2019/07/Philip_West_CO_072919.pdf",""
"Strategic Materials, Inc.","Littlejohn & Co.","$39,200","$0","$39,200","2020","20200812","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Connecticut Department of Energy & Environmental Protection","civil","","","","","","Connecticut","","","","","","USA","Connecticut","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://portal.ct.gov/-/media/deep/enforcement/consentorder/COAR2532.pdf",""
"PSC INDUSTRIAL OUTSOURCING, LP DBA PHILIP SERVICES HAWAII","Littlejohn & Co.","$19,500","$0","$19,500","2014","20140314","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","Hawaii Environmental Management Division","civil","","","","","","Hawaii","","","","","","USA","Connecticut","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Contained in data received from the agency on November 10, 2020 in response to an open records request.","Company field shows the name of the handler."
"PSC INDUSTRIAL OUTSOURCING, LP DBA PHILIP SERVICES HAWAII","Littlejohn & Co.","$28,000","$0","$28,000","2001","20010606","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","Hawaii Environmental Management Division","civil","","","","","","Hawaii","","","","","","USA","Connecticut","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Contained in data received from the agency on November 10, 2020 in response to an open records request.","Company field shows the name of the handler."
"Cornerstone Chemical Company","Littlejohn & Co.","$50,000","$0","$50,000","2017","20171220","environment-related offenses","environmental violation","","","state","agency action","Louisiana Department of Environmental Quality","civil","","","","","","Louisiana","Waggaman","","","","","USA","Connecticut","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://deq.louisiana.gov/assets/docs/General/Settlement_Agreements/2017/Cornerstone0008_Final.pdf",""
"PSC Industrial Outsourcing, L.P.","Littlejohn & Co.","$65,000","$0","$65,000","2012","20121204","environment-related offenses","environmental violation","","","state","agency action","Louisiana Department of Environmental Quality","civil","","","","","","Louisiana","Jeanerette","","","","","USA","Connecticut","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://deq.louisiana.gov/assets/docs/General/Settlement_Agreements/2012/PSCIndustrial_Final.pdf","Penalty includes $30,000 on Beneficial Environmental Projects."
"STRATEGIC MATERIALS INC","Littlejohn & Co.","$17,200","$0","$17,200","2015","20151105","environment-related offenses","environmental violation","","","state","agency action","Massachusetts Executive Office of Energy and Environmental Affairs","civil","","","","","","Massachusetts","Franklin","","","","","USA","Connecticut","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://eeaonline.eea.state.ma.us/Portal/#!/search/enforcements/results?FacilityName=STRATEGIC MATERIALS INC","Captured from records in EEA database with basic enforcement information; may not include full details of penalties."
"STRATEGIC MATERIALS INC","Littlejohn & Co.","$12,000","$0","$12,000","2011","20110414","environment-related offenses","environmental violation","","","state","agency action","Massachusetts Executive Office of Energy and Environmental Affairs","civil","","","","","","Massachusetts","Franklin","","","","","USA","Connecticut","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://eeaonline.eea.state.ma.us/Portal/#!/search/enforcements/results?FacilityName=STRATEGIC MATERIALS INC","Captured from records in EEA database with basic enforcement information; may not include full details of penalties."
"Strategic Materials Inc","Littlejohn & Co.","$14,500","$0","$14,500","2016","20160329","environment-related offenses","environmental violation","","Air Pollution","state","agency action","Minnesota Pollution Control Agency","civil","","","PEN20150001","","","Minnesota","Saint Paul","","","","","USA","Connecticut","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Contained in data received from the agency on October 14, 2020 in response to an open records request. ",""
"PSC INDUSTRIAL OUTSOURCING LP","Littlejohn & Co.","$6,750","$0","$6,750","2017","20171102","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","NJR986643120-NEA170001","","","New Jersey","","","","","","USA","Connecticut","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"STRATEGIC MATERIALS INC","Littlejohn & Co.","$6,094","$0","$6,094","2013","20130917","environment-related offenses","environmental violation","","water quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","47650-NEA130001","","","New Jersey","","","","","","USA","Connecticut","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"STRATEGIC MATERIALS INC","Littlejohn & Co.","$12,310","$0","$12,310","2011","20110602","environment-related offenses","environmental violation","","water quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","47650-NEA110001","","","New Jersey","","","","","","USA","Connecticut","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"STRATEGIC MATERIALS INC","Littlejohn & Co.","$17,084","$0","$17,084","2005","20051114","environment-related offenses","environmental violation","","water quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","47650-NEA050001","","","New Jersey","","","","","","USA","Connecticut","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"Damac Products","Littlejohn & Co.","$6,900","$0","$6,900","2013","20130320","environment-related offenses","environmental violation","","air pollution","local","agency action","South Coast (CA) Air Quality Management District ","civil","","","","","","California","","","","","","USA","Connecticut","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","http://www.aqmd.gov/docs/default-source/Agendas/Governing-Board/2013/2013-may3-015.pdf?sfvrsn=0",""
"STRATEGIC MATERIALS, INC.","Littlejohn & Co.","$5,006","$0","$5,006","2012","20120215","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","North Carolina","RALEIGH","1815 CAPITAL BOULEVARD","27604","423930","423930: Recyclable Material Merchant Wholesalers","USA","Connecticut","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"STRATEGIC MATERIALS INC","Littlejohn & Co.","$5,000","$0","$5,000","2012","20120706","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Minnesota","ST PAUL","195 MINNEHAHA AVE E","55117","423930","423930: Recyclable Material Merchant Wholesalers","USA","Connecticut","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PSC INDUSTRIAL OUTSOURCING, LP","Littlejohn & Co.","$5,000","$0","$5,000","2013","20130621","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Utah","MAGNA","11600 W 2100 S","84044","325998","325998: All Other Miscellaneous Chemical Product and Preparation Manufacturing","USA","Connecticut","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
