"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Imperial Sugar Company","Louis Dreyfus","$6,050,000","$0","$6,050,000","2010","20100707","safety-related offenses","workplace safety or health violation","","corporate-wide settlement agreement","federal","agency action","Occupational Safety & Health Administration corporate-wide settlements","civil","","","","","","","","","","","","France","","privately held","","financial services","commodities brokerage","https://www.osha.gov/pls/oshaweb/owadisp.show_document?p_table=CWSA&p_id=2131",""
"Louis Dreyfus Company LLC","Louis Dreyfus","$6,000","$0","$6,000","2016","20160930","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","France","","privately held","","financial services","commodities brokerage","https://www.fra.dot.gov/Elib/Document/16831","Year is fiscal year."
"Louis Dreyfus Commodities Grand Junction LLC","Louis Dreyfus","$14,000","$0","$14,000","2017","20170310","financial offenses","tax violations","excise tax violation","","federal","agency action","Alcohol and Tobacco Tax and Trade Bureau","civil","","","","","","Iowa","Grand Junction","","","","","France","","privately held","","financial services","commodities brokerage","https://www.ttb.gov/images/pdfs/fo-compromise/2017/oic-louis-dreyfus_redacted.pdf",""
"Louis Dreyfus Energy Service","Louis Dreyfus","$7,406,257","$0","$7,406,257","2014","20140207","competition-related offenses","energy market violation","","","federal","agency action","Federal Energy Regulatory Commission","civil","","","","","","","","","","","","France","","privately held","","financial services","commodities brokerage","https://www.ferc.gov/enforcement/civil-penalties/actions/2014.asp",""
"Louis Dreyfus Energy Services","Louis Dreyfus","$4,084,000","$0","$4,084,000","2012","20120703","government-contracting-related offenses","False Claims Act and related","","Louis Dreyfus Energy Services paid the United States $4,084,000 to settle allegations that it violated the False Claims Act by failing to pay money owed on natural gas acquired from the Department of the Interior.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","France","","privately held","","financial services","commodities brokerage","https://www.justice.gov/opa/pr/louis-dreyfus-energy-services-pays-4-million-resolve-allegations-it-violated-false-claims-act",""
"IMPERIAL SUGAR CO.","Louis Dreyfus","$7,200","$0","$7,200","2010","20100707","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Louisiana","GRAMERCY","1230 5TH AVE.","70052","311312","311312: Cane Sugar Refining","France","","privately held","","financial services","commodities brokerage","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"IMPERIAL SUGAR COMPANY; IMPERIAL-SAVANNAH, L.P.: I","Louis Dreyfus","$2,000,000","$0","$2,000,000","2008","20080314","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Louisiana","GRAMERCY","1230 5TH AVENUE","70052","311312","311312: Cane Sugar Refining","France","","privately held","","financial services","commodities brokerage","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"IMPERIAL SUGAR COMPANY; IMPERIAL-SAVANNAH, L.P.","Louis Dreyfus","$4,050,000","$0","$4,050,000","2008","20080210","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","PORT WENTWORTH","201 OXNARD DRIVE","31407","311312","311312: Cane Sugar Refining","France","","privately held","","financial services","commodities brokerage","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LOUIS DREYFUS CITRUS INC.","Louis Dreyfus","$9,800","$0","$9,800","2006","20061115","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","INDIANTOWN","19100 S.W. WARFIELD BLVD.","34956","311712","311712: Fresh and Frozen Seafood Processing","France","","privately held","","financial services","commodities brokerage","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Louis Dreyfus Company LLC","Louis Dreyfus","$8,250","$0","$8,250","2017","20170428","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","ZLDR 2016-2(HMT)","","","","","","","","","France","","privately held","","financial services","commodities brokerage","https://www.fra.dot.gov/Elib/Document/17839",""
