"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Love's Travel Stops and Country Stores, Inc.","Love's Travel Stops & Country Stores","$70,000","$0","$70,000","2010","20100803","employment-related offenses","employment discrimination","","sexual harassment","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Arizona","","","","","","USA","Oklahoma","privately held","","retailing","retail-convenience stores","https://www.eeoc.gov/eeoc/newsroom/release/8-3-10a.cfm","Description field shows type of discrimination that EEOC had alleged."
"Love's Travel Stops & Country Stores, Inc.","Love's Travel Stops & Country Stores","$2,950,000","$0","$2,950,000","2021","20210224","employment-related offenses","wage and hour violation","","","federal","private litigation","","civil","","Middle District of Pennsylvania","1:17cv1266","Lawson et al v. Love's Travel Stops & Country Stores, Inc.","settlement","Pennsylvania","","","","","","USA","Oklahoma","privately held","","retailing","retail-convenience stores","https://www.law360.com/articles/1334886/convenience-store-chain-agrees-to-pay-3m-in-flsa-suit",""
"LOVES TRAVEL STOPS & COUNTRY STORES INC","Love's Travel Stops & Country Stores","$9,650","$0","$9,650","2014","20141231","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Oklahoma","privately held","","retailing","retail-convenience stores","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"Loves Travel Stops & Country Stores, Inc.","Love's Travel Stops & Country Stores","$16,769","$0","$16,769","2016","20160921","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1793206","","","Oklahoma","Oklahoma City","10601 N. Pennsylvania","73120","447110","447110: Gasoline Stations with Convenience Stores","USA","Oklahoma","privately held","","retailing","retail-convenience stores","February 7, 2020 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Love's Travel Stops & Country Stores, Inc.","Love's Travel Stops & Country Stores","$11,700","$0","$11,700","2015","20150304","environment-related offenses","environmental violation","","Land Disturbance","state","agency action","Alabama Department of Environmental Management","civil","","","15-042-CLD","","","Alabama","","","","","","USA","Oklahoma","privately held","","retailing","retail-convenience stores","http://adem.alabama.gov/compInfo/2015orders.pdf",""
"LOVE'S TRAVEL STOPS & COUNTRY STORES INC","Love's Travel Stops & Country Stores","$13,612","$0","$13,612","2020","20201119","environment-related offenses","environmental violation","","wastewater violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","Knightstown","","","","","USA","Oklahoma","privately held","","retailing","retail-convenience stores","http://www.in.gov/idem/oe/cause/AO/27084-W.htm",""
"LOVES TRAVEL STOP #618","Love's Travel Stops & Country Stores","$6,000","$0","$6,000","2017","20170607","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DOW -170008","","","Kentucky","","","","","","USA","Oklahoma","privately held","","retailing","retail-convenience stores","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"Love's Travel Stop No. 429","Love's Travel Stops & Country Stores","$31,200","$0","$31,200","2020","20200916","environment-related offenses","environmental violation","","underground storage tank violation","state","agency action","Tennessee Department of Environment & Conservation","civil","","","UST19-0066","","","Tennessee","","","","","","USA","Oklahoma","privately held","","retailing","retail-convenience stores","Contained in data received from the agency on January 25, 2021 in response to an open records request. The data was a spreadsheet compilation of information in the search engine at http://tdec.tn.gov:8080/pls/enf_reports/f?p=9001:710::::::",""
"Love's Travel Stops & Country Stores, Inc.","Love's Travel Stops & Country Stores","$32,804","$0","$32,804","2016","20160630","environment-related offenses","environmental violation","","","state","agency action","Virginia Department of Environmental Quality","civil","","","","","","Virginia","Toms Brook","","","","","USA","Oklahoma","privately held","","retailing","retail-convenience stores","https://www.deq.virginia.gov/permits-regulations/enforcement/final-orders",""
"LOVE'S TRAVEL STOPS & COUNTRY STORES","Love's Travel Stops & Country Stores","$7,000","$0","$7,000","2012","20120612","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","LAMAR","605 N. MAIN","81052","445120","445120: Convenience Stores","USA","Oklahoma","privately held","","retailing","retail-convenience stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LOVE'S TRAVEL STOPS & COUNTRY STORES, INC.","Love's Travel Stops & Country Stores","$11,705","$0","$11,705","2016","20160519","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","TUSCUMBIA","2048 HIGHWAY 20","35674","447110","447110: Gasoline Stations with Convenience Stores","USA","Oklahoma","privately held","","retailing","retail-convenience stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LOVE'S TRAVEL STOPS & COUNTRY STORES, INC.","Love's Travel Stops & Country Stores","$11,408","$0","$11,408","2017","20170210","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Oklahoma","ARDMORE","3201 12 AVE NW","73401","447190","447190: Other Gasoline Stations","USA","Oklahoma","privately held","","retailing","retail-convenience stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LOVE'S TRAVEL STOPS AND COUNTRY STORES, INC. #603","Love's Travel Stops & Country Stores","$5,000","$0","$5,000","2017","20171017","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","JACKSONVILLE","400 PECAN PARK RD.","32218","722211","722211: Limited-Service Restaurants","USA","Oklahoma","privately held","","retailing","retail-convenience stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LOVE'S TRAVEL STOPS & COUNTRY STORES","Love's Travel Stops & Country Stores","$12,934","$0","$12,934","2018","20180212","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","HAZEL CREST","I-80/ I-294 TOLLWAYMILEPOST 4.5","60429","441320","441320: Tire Dealers","USA","Oklahoma","privately held","","retailing","retail-convenience stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LOVES TRAVEL STOP","Love's Travel Stops & Country Stores","$7,125","$0","$7,125","2018","20180404","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Indiana","MOORESVILLE","2299 KOGER STREET  SUITE 1","46158","447110","447110: Gasoline Stations with Convenience Stores","USA","Oklahoma","privately held","","retailing","retail-convenience stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LOVE'S TRAVEL STOPS & COUNTRY STORES, INC. DBA LOVE'S TRAVEL STOPS","Love's Travel Stops & Country Stores","$16,575","$0","$16,575","2019","20190306","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","SOUTH HOLLAND","1533 E. 162ND STREET","60473","447190","447190: Other Gasoline Stations","USA","Oklahoma","privately held","","retailing","retail-convenience stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
