"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"BIZJET INTERNATIONAL SALES AND SUPPORT INC","Lufthansa","$72,000","$0","$72,000","2011","20110728","safety-related offenses","aviation safety violation","","DRUG TESTING ","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"BizJet International Sales and Support Inc.","Lufthansa","$118,000,000","$0","$118,000,000","2012","20120314","competition-related offenses","Foreign Corrupt Practices Act","","BizJet International Sales and Support Inc., a provider of aircraft maintenance, repair and overhaul services based in Tulsa, Okla., agreed to pay an $11.8 million criminal penalty to resolve charges related to the Foreign Corrupt Practices Act .","federal","agency action","Justice Department Criminal Division","criminal","deferred prosecution agreement","","","","","","","","","","","Germany","","publicly traded","","airlines","airlines","https://www.justice.gov/opa/pr/bizjet-international-sales-and-support-inc-resolves-foreign-corrupt-practices-act",""
"HAWKER PACIFIC AEROSPACE","Lufthansa","$16,000","$0","$16,000","2011","20111202","safety-related offenses","aviation safety violation","","DRUG TESTING ","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"Deutsche Lufthansa AG","Lufthansa","$50,000","$0","$50,000","2011","20110617","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","Germany","","publicly traded","","airlines","airlines","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2011-06-18.pdf",""
"DEUTSCHE LUFTHANSA AG","Lufthansa","$40,000","$0","$40,000","2001","20011113","safety-related offenses","aviation safety violation","","HAZ MAT ","federal","agency action","Federal Aviation Administration","civil","","","2000SO710199 ","","","","","","","","","Germany","","publicly traded","","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"DEUTSCHE LUFTHANSA AG","Lufthansa","$36,000","$0","$36,000","2015","20151218","safety-related offenses","aviation safety violation","","HAZ MAT","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"DEUTSCHE LUFTHANSA AG","Lufthansa","$33,000","$0","$33,000","2010","20100709","safety-related offenses","aviation safety violation","","HAZ MAT ","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"DEUTSCHE LUFTHANSA AG","Lufthansa","$17,500","$0","$17,500","2007","20070613","safety-related offenses","aviation safety violation","","HAZ MAT ","federal","agency action","Federal Aviation Administration","civil","","","2004SO702551 ","","","","","","","","","Germany","","publicly traded","","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"DEUTSCHE LUFTHANSA AG","Lufthansa","$17,500","$0","$17,500","2006","20060726","safety-related offenses","aviation safety violation","","HAZ MAT ","federal","agency action","Federal Aviation Administration","civil","","","2004SO702551 ","","","","","","","","","Germany","","publicly traded","","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"DEUTSCHE LUFTHANSA AG","Lufthansa","$12,000","$0","$12,000","2006","20060210","safety-related offenses","aviation safety violation","","HAZ MAT ","federal","agency action","Federal Aviation Administration","civil","","","2005EA700577 ","","","","","","","","","Germany","","publicly traded","","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
