"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Moet Hennessy USA, Inc.","LVMH","$275,000","$0","$275,000","2011","20110502","financial offenses","tax violations","excise tax violation","offer in compromise","federal","agency action","Alcohol and Tobacco Tax and Trade Bureau","civil","","","","","","","","","","","","France","","publicly traded","","apparel","luxury goods","https://www.ttb.gov/images/pdfs/fo-compromise/2011/oic_moet-hennessy-usa.pdf",""
"Tiffany and Company","LVMH","$262,500","$0","$262,500","2006","20060628","safety-related offenses","product safety violation","","Tiffany and Company, of New York, N.Y., agreed to pay a $262,500 civil penalty to settle allegations that the company failed to report a hazard with its infant teether rattles. ","federal","agency action","Consumer Product Safety Commission","civil","","","","","","","","","","","","France","","publicly traded","","apparel","luxury goods","https://www.cpsc.gov/Newsroom/News-Releases/2006/Tiffany-and-Company-Agrees-to-Pay-Civil-Penalty-for-Failure-to-Report-Hazardous-Infant-Teether-Rattles",""
"Moet Hennessey","LVMH","$1,950,000","$0","$1,950,000","2017","20171127","employment-related offenses","wage and hour violation","","misclassification","state","private litigation","","civil","","Superior Court of State of California, County of Alameda","RG16807555","Harrison VS Strategic Experiential Group et al.","settlement","California","","","","","","France","","publicly traded","","apparel","luxury goods","https://www.law360.com/articles/984955/moet-s-joint-1-95m-wage-deal-with-models-gets-initial-ok",""
"Sephora USA","LVMH","$4,000,000","$0","$4,000,000","2013","20130830","employment-related offenses","wage and hour violation","","overtime violation","state","private litigation","","civil","","Superior Court of State of California, County of San Francisco","CGC-10-497025","Carneish Bunton, et al vs. Sephora USA, Inc. et al","settlement","California","","","","","","France","","publicly traded","","apparel","luxury goods","https://www.law360.com/articles/444120/sephora-to-pay-4m-to-settle-worker-compensation-suit",""
"Louis Vuitton","LVMH","$1,500,000","$0","$1,500,000","2011","20111101","employment-related offenses","wage and hour violation","","overtime violation","state","private litigation","","civil","","Superior Court of State of California, County of Los Angeles","BC444011","ROBERT JAROS vs. LOUIS VUITTON NORTH AMERICA INC","settlement","California","","","","","","France","","publicly traded","","apparel","luxury goods","https://www.law360.com/articles/258690/louis-vuitton-managers-bag-1-5m-payout-in-ot-action",""
"SEPHORA USA","LVMH","$40,000","$0","$40,000","2015","20150616","safety-related offenses","aviation safety violation","","hazardous materials shipping","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","France","","publicly traded","","apparel","luxury goods","Contained in data obtained on May 23, 2018 in response to a Freedom of Information Act request. ",""
"Sephora USA, Inc.","LVMH","$750,000","$0","$750,000","2018","20180516","employment-related offenses","employment screening violation","Fair Credit Reporting Act violation","","federal","private litigation","","civil","","Northern District of California","4:16-cv-2843","Burnthorne-Martinez v. Sephora USA, Inc.","settlement","","","","","","","France","","publicly traded","","apparel","luxury goods","https://www.leagle.com/decision/infdco20170621c78",""
"Moet Hennessey USA, Inc.","LVMH","$153,333","$0","$153,333","2006","20061030","competition-related offenses","price-fixing or anti-competitive practices","","The New York Attorney General announced that 15 large wine and liquor suppliers would pay a total of $2.3 million in fines and costs to resolve allegations that they engaged in illegal marketing practices that harmed smaller retailers, bars and restaurants. The announcement did not specify how the amount would be divided among the companies. Here we assume it was split evenly among them.","state","agency action","New York Attorney General","civil","","","","","","New York","","","","","","France","","publicly traded","","apparel","luxury goods","https://web.archive.org/web/20101111165325/http://www.ag.ny.gov/media_center/2006/oct/oct30a_06.html",""
"Sephora USA Inc.","LVMH","$159,349","$0","$159,349","2019","20190508","financial offenses","tax violations","","Sephora USA Inc. agreed to pay $159,349 in settlement of allegations it made false claims in connection with its failure to collect taxes on shipping and handling for internet sales to Indiana consumers.","state","agency action","Indiana Attorney General","civil","","","","","","Indiana","","","","","","France","","publicly traded","","apparel","luxury goods","https://calendar.in.gov/site/oag/event/ag-curtis-hill-announces-fraud-settlement-with-sephora-usa-inc/",""
"LOUIS VUITTON U.S. MANUFACTURINIG INC","LVMH","$6,870","$0","$6,870","2016","20160415","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","SAN DIMAS","321 W COVINA BLVD","91773","316998","316998: All Other Leather Good and Allied Product Manufacturing","France","","publicly traded","","apparel","luxury goods","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
