"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"MacAndrews & Forbes","MacAndrews & Forbes","$720,000","$0","$720,000","2013","20130620","financial offenses","investor protection violation","premerger notification violation","The investment firm of MacAndrews & Forbes has agreed to settle Federal Trade Commission charges that it violated the agency's premerger filing requirements, and will pay a $720,000 civil penalty.","federal","agency action","Federal Trade Commission","civil","","","","","","","","","","","","USA","New York","privately held","","diversified","diversified","https://www.ftc.gov/news-events/press-releases/2013/06/investment-firm-macandrews-forbes-pay-720000-penalty-resolve-ftc",""
"MacAndrews & Forbes Holdings Inc","MacAndrews & Forbes","$720,000","$0","$720,000","2013","20130620","financial offenses","investor protection violation","premerger notification violation","MacAndrews & Forbes Holdings Inc. agreed to pay a $720,000 civil penalty to settle charges that the company violated premerger reporting and waiting requirements when it acquired voting securities of Scientific Games Corporation.","federal","agency action","Justice Department Antitrust Division","civil","","","","","","","","","","","","USA","New York","privately held","","diversified","diversified","https://www.justice.gov/opa/pr/macandrews-forbes-holdings-inc-pay-720000-civil-penalty-violating-antitrust-premerger",""
"Revlon","MacAndrews & Forbes","$850,000","$0","$850,000","2013","20130613","financial offenses","investor protection violation","","Cosmetics and beauty care manufacturer Revlon agreed to pay $850,000 to settle allegations of violating federal securities laws by misleading shareholders during a going private transaction.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","New York","privately held","","diversified","diversified","https://www.sec.gov/News/PressRelease/Detail/PressRelease/1365171574852",""
"Revlon Consumer Products, Inc.","MacAndrews & Forbes","$123,412","$0","$123,412","2005","20051116","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1416503","","","North Carolina","Oxford","","27565","315999","315999: Other Apparel Accessories and Other Apparel Manufacturing","USA","New York","privately held","","diversified","diversified","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"HARLAND CLARKE HOLDINGS COR","MacAndrews & Forbes","$44,000","$0","$44,000","2016","20160217","safety-related offenses","aviation safety violation","","hazardous materials shipping","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","USA","New York","privately held","","diversified","diversified","Contained in data obtained on May 23, 2018 in response to a Freedom of Information Act request. ",""
"Revlon Consumer Products Corp.","MacAndrews & Forbes","$32,475","$0","$32,475","2010","20100429","environment-related offenses","environmental violation","","waste management violation","state","agency action","North Carolina Department of Environmental Quality","civil","","","","","","North Carolina","Oxford","","","","","USA","New York","privately held","","diversified","diversified","https://files.nc.gov/ncdeq/Waste%20Management/DWM/HW/Programs%20Branch/penalties/2010%203_3_11.pdf",""
"Revlon Consumer Products","MacAndrews & Forbes","$32,475","$0","$32,475","2007","20070605","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","North Carolina Department of Environmental Quality","civil","","","","","","North Carolina","","","","","","USA","New York","privately held","","diversified","diversified","Contained in data received from the agency on October 20, 2020 in response to an open records request.",""
"AM GENERAL","MacAndrews & Forbes","$26,400","$0","$26,400","2010","20101005","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Indiana","MISHAWAKA","13200 MCKINLEY HWY","46545","336992","336992: Military Armored Vehicle, Tank, and Tank Component Manufacturing","USA","New York","privately held","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HARLAND CLARKE CORP.","MacAndrews & Forbes","$6,600","$0","$6,600","2013","20130905","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","SAN ANTONIO","5003 STOUT DR","78219","322233","322233: Stationery, Tablet, and Related Product Manufacturing","USA","New York","privately held","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MAFCO WORLDWIDE CORPORATION","MacAndrews & Forbes","$6,750","$0","$6,750","2014","20140219","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","CAMDEN","300 JEFFERSON ST.","08104","311930","311930: Flavoring Syrup and Concentrate Manufacturing","USA","New York","privately held","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MAFCO WORLDWIDE CORPORATION","MacAndrews & Forbes","$14,668","$0","$14,668","2016","20161219","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","CAMDEN","300 JEFFERSON ST.","08104","311930","311930: Flavoring Syrup and Concentrate Manufacturing","USA","New York","privately held","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HARLAND CLARKE CORP","MacAndrews & Forbes","$7,000","$0","$7,000","2019","20190220","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","LOUISVILLE","1910 CAMPUS PLACE","40299","323118","323118: Blankbook, Looseleaf Binders, and Devices Manufacturing","USA","New York","privately held","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
