"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Federated Department Stores, Inc.","Macy's","$850,000","$0","$850,000","2001","20010512","safety-related offenses","product safety violation","","Federated Department Stores, Inc. agreed to pay an $850,000 civil penalty to settle CPSC charges that it knowingly sold flammable garments as children's sleepwear. ","federal","agency action","Consumer Product Safety Commission","civil","","","","","","","","","","","","USA","Ohio","publicly traded","M","retailing","retail-department stores","https://www.cpsc.gov/Newsroom/News-Releases/2001/httpwwwcpscgovCPSCPUBPRERELprhtml0101123html",""
"Federated Retail Holdings, Inc","Macy's","$40,140","$0","$40,140","2005","20050808","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1454777","","","Texas","Houston","","77002","452111","452111: Department Stores (except Discount Department Stores)","USA","Ohio","publicly traded","M","retailing","retail-department stores","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Macy's","Macy's","$10,753","$0","$10,753","2008","20080428","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","20-CA-33238-001","","","California","San Francisco","","94102","452111","452111: Department Stores (except Discount Department Stores)","USA","Ohio","publicly traded","M","retailing","retail-department stores","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Macy's","Macy's","$10,276","$0","$10,276","2010","20100420","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","19-CA-31972-001","","","Washington","Lynnwood","","98037","452111","452111: Department Stores (except Discount Department Stores)","USA","Ohio","publicly traded","M","retailing","retail-department stores","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Macy's","Macy's","$8,700","$0","$8,700","2016","20160622","employment-related offenses","employment discrimination","","The Justice Department reached an agreement with Macy's over allegations that the large national retailer violated the Immigration and Nationality Act by discriminating against work-authorized non-U.S. citizens at its Glendale, California, location.","federal","agency action","Justice Department Civil Rights Division","civil","","","","","","California","Glendale","","","","","USA","Ohio","publicly traded","M","retailing","retail-department stores","https://www.justice.gov/opa/pr/justice-department-settles-immigration-related-discrimination-claim-against-macy-s",""
"Macy's Inc.","Macy's","$750,000","$0","$750,000","2011","20110711","safety-related offenses","product safety violation","","sale of children's sweatshirts and jackets","federal","agency action","Consumer Product Safety Commission","civil","","","","","","","","","","","","USA","Ohio","publicly traded","M","retailing","retail-department stores","http://www.cpsc.gov/en/Newsroom/News-Releases/2011/Macys-Agrees-to-Pay-750000-Civil-Penalty-for-Failing-to-Report-Drawstrings-in-Childrens-Outerwear1/",""
"Macy's Inc.","Macy's","$250,000","$0","$250,000","2013","20130103","consumer-protection-related offenses","consumer protection violation","","Amazon.com, Inc.; Leon Max, Inc.; Macy's, Inc.; and Sears, Roebuck and Co. and its Kmart subsidiaries, Kmart Corporation and Kmart.com, agreed to pay penalties totaling $1.26 million to settle Federal Trade Commission charges that they violated the Textile Products Identification Act (Textile Act) and the FTC's Textile Rules by labeling and advertising products sold in stores and online as made of bamboo, while they actually were made of rayon. ","federal","agency action","Federal Trade Commission","civil","","","","","","","","","","","","USA","Ohio","publicly traded","M","retailing","retail-department stores","https://www.ftc.gov/news-events/press-releases/2013/01/four-national-retailers-agree-pay-penalties-totaling-126-million",""
"Macy's Department Stores, Inc.","Macy's","$6,502","$0","$6,502","2008","20080820","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1516354","","","California","San Francisco","","94103","44815","44815: Clothing Accessories Stores","USA","Ohio","publicly traded","M","retailing","retail-department stores","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Macy's East","Macy's","$5,540","$0","$5,540","2001","20010330","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","29-CA-23933-001","","","New York","New York","","10001","452111","452111: Department Stores (except Discount Department Stores)","USA","Ohio","publicly traded","M","retailing","retail-department stores","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Macy's East","Macy's","$7,500","$0","$7,500","2000","20000314","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","02-CA-32560-001","","","New York","NEW YORK","","10001","452111","452111: Department Stores (except Discount Department Stores)","USA","Ohio","publicly traded","M","retailing","retail-department stores","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
