"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Maersk Inc.","Maersk","$40,000","$0","$40,000","2003","20030703","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","Denmark","","publicly traded","","freight and logistics","ocean shipping","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/07032003.pdf",""
"Maersk Line","Maersk","$7,500","$0","$7,500","2015","20150122","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Denmark","","publicly traded","","freight and logistics","ocean shipping","https://www.fra.dot.gov/eLib/details/L17311#p1_z5_gD_lEA",""
"MAERSK LINE INC.","Maersk","$13,200","$0","$13,200","2013","20131226","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Denmark","","publicly traded","","freight and logistics","ocean shipping","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"Maersk Line Inc.","Maersk","$5,500","$0","$5,500","2006","20060915","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Denmark","","publicly traded","","freight and logistics","ocean shipping","Taken from the Federal Railroad Administration's FY2006 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Maersk Line Inc.","Maersk","$5,250","$0","$5,250","2003","20030102","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Denmark","","publicly traded","","freight and logistics","ocean shipping","Taken from the Federal Railroad Administration's FY2003 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Maersk Line Inc.","Maersk","$5,000","$0","$5,000","2003","20030102","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Denmark","","publicly traded","","freight and logistics","ocean shipping","Taken from the Federal Railroad Administration's FY2003 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Maersk Line Inc.","Maersk","$5,000","$0","$5,000","2003","20030102","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Denmark","","publicly traded","","freight and logistics","ocean shipping","Taken from the Federal Railroad Administration's FY2003 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Maersk Line, Ltd.","Maersk","$5,500","$0","$5,500","2004","20040402","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","Denmark","","publicly traded","","freight and logistics","ocean shipping","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/04022004.pdf",""
"Maersk Line Limited","Maersk","$31,900,000","$0","$31,900,000","2012","20120103","government-contracting-related offenses","False Claims Act and related","","Maersk Line Limited agreed to pay the government $31.9 million to resolve allegations that it submitted false claims to the United States in connection with contracts to transport cargo in shipping containers to support U.S. troops in Afghanistan and Iraq.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","Denmark","","publicly traded","","freight and logistics","ocean shipping","https://www.justice.gov/opa/pr/maersk-line-pay-us-319-million-resolve-false-claims-allegations-inflated-shipping-costs",""
"Maersk Pacific Ltd.","Maersk","$5,626","$0","$5,626","2003","20030117","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Denmark","","publicly traded","","freight and logistics","ocean shipping","Taken from the Federal Railroad Administration's FY2003 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"APM TERMINALS","Maersk","$5,000","$0","$5,000","2008","20080903","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","LA PORTE","919 EAST BARBOURS CUT BLVD.","77571","488320","488320: Marine Cargo Handling","Denmark","","publicly traded","","freight and logistics","ocean shipping","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MAERSK LINE, INC.","Maersk","$5,000","$0","$5,000","2017","20170801","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","ZMIP 2017-1(HMT)","","","","","","","","","Denmark","","publicly traded","","freight and logistics","ocean shipping","https://www.fra.dot.gov/Elib/Document/17839",""
"MAERSK LINE, INC.","Maersk","$10,000","$0","$10,000","2018","20180222","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","ZMIP 2018-1(HMT)","","","","","","","","","Denmark","","publicly traded","","freight and logistics","ocean shipping","https://www.fra.dot.gov/eLib/Find#p1_z5_lEA",""
"MAERSK LINE, INC.","Maersk","$10,000","$0","$10,000","2018","20180906","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","ZMIP 2018-2(HMT)","","","","","","","","","Denmark","","publicly traded","","freight and logistics","ocean shipping","https://www.fra.dot.gov/eLib/Find#p1_z5_lEA",""
"APM Terminals Pacific, Ltd.","Maersk","$250,000","$0","$250,000","2011","20110815","environment-related offenses","environmental violation","","The California Attorney General reached a $1.62 million settlement with owners of cargo terminals at the ports of Long Beach and Los Angeles that required them to pay penalties and help pay for projects designed to reduce their diesel emissions.","state","agency action","California Attorney General","civil","","","","","","California","","","","","","Denmark","","publicly traded","","freight and logistics","ocean shipping","https://www.oag.ca.gov/news/press-releases/attorney-general-kamala-d-harris-announces-settlement-over-diesel-engine-exhaust",""
"Maersk Line, Limited","Maersk","$3,088,400","$0","$3,088,400","2010","20100728","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","Denmark","","publicly traded","","freight and logistics","ocean shipping","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/07292010.pdf",""
"Maersk Line, Limited","Maersk","$8,700,000","$0","$8,700,000","2014","20141105","government-contracting-related offenses","False Claims Act and related","","","federal","agency action","U.S. Attorney-Southern District of Illinois","civil","","","","","","","","","","","","Denmark","","publicly traded","","freight and logistics","ocean shipping","https://www.justice.gov/usao-sdil/pr/united-states-attorney-wigginton-announces-multi-million-dollar-fraud-recovery-behalf",""
"APM Terminals Pacific LLC","Maersk","$18,375","$0","$18,375","2020","20200301","environment-related offenses","environmental violation","","air pollution violation","state","agency action","California Air Resources Board","civil","","","","","","California","","","","","","Denmark","","publicly traded","","freight and logistics","ocean shipping","https://ww2.arb.ca.gov/apm-terminals-pacific-llc-settlement",""
"Maersk Line/ Maersk Deutschland A/S & Co. KG","Maersk","$10,000","$0","$10,000","2017","20170601","environment-related offenses","environmental violation","","air pollution violation","state","agency action","California Air Resources Board","civil","","","","","","California","","","","","","Denmark","","publicly traded","","freight and logistics","ocean shipping","https://ww2.arb.ca.gov/maersk-linemaersk-deutschland-co-kg-case-settlement",""
"Maersk Agency U.S.A., Inc. /Maersk Line A/S","Maersk","$7,500","$0","$7,500","2016","20161001","environment-related offenses","environmental violation","","air pollution violation","state","agency action","California Air Resources Board","civil","","","","","","California","","","","","","Denmark","","publicly traded","","freight and logistics","ocean shipping","https://ww2.arb.ca.gov/maersk-agency-usa-inc-maersk-line-case-settlement",""
"APM TERMINALS ELIZABETH LLC","Maersk","$60,547","$0","$60,547","2019","20191015","environment-related offenses","environmental violation","","water quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","261699-NEA190001","","","New Jersey","","","","","","Denmark","","publicly traded","","freight and logistics","ocean shipping","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"APM TERMINALS ELIZABETH LLC","Maersk","$65,000","$0","$65,000","2017","20170217","environment-related offenses","environmental violation","","water quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","261699-NEA160001","","","New Jersey","","","","","","Denmark","","publicly traded","","freight and logistics","ocean shipping","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"APM TERMINALS ELIZABETH LLC","Maersk","$191,520","$0","$191,520","2007","20070912","environment-related offenses","environmental violation","","air quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","41079-NEA060001","","","New Jersey","","","","","","Denmark","","publicly traded","","freight and logistics","ocean shipping","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"Maersk Pacific Ltd.","Maersk","$5,000","$0","$5,000","2002","20020418","environment-related offenses","environmental violation","","air pollution","local","agency action","South Coast (CA) Air Quality Management District ","civil","","","","","","California","","","","","","Denmark","","publicly traded","","freight and logistics","ocean shipping","http://www3.aqmd.gov/hb/2002/July/020719a.html",""
"APM TERMINALS","Maersk","$12,000","$0","$12,000","2015","20150810","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","ELIZABETH","5080 MCLESTER STREET","07207","488320","488320: Marine Cargo Handling","Denmark","","publicly traded","","freight and logistics","ocean shipping","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"APM TERMINALS MOBILE, LLC","Maersk","$6,521","$0","$6,521","2019","20190813","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","MOBILE","901 EZRA TRICE BLVD","36603","488320","488320: Marine Cargo Handling","Denmark","","publicly traded","","freight and logistics","ocean shipping","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
