"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Magellan Ammonia Pipeline","Magellan Midstream Partners","$3,650,000","$0","$3,650,000","2009","20090814","environment-related offenses","environmental violation","","A pipeline company and two of its former operating firms agreed to jointly pay a civil penalty of $3.65 million to resolve violations of the Clean Water Act resulting from anhydrous ammonia spills in Nebraska and Kansas. The spills, which occurred in 2004, resulted in significant fish kills in surrounding waterways.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","MMP","oil and gas","oil & gas","https://www.justice.gov/opa/pr/pipeline-firms-pay-365-million-settle-claims-related-2004-ammonia-spills-nebraska-and-kansas",""
"Magellan Midstream Partners","Magellan Midstream Partners","$5,300,000","$0","$5,300,000","2008","20080616","environment-related offenses","environmental violation","","Magellan Midstream Partners agreed to pay a $5.3 million civil penalty for alleged violations of the Clean Water Act, including discharges of gasoline and fuel oil from pipelines in Illinois, Kansas, Iowa, Minnesota and Arkansas into nearby waterways over the past 10 years.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","MMP","oil and gas","oil & gas","https://www.justice.gov/archive/opa/pr/2008/June/08-enrd-541.html",""
"Magellan Midstream Partners, LP.","Magellan Midstream Partners","$24,525","$0","$24,525","2012","20120712","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","MMP","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
"Magellan Midstream Partners, LP.","Magellan Midstream Partners","$10,000","$0","$10,000","2011","20110628","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","MMP","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"Magellan Midstream Partners, LP.","Magellan Midstream Partners","$7,500","$0","$7,500","2009","20091118","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","MMP","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L01493#p1_z5_gD_lEA",""
"Magellan Midstream Partners, LP.","Magellan Midstream Partners","$7,500","$0","$7,500","2009","20091118","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","MMP","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L01493#p1_z5_gD_lEA",""
"MAGELLAN PIPELINE COMPANY L.P.","Magellan Midstream Partners","$10,000","$0","$10,000","2008","20080822","safety-related offenses","motor vehicle safety violation","","MN-2008-0190-US0586","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Oklahoma","TULSA","","","","","USA","Oklahoma","publicly traded","MMP","oil and gas","oil & gas","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2008-pdf","Year is fiscal year. Date is closing date."
"MAGELLAN PIPELINE COMPANY LP","Magellan Midstream Partners","$147,500","$0","$147,500","2009","20090709","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","MMP","oil and gas","oil & gas","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_420065020.html?nocache=6405",""
"MAGELLAN PIPELINE COMPANY LP","Magellan Midstream Partners","$149,800","$0","$149,800","2012","20120323","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","MMP","oil and gas","oil & gas","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_420125010.html?nocache=3513",""
"MAGELLAN PIPELINE COMPANY LP","Magellan Midstream Partners","$147,500","$0","$147,500","2009","20091223","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","MMP","oil and gas","oil & gas","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_420065020.html?nocache=4439",""
"MAGELLAN PIPELINE COMPANY LP","Magellan Midstream Partners","$120,500","$0","$120,500","2006","20060906","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","MMP","oil and gas","oil & gas","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_420055016.html?nocache=274",""
"MAGELLAN PIPELINE COMPANY LP","Magellan Midstream Partners","$99,000","$0","$99,000","2013","20130405","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","MMP","oil and gas","oil & gas","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_320135013.html?nocache=4991",""
"MAGELLAN PIPELINE COMPANY LP","Magellan Midstream Partners","$66,000","$0","$66,000","2009","20091228","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","MMP","oil and gas","oil & gas","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_420075050.html?nocache=6201",""
"MAGELLAN PIPELINE COMPANY LP","Magellan Midstream Partners","$32,000","$0","$32,000","2005","20051014","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","MMP","oil and gas","oil & gas","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_320045006.html?nocache=8517",""
