"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Mahard Egg Farm Inc.","Mahard Egg Farm","$5,400,000","$0","$5,400,000","2011","20110518","environment-related offenses","environmental violation","","Mahard Egg Farm Inc., a Texas corporation operating in both Texas and Oklahoma, has agreed to pay a $1.9 million penalty to resolve claims that the company failed to comply with the Clean Water Act at its egg production facilities, announced the Department of Justice and the Environmental Protection Agency (EPA). The civil penalty is the largest ever to be paid in a federal enforcement action involving a concentrated animal feeding operation (CAFO), and is in addition to approximately $3.5 million that Mahard will spend on remedial measures to bring the company into compliance with the law and protect the environment and people's health.","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","","","","","","","USA","Texas","privately held","","food products","food products","http://www.justice.gov/opa/pr/texas-egg-producer-will-pay-19-million-penalty-resolve-clean-water-act-violations",""
"Mahard Egg Farm Inc.","Mahard Egg Farm","$99,711","$0","$99,711","2010","20101231","employment-related offenses","wage and hour violation","Fair Labor Standards Act","Migrant and Seasonal Agricultural Worker Protection Act penalties included","federal","agency action","Labor Department Wage and Hour Division","civil","","","1576340","","","Oklahoma","Sulphur","","73086","112310","112310: Chicken Egg Production","USA","Texas","privately held","","food products","food products","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Mahard Feed Mill, Inc.","Mahard Egg Farm","$10,224","$0","$10,224","2012","20120418","safety-related offenses","motor vehicle safety violation","","","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Texas","PROSPER","","","","","USA","Texas","privately held","","food products","food products","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2012-pdf",""
"Mahard Egg Farm Inc.","Mahard Egg Farm","$1,900,000","$1,900,000","$0","2011","20110518","environment-related offenses","environmental violation","","Mahard Egg Farm agreed to pay $1.9 million to Oklahoma, Texas and the federal government to resolve Clean Water Act violations. This was part of a larger $5.4 million settlement announced by the U.S. Justice Department; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/-mahard-egg-farm-inc","state","agency action","Multistate Attorneys General Case","civil","","","","","","","","","","","","USA","Texas","privately held","","food products","food products","https://www.justice.gov/opa/pr/texas-egg-producer-will-pay-19-million-penalty-resolve-clean-water-act-violations",""
"MAHARD EGG FARM INC.","Mahard Egg Farm","$14,400","$0","$14,400","2014","20140822","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","PROSPER","509 W FIRST STREET","75078","112310","112310: Chicken Egg Production","USA","Texas","privately held","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MAHARD EGG FARM INC.","Mahard Egg Farm","$18,200","$0","$18,200","2016","20160324","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","PROSPER","509 W FIRST STREET","75078","112310","112310: Chicken Egg Production","USA","Texas","privately held","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MAHARD EGG FARM","Mahard Egg Farm","$14,777","$0","$14,777","2019","20190422","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","CHILLICOTHE","20180 COUNTY RD. 87","79225","112310","112310: Chicken Egg Production","USA","Texas","privately held","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Mahard Egg Farms, Inc.","Mahard Egg Farm","$12,672","$0","$12,672","2005","20050216","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","06-2005-1718","","","Oklahoma","MILBURN","ROUTE 1,  BOX 25A","73450","","","USA","Texas","privately held","","food products","food products","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Mahard Egg Farms, Inc.","Mahard Egg Farm","$11,000","$0","$11,000","2006","20060919","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","06-2006-1802","","","Oklahoma","MILBURN","ROUTE 1,  BOX 25A","73450","","","USA","Texas","privately held","","food products","food products","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Mahard Egg Farm","Mahard Egg Farm","$2,033,001","$2,033,001","$0","2011","20110811","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","06-2007-2003","","","","","","","","","USA","Texas","privately held","","food products","food products","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads","Note: This penalty is a duplicate of an amount shown in another record (either because it applies to a multi-location settlement or because Violation Tracker contains an agency record and a settlement announcement for the same case)."
