"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Behr America Inc.","Mahle","$15,050","$0","$15,050","2010","20100415","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","09-CA-45326-001","","","Ohio","Dayton","","45404","336391","336391: Motor Vehicle Air-Conditioning Manufacturing","Germany","","privately held","","automotive parts","automotive parts","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"MAHLE ENGINE COMPONENTS USA, INC.","Mahle","$18,600","$0","$18,600","2009","20090403","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","MCCONNELSVILLE","5130 N. STATE ROUTE 60, NW","43756","336312","336312: Gasoline Engine and Engine Parts Manufacturing","Germany","","privately held","","automotive parts","automotive parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MAHLE ENGINE COMPONENTS USA, INC.","Mahle","$12,000","$0","$12,000","2009","20090108","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Missouri","MANCHESTER","14161 MANCHESTER ROAD","63011","336311","336311: Carburetor, Piston, Piston Ring, and Valve Manufacturing","Germany","","privately held","","automotive parts","automotive parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MAHLE CYLINDER DIVISION","Mahle","$6,000","$0","$6,000","2009","20090217","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","TRUMBULL","20 NUTMEG DR.","06611","333618","333618: Other Engine Equipment Manufacturing","Germany","","privately held","","automotive parts","automotive parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BEHR DAYTON THERMAL PRODUCTS LLC","Mahle","$10,000","$0","$10,000","2008","20080222","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","DAYTON","1600 WEBSTER ST.","45404","336391","336391: Motor Vehicle Air-Conditioning Manufacturing","Germany","","privately held","","automotive parts","automotive parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GLACIER VANDERVELL, INC.","Mahle","$26,000","$0","$26,000","2006","20060126","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","CALDWELL","17226 COUNTY ROAD 57","43724","336399","336399: All Other Motor Vehicle Parts Manufacturing","Germany","","privately held","","automotive parts","automotive parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BEHR DAYTON THERMAL PRODUCTS LLC","Mahle","$10,000","$0","$10,000","2004","20040916","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","DAYTON","1600 WEBSTER ST.","45404","336391","336391: Motor Vehicle Air-Conditioning Manufacturing","Germany","","privately held","","automotive parts","automotive parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BEHR DAYTON THERMAL PRODUCTS LLC","Mahle","$10,000","$0","$10,000","2004","20040916","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","DAYTON","1600 WEBSTER ST.","45404","336391","336391: Motor Vehicle Air-Conditioning Manufacturing","Germany","","privately held","","automotive parts","automotive parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BEHR INDUSTRIES CORP","Mahle","$13,500","$0","$13,500","2001","20010220","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","COMSTOCK PARK","1020 7 MILE RD","49321","000000","","Germany","","privately held","","automotive parts","automotive parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MAHLE Engine Components USA, Inc.","Mahle","$5,000","$0","$5,000","2016","20160101","environment-related offenses","environmental violation","","wastewater violation","state","agency action","Iowa Department of Natural Resources","civil","","","","","","Iowa","Atlantic","","","","","Germany","","privately held","","automotive parts","automotive parts","Contained in a spreadsheet obtained from the agency on October 8, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://www.iowadnr.gov/About-DNR/About-DNR/Enforcement-Actions",""
