"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Mallinckrodt","Mallinckrodt","$10,000","$0","$10,000","2007","20070720","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Ireland","","publicly traded","MNK","pharmaceuticals","pharmaceuticals","Taken from the Federal Railroad Administration's FY2007 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Mallinckrodt LLC","Mallinckrodt","$35,000,000","$0","$35,000,000","2017","20170711","healthcare-related offenses","Controlled Substances Act violation","","Mallinckrodt LLC, a pharmaceutical manufacturer and one of the largest manufacturers of generic oxycodone, agreed to pay $35 million to settle allegations that it violated certain provisions of the Controlled Substances Act that are subject to civil penalties.","federal","agency action","Drug Enforcement Administration","civil","","","","","","","","","","","","Ireland","","publicly traded","MNK","pharmaceuticals","pharmaceuticals","https://www.justice.gov/opa/pr/mallinckrodt-agrees-pay-record-35-million-settlement-failure-report-suspicious-orders",""
"Mallinckrodt, Inc.","Mallinckrodt","$125,000","$0","$125,000","2000","20001221","safety-related offenses","nuclear safety violation","","On December 21, 2000, a Notice of Violation and Proposed Imposition of Civil Penalty in the amount of $125,000 was issued for a Severity Level I problem based on numerous failures to: (1) control activities to keep occupational doses to workers within regulatory limits, (2) use procedures and engineering controls to maintain doses as low as reasonably achievable, and (3) make necessary surveys to ensure compliance with the regulations for protection against radiation.","federal","agency action","Nuclear Regulatory Commission","civil","","","","","","Missouri","","","","","","Ireland","","publicly traded","MNK","pharmaceuticals","pharmaceuticals","https://www.nrc.gov/reading-rm/doc-collections/enforcement/actions/materials/ea00178.html",""
"Mallinckrodt ARD Inc","Mallinckrodt","$100,000,000","$0","$100,000,000","2017","20170118","competition-related offenses","price-fixing or anti-competitive practices","","Mallinckrodt ARD Inc., formerly known as Questcor Pharmaceuticals, Inc., and its parent company, Mallinckrodt plc, agreed to pay $100 million to settle Federal Trade Commission allegations that they violated the antitrust laws when Questcor acquired the rights to a drug that threatened its monopoly in the U.S. market for adrenocorticotropic hormone (ACTH) drugs.","federal","agency action","Federal Trade Commission","civil","","","","","","","","","","","","Ireland","","publicly traded","MNK","pharmaceuticals","pharmaceuticals","https://www.ftc.gov/news-events/press-releases/2017/01/mallinckrodt-will-pay-100-million-settle-ftc-state-charges-it",""
"MALLINCKRODT INC.","Mallinckrodt","$7,000","$0","$7,000","2000","20000607","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Missouri","ST. LOUIS","MALLINCKRODT & SECOND STREETS Z-4","63147","000000","","Ireland","","publicly traded","MNK","pharmaceuticals","pharmaceuticals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Mallinckrodt LLC","Mallinckrodt","$3,500,000","$0","$3,500,000","2013","20130718","government-contracting-related offenses","False Claims Act and related","","Mallinckrodt LLC, a pharmaceutical manufacturer, agreed to pay $3.5 million to settle allegations that it made improper payments to physicians and, as a result, caused the submission of false claims to Medicare and Medicaid between January 2005 and June 2010.","federal","agency action","U.S. Attorney-Northern District of California","civil","","","","","","","","","","","","Ireland","","publicly traded","MNK","pharmaceuticals","pharmaceuticals","https://www.justice.gov/usao-ndca/pr/pharmaceutical-company-agrees-pay-35-million-settle-false-claims-act-allegations",""
"Mallinckrodt Inc.","Mallinckrodt","$650,561","$0","$650,561","2003","20030721","employment-related offenses","employment discrimination","gender discrimination","The verdict amount includes $179,758 in legal fees and costs.","federal","private litigation","","civil","","District of Minnesota","0:01-cv-0828","MacGregor v. Mallinckrodt Inc.","verdict","","","","","","","Ireland","","publicly traded","MNK","pharmaceuticals","pharmaceuticals","BNA's Employment Discrimination Report, July 7, 2004",""
"Mallinckrodt ARD LLC","Mallinckrodt","$15,400,000","$0","$15,400,000","2019","20190904","competition-related offenses","kickbacks and bribery","False Claims Act and related","Mallinckrodt ARD LLC agreed to pay $15.4 million to resolve claims that Questcor Pharmaceuticals, which it acquired, paid illegal kickbacks to doctors, in the form of lavish dinners and entertainment, to induce them to write prescriptions for the company's drug H.P. Acthar Gel from 2009 through 2013. ","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","Ireland","","publicly traded","MNK","pharmaceuticals","pharmaceuticals","https://www.justice.gov/opa/pr/drug-maker-mallinckrodt-agrees-pay-over-15-million-resolve-alleged-false-claims-act-liability",""
"Mallinckrodt LLC","Mallinckrodt","$3,500,000","$3,500,000","$0","2013","20130718","government-contracting-related offenses","False Claims Act and related","kickbacks and bribery","Mallinckrodt LLC, a pharmaceutical manufacturer, agreed to pay $3.5 million to eight states and the federal government to settle allegations that it made improper payments to physicians and, as a result, caused the submission of false claims to Medicare and Medicaid between January 2005 and June 2010. The settlement was also announced by the U.S. Justice Department; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/-mallinckrodt-llc-0","state","agency action","Multistate Attorneys General Case","civil","","","","","","","","","","","","Ireland","","publicly traded","MNK","pharmaceuticals","pharmaceuticals","https://www.justice.gov/usao-ndca/pr/pharmaceutical-company-agrees-pay-35-million-settle-false-claims-act-allegations",""
"Mallinckrodt plc","Mallinckrodt","$100,000,000","$100,000,000","$0","2017","20170118","competition-related offenses","price-fixing or anti-competitive practices","","Mallinckrodt agreed to pay $100 million as part of the settlement of litigation brought by five states (Alaska, Maryland, New York, Texas and Washington) alleging that it acted unlawfully to prevent competition for its drug H.P. Acthar Gel, which is typically used as a last resort to treat certain life-threatening diseases. Also involved in the settlement was the Federal Trade Commission, which issued its own announcement; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/-mallinckrodt-ard-inc","state","agency action","Multistate Attorneys General Case","civil","","","","","","","","","","","","Ireland","","publicly traded","MNK","pharmaceuticals","pharmaceuticals","https://web.archive.org/web/20170726041535/https://ag.ny.gov/press-release/ag-schneiderman-announces-settlement-drug-manufacturer-engaging-anticompetitive",""
